"","term","E","P","A","instcodes"
"106","confine",-1.285,0.385,-0.135," 10 001101010 001"
"107","confront",0.62,1.7,0.955," 10 111111111 100"
"108","congratulate",2.51,1.86,1.15," 10 111111111 100"
"109","console",2.565,1.64,-0.25," 10 111111111 100"
"110","conspire_with",-0.8,0.96,-0.06," 11 010100011 010"
"111","consult_with",1.62,1.245,0.115," 10 111111111 000"
"112","contemplate",0.765,0.715,-0.73," 01 100111000 100"
"113","contradict",0.005,0.45,0.96," 10 111111111 110"
"114","converse_with",2.055,1.38,1.05," 10 111111111 100"
"115","convict",0.1,1.895,0.45," 10 001000000 010"
"116","correct",0.585,0.88,0.425," 10 111111111 100"
"117","counsel",2.26,1.97,-0.07," 10 011111111 000"
"118","criticize",-1.325,-0.02,-0.155," 10 111111111 100"
"119","cross_examine",0,1.265,0.785," 10 001000000 010"
"120","cuddle",2.75,1.765,-0.7," 10 000000011 001"
"121","cue",0.695,0.725,0.525," 10 111111111 010"
"122","curry_favor_from",-0.055,-0.15,-0.065," 11 111111111 000"
"123","curse",-1.92,0.475,1.145," 10 111111111 100"
"124","cuss",-2.065,-0.15,1.34," 10 111111111 100"
"125","cut_the_pay_of",-1.965,0.975,-0.455," 10 010000000 000"
"126","damn",-2.325,0.38,0.69," 10 100000100 000"
"127","dance_with",2.635,1.775,1.9," 10 100000001 011"
"128","dare",-0.355,0.75,1.235," 10 100100001 100"
"129","debate_with",0.975,1.175,1.855," 10 111111110 000"
"130","debrief",0.87,1.15,0.365," 10 111101010 000"
"131","defeat",1.36,1.81,1.47," 10 000100000 010"
"132","defend",2.34,2.49,1.635," 10 111111111 110"
"133","defer_to",-0.69,-0.265,-0.7," 10 111111111 000"
"134","defy",-1.25,1.065,0.675," 10 011111110 000"
"135","degrade",-2.625,-0.495,-0.305," 11 111111111 110"
"136","demean",-2.23,-0.185,0.065," 10 111111111 100"
"137","demote",-1.475,0.425,-0.475," 10 010000000 000"
"138","denigrate",-1.85,-0.42,0.12," 10 111111111 100"
"139","denounce",-1.515,-0.005,0.385," 10 111111111 010"
"140","deny_something_to",-1.365,0.335,-0.175," 10 001100111 100"
"141","deprecate",-1.945,-0.29,-0.175," 10 111111111 100"
"142","deride",-1.535,0.17,0.41," 10 111111111 010"
"143","desire_sexually",1.99,1.61,1.6," 11 000000001 011"
"144","dicker_with",-0.35,-0.05,0.525," 10 111111111 000"
"145","dine_with",2.455,1.16,0.595," 10 110100111 100"
"146","direct",0.78,1.095,0.82," 10 011111111 000"
"147","disagree_with",-0.04,0.95,1.115," 10 111111111 000"
"148","discipline",0.375,1.605,0.99," 10 011111111 100"
"149","discourage",-2.015,-0.215,-0.6," 10 111111111 100"
"150","discuss_something_with",1.695,1.075,0.115," 10 111111111 000"
"151","disobey",-1.45,0.08,-0.06," 10 011111111 000"
"152","disparage",-1.285,0.005,-0.46," 10 111111111 010"
"153","disrobe",0.15,1.2,-0.1," 10 000001011 001"
"154","dissuade",0,0.825,0.175," 01 111111111 000"
"155","distract",-1.035,0.175,1.015," 10 111111111 010"
"156","divorce",-2.245,-0.3,-0.595," 10 000000001 010"
"157","dote_on",-0.135,-0.00499999999999999,0.46," 10 000000010 000"
"158","draw_near_to",1.67,1.135,-0.27," 10 110000111 000"
"159","dress_down",-0.265,-0.18,-0.445," 10 111111111 000"
"160","dress",1.14,0.525,-0.245," 10 000001010 101"
"161","drink_to",2.04,1.325,1.7," 10 110000001 010"
"162","drink_with",1.475,0.69,1.66," 10 110100001 100"
"163","drone_on_at",-1.445,-0.995,-0.795," 10 111111111 000"
"164","eat_with",1.895,0.95,0.41," 10 100000011 000"
"165","educate",3.045,2.675,1.685," 10 011111111 100"
"166","elbow",-1.315,0.215,0.86," 10 101000011 001"
"167","embrace",2.845,1.805,0.355," 10 100000011 001"
"168","employ",1.66,2.005,0.88," 10 010000000 000"
"169","encourage",2.72,2.05,1.42," 10 111111111 100"
"170","entertain",2.37,1.815,1.92," 01 110110011 100"
"171","entreat",0.33,0.335,0.62," 10 100100011 000"
"172","escape",1.185,1.045,1.405," 10 101100001 000"
"173","exalt",0.875,1.01,0.915," 10 110110101 100"
"174","examine",0.635,1.085,-0.2," 10 100001011 100"
"175","excuse",1.045,0.95,-0.05," 10 111111111 000"
"176","execute",-2.06,0.945,-0.48," 10 001000000 001"
"177","exonerate",0.93,1.39,0.635," 10 101100111 010"
"178","explain_something_to",2.215,1.795,0.145," 10 111111111 000"
"179","exploit",-2.485,0.02,0.175," 01 110100011 000"
"180","extol",0.24,0.555,0.505," 10 111111111 010"
"181","eye",0.4,0.485,-0.2," 10 100001011 000"
"182","face",1.375,1.26,0.68," 10 111010011 000"
"183","feed_something_to",1.375,1.09,-0.31," 10 100001010 101"
"184","fib_to",-1.995,-0.675,-0.375," 01 111111111 000"
"185","fight",-1.87,0.915,1.925," 10 101100011 001"
"186","financially_back",1.75,2.055,0.295," 10 010100000 010"
"187","fine",-0.425,0.84,0.325," 10 001000010 000"
"188","fingerprint",-0.36,0.46,-0.37," 10 001000000 001"
"189","fire_from_a_job",-1.39,1.705,0.25," 10 010000000 000"
"190","flatter",2.26,1.67,1.075," 10 111111111 000"
"191","flee",-1.01,0.125,0.77," 10 101100011 000"
"192","flirt_with",2.215,1.74,1.68," 10 000000001 000"
"193","flunk",-1.655,1.545,-0.155," 10 000010000 000"
"194","follow",-0.355,-0.58,-1.12," 10 101000011 000"
"195","fondle",0.21,0.68,-0.005," 10 000000011 101"
"196","forget",-1.87,-0.67,-1.085," 01 100011011 010"
"197","forgive",2.74,2.165,0.235," 01 100000111 100"
"198","fornicate_with",1.385,1.805,2.09," 10 000000001 001"
"199","frisk",-0.495,0.715,0.395," 10 001000000 001"
"200","frown_at",-1.49,-0.445,-1.16," 10 111111111 000"
"201","fuss_over",-0.64,-0.505,0.965," 10 110001111 100"
"202","gape_at",-1.165,-0.37,-0.26," 10 100000011 000"
"203","gawk_at",-0.825,-0.425,0.1," 10 111111111 000"
"204","gaze_at",1.125,0.41,-0.875," 10 100000011 000"
"205","giggle_at",0.04,0.605,0.75," 10 100000011 000"
"206","giggle_with",2.43,1.795,1.765," 10 100000011 000"
"207","give_a_raise_to",2.645,2.055,0.695," 10 010000000 000"
"208","give_instructions_to",1.81,1.57,0.62," 10 111111111 000"
"209","give_medical_treatment_to",2.92,3.08,1.355," 10 000001000 000"
"210","glance_at",1.185,0.815,-0.06," 10 111111111 010"
"211","glare_at",-1.22,0.465,-0.59," 10 111111111 000"
"212","glorify",1.41,1.38,0.87," 10 000100100 010"
"213","glower_at",-0.98,0.25,0.195," 10 111111111 000"
"214","gossip_with",-0.96,0.29,0.99," 10 111111111 000"
"215","grab",-1.295,0.645,0.955," 10 101001011 001"
