"","term","E","P","A","instcodes"
"134","delight",2.56,1.75,2.36," 01 111111111 100"
"135","delude",-1.3,0.15,-0.53," 01 111111111 000"
"136","demand",-0.05,0.56,0.44," 10 000100000 000"
"137","demoralize",-1.29,0.44,-0.99," 01 111110010 000"
"138","demote",-2.05,0.65,-1.14," 10 010000000 000"
"139","denounce",-0.85,0.73,-0.81," 10 111111111 010"
"140","deprecate",-0.05,1.07,0.58," 10 111111111 100"
"141","depress",-1.54,0.43,-1.32," 01 000001100 100"
"142","deprive",-1.83,0.32,-1.07," 01 011111110 100"
"143","deride",-2.31,-0.25,0.03," 10 111111111 010"
"144","desert",-1.02,0.02,-0.39," 01 110100010 010"
"145","desire_sexually",0.85,0.98,1.12," 11 000000001 011"
"146","despise",-2.35,0.14,-1.18," 01 111111111 100"
"147","detain",-1.58,0.76,-1.33," 10 011111111 001"
"148","deter",-0.94,0.2,-0.33," 01 011111111 000"
"149","diagnose",0.57,1.18,0.14," 10 000001000 000"
"150","disagree_with",-0.75,0.11,-0.58," 10 111111111 000"
"151","disappoint",-1.68,-0.21,-1.35," 01 111111111 100"
"152","disbelieve",-0.81,0.35,-0.78," 01 111111111 000"
"153","discipline",-0.28,0.83,-0.11," 10 011111111 100"
"154","discourage",-0.73,0.44,-0.14," 10 111111111 100"
"155","discredit",-1.78,-0.4,-0.49," 10 111111111 010"
"156","discriminate_against",-2.69,-0.44,-1.56," 01 011111111 010"
"157","disgrace",-2.19,-0.53,-0.9," 01 111111111 010"
"158","disgust",-1.81,-0.34,-0.63," 01 111111111 000"
"159","disillusion",-1.03,-0.02,-0.69," 01 111111111 000"
"160","disinherit",-1.35,0.53,-0.78," 10 000000010 010"
"161","dislike",-0.75,-0.15,-0.43," 01 111111111 100"
"162","dismiss",-1.69,0.21,-0.72," 10 001110000 000"
"163","disobey",-0.18,0.91,0.58," 10 011111111 000"
"164","disparage",-1.82,-0.18,-1.11," 10 111111111 010"
"165","dispute",0.16,1,1.09," 10 111111111 010"
"166","disrespect",-1.93,-0.85,-0.86," 01 111111111 100"
"167","distrust",-1.7,0.27,-1.24," 01 111111111 100"
"168","disturb",-1.6,0.39,-0.5," 01 111111111 010"
"169","divorce",-1.23,0.7,-0.51," 10 000000001 010"
"170","dote_on",-1.74,0.51,-0.5," 10 000000010 000"
