"","term","E","P","A","instcodes"
"106","downtown",0.435,1.2,1.115," 10 100000000 000"
"107","drive_in_movie",0.81,-0.115,1.255," 10 010000001 001"
"108","drugstore",1.215,0.465,-0.505," 10 010001000 000"
"109","dry_cleaners",0.705,-0.195,0.22," 10 010000000 000"
"110","dude_ranch",0.41,0.38,0.76," 10 010000000 000"
"111","dungeon",-1.99,1.235,-1.485," 10 001000001 101"
"112","easter",2.295,1.635,-0.355," 01 100000100 000"
"113","elementary_school",1.425,0.44,2.155," 10 000010000 000"
"114","elevator",0.785,0.445,0.16," 10 100000000 100"
"115","embassy",1.43,1.71,-0.23," 10 000100000 000"
"116","emergency_room",-0.09,1.27,1.915," 10 000001000 001"
"117","encounter_group",0.67,0.615,0.285," 01 000001000 000"
"118","examination",-0.55,1.175,-0.2," 01 000011000 000"
"119","experiment",0.925,0.935,0.22," 01 000010000 000"
"120","factory",-0.085,2.205,1.525," 10 010000000 000"
"121","fairground",0.93,0.725,2.07," 10 100000000 000"
"122","family_reunion",1.705,0.665,0.645," 01 000000010 000"
"123","farm",1.79,0.835,-0.95," 10 010000000 100"
"124","fashion_show",0.995,0.17,-0.11," 01 010000000 000"
"125","ferry",1.375,0.91,-0.75," 10 110000000 100"
"126","festival",1.67,1.345,1.835," 01 100000000 000"
"127","fight",-1.27,0.68,1.715," 01 101000000 001"
"128","finishing_school",0.245,0.175,0.325," 10 010010000 000"
"129","fire",-1.475,1.895,1.69," 01 100000000 001"
"130","fire_drill",0.68,0.85,1.995," 01 100000000 000"
"131","fire_station",1.93,1.955,1.26," 10 001000000 000"
"132","flophouse",-0.855,-0.635,-0.135," 10 010000000 100"
"133","foot_path",1.28,-0.295,-0.69," 10 100000000 100"
"134","football_stadium",1.515,1.7,1.98," 10 010010000 000"
"135","fortress",0.53,2.17,0.145," 10 001100000 000"
"136","fraternity_house",0.2,0.685,2.38," 10 000010000 000"
"137","freighter",0.35,0.95,0.205," 10 010000000 000"
"138","funeral",-1.02,0.005,-1.72," 01 000000100 000"
"139","funeral_home",-0.885,0.045,-1.945," 10 010000000 000"
"140","garden",2.255,0.44,-0.53," 10 100000000 100"
"141","gas_station",0.83,0.43,0.16," 10 010000000 000"
"142","gay_bar",-0.85,-0.47,1.175," 10 010000001 001"
"143","ghetto",-1.755,-0.35,0.78," 10 100000000 100"
"144","ghost_town",0.185,-0.62,-1.9," 10 100000000 100"
"145","golf_course",1.26,0.225,0.04," 10 010000000 000"
"146","gourmet_store",0.925,0.16,-0.16," 10 010000000 000"
"147","graduation",1.725,0.835,0.16," 01 100010000 010"
"148","graveyard",-0.53,0.175,-2.075," 10 100000100 100"
"149","greasy_spoon",-1.095,-0.565,0.16," 10 010000000 000"
"150","grocery",1.465,0.49,0.815," 10 110000000 100"
"151","gymnasium",1.615,1.125,2.23," 10 010010000 101"
"152","hamburger_stand",0.835,-0.02,1.52," 10 010000000 000"
"153","hangout",0.215,0.73,1.5," 10 100000000 000"
"154","hayride",1.935,0.155,0.99," 01 100000000 000"
"155","health_food_store",1.045,0.025,0.7," 10 010000000 000"
"156","heaven",3.53,2.79,-0.385," 01 000000100 000"
"157","hell",-3.14,2.645,0.84," 01 000000100 001"
"158","hideout",0.22,0.37,0.04," 10 100000000 100"
"159","high_school",1.105,0.925,1.94," 10 000010000 000"
"160","highway",0.43,1.26,1.875," 10 100000000 100"
"161","holiday",2.7,1.33,1.35," 01 100000010 000"
"162","home",2.985,1.995,-0.5," 10 000000010 101"
