"","term","E","P","A","instcodes"
"106","fire",-2.1,1.74,1.51," 01 100000000 001"
"107","fire_station",1.58,1.33,1.51," 10 001000000 000"
"108","fire_drill",1.04,0.27,1.05," 01 100000000 000"
"109","flea_market",0.32,-0.4,0.48," 10 010000000 000"
"110","flophouse",-0.2,-0.7,-0.6," 10 010000000 100"
"111","fortress",0.36,1.66,0.27," 10 001100000 000"
"112","freighter",0.07,0.94,-0.5," 10 010000000 000"
"113","funeral",0.11,0.1,-2.1," 01 000000100 000"
"114","funeral_service_(buddhist)",0.04,-0.3,-1.8," 10 000000100 000"
"115","game_center",-0.2,0.38,1.89," 10 010000000 000"
"116","garden",1.32,0.22,-1.1," 10 100000000 100"
"117","gas_station",0.25,0.12,1.08," 10 010000000 000"
"118","gay_bar",-0.8,-0.5,0.94," 10 010000001 001"
"119","ghetto",-1.2,-1,-0.8," 10 100000000 100"
"120","golf_course",-0.6,1.08,-0.5," 10 010000000 000"
"121","graduation",1.31,0.96,-0.3," 01 100010000 010"
"122","grocery_store",0.49,0.16,0.57," 10 110000000 100"
"123","gymnasium",1.07,0.97,1.15," 10 010010000 101"
"124","head_office",0.76,2.02,0.45," 10 000010000 000"
"125","heaven",1.41,1.23,-1.5," 01 000000100 000"
"126","heavy_industry_plant",-0.3,1.42,0.74," 10 010000000 000"
"127","hell",-2.1,1.43,-0.1," 01 000000100 001"
"128","high_school",0.91,0.91,1.91," 10 000010000 000"
"129","highway",0.38,1.35,1.56," 10 100000000 100"
"130","hiking",1.16,0.27,1.05," 01 100000000 000"
"131","holiday",1.86,1.16,-0.2," 01 100000010 000"
"132","home",1.09,0.58,-1.3," 10 000000010 101"
"133","home_town",1.77,0.56,-1.7," 10 100000000 000"
"134","honeymoon",1.22,0.69,1.42," 01 000000001 000"
"135","hospital",0.73,1.29,-0.9," 10 000001000 001"
"136","hostel",0.19,-0.1,0.49," 10 010000000 000"
"137","hotel",1.17,0.88,-0.4," 10 010000000 000"
"138","house",1.18,0.31,-1.5," 10 100000010 000"
"139","ikebana_school",0.82,-0.8,-1.4," 10 000010000 000"
"140","immigration_office",0.3,1.07,0.2," 10 000100000 000"
"141","information_desk",0.45,-0.1,-0.3," 10 011011000 000"
"142","interrogation",-0.9,1.06,0.13," 01 001000000 000"
"143","interview",0.11,0.59,-0.7," 01 011011100 000"
"144","jail",-1.1,0.82,-0.7," 10 001000000 000"
"145","japanese_checkers_match",1.03,0.27,-1.2," 10 100000000 000"
"146","japanese_chess_match",0.47,-0.5,-1.6," 10 100000000 000"
"147","journey",1.6,0.56,-0.1," 01 100000000 100"
"148","judge's_chamber",1.01,1.39,-1," 10 001000000 000"
"149","junior_college",0.08,-0.7,0.99," 10 000010000 000"
"150","junior_high_school",0.36,0.38,1.36," 10 000010000 000"
"151","junkyard",-0.8,-0.8,-0.9," 10 010000000 100"
"152","karoke_sing_along",0.68,0.88,2.08," 10 100000000 000"
"153","kindergarten",0.68,0.08,1.64," 10 000010000 000"
"154","kitchen",0.68,-0.1,0.56," 10 000000010 100"
"155","laboratory",0.3,0.45,0.4," 10 010011000 100"
"156","lane",0.6,-0.9,-1.2," 10 100000000 100"
"157","laundromat",0.05,-0.4,0.16," 10 010000000 100"
"158","lawyers_office",1,0.91,0.12," 10 001000000 000"
"159","lecture",0.7,0.18,-0.3," 01 000010000 000"
"160","legislature",-0.2,1.1,-0.8," 10 000100000 000"
"161","library",1.46,0.83,-1.7," 10 100010000 100"
"162","limited_partnership",0.26,-0.6,0.4," 10 010000000 000"
"163","locker_room",-0.1,-0.5,0," 10 100010000 000"
"164","luxury_cruise_ship",1.46,1.44,-0.1," 10 010000000 000"
"165","mahjong_game",-0.5,-0.1,0.8," 10 100000000 000"
"166","mansion",1.05,1.04,-1.4," 10 000000010 000"
"167","market",0.68,1.16,1.76," 11 010000000 000"
"168","martial_arts_hall",0.82,0.42,0.39," 10 100000000 000"
"169","massage_therapy_clinic",0.52,-0.1,-0.8," 10 100001000 000"
"170","maternity_ward",0.71,0.31,0.36," 10 000001010 000"
"171","mediation",0.54,0.66,-0.4," 01 010000000 000"
"172","meeting",0.35,0.83,0," 10 111111100 000"
"173","military_school",-0.5,1.46,1.18," 10 000010000 000"
"174","mine",-0.6,0.18,-0.4," 10 010000000 000"
"175","ministry_of_education",-0.8,1.36,-1.4," 10 000100000 000"
"176","ministry_of_finance",-0.7,1.66,-1.1," 10 000100000 000"
"177","ministry_of_foreign_affairs",0.49,1.71,0.23," 10 000100000 000"
"178","ministry_of_health_&_welfare",-0.8,1.51,-0.9," 10 000100000 000"
"179","ministry_of_home_affairs",0.45,1.71,-1.2," 10 000100000 000"
"180","miti",0.05,1.24,-0.1," 10 100000000 000"
"181","mobile_blood_donor_vehicle",1.47,0.08,0.3," 10 000001000 000"
"182","monastery",0.62,0.16,-1.5," 10 000000100 100"
"183","morgue",-1.2,-0.5,-1.9," 10 001001000 000"
"184","mortuary",-0.3,-0.7,-2.2," 10 010000100 000"
"185","movie",0.97,0.39,-0.1," 11 010000000 100"
"186","museum",1.58,0.51,-1.4," 10 100010000 100"
"187","music_lesson",0.83,0.27,0.38," 01 010010000 000"
"188","new_year's_eve",1.11,0.89,-0.7," 01 100000000 000"
"189","new_year's_temple_visit",0.5,0.33,0.1," 10 100000100 000"
"190","news_stand",0.08,-0.3,0.64," 10 010000000 000"
"191","nightclub",-0.2,0.41,0.86," 10 010000001 000"
"192","nuclear_bomb_test",-2.1,2.36,1.39," 10 000100000 000"
"193","nursery_school",0.98,0.09,1.33," 10 000010000 001"
"194","nursing_home",0.65,-0.1,-1.3," 10 010001000 101"
"195","office",0.29,0.03,0," 10 011011100 100"
"196","opera",1.3,0.96,0.15," 11 010010000 000"
"197","orgy",-1.1,0.52,1.8," 01 000000001 001"
"198","outdoors",1.19,0.69,1.71," 10 100000000 100"
"199","palace",1.48,1.55,-1," 10 000100010 000"
"200","parade",1.13,1.23,1.64," 11 100100000 000"
"201","park",1.28,0.2,0.3," 10 100000000 100"
"202","parking_lot",-0.2,0.41,-0.1," 10 100000000 100"
"203","parlor",1.19,0.16,-1.3," 10 000000010 100"
"204","party",0.95,0.72,1.39," 01 100000001 000"
"205","pawnshop",-0.5,-0.3,-1," 10 010000000 000"
"206","penitentiary",-1,1.24,-0.9," 10 001000000 100"
"207","penthouse",-0.1,-0.8,-1.2," 10 000000010 100"
"208","pet_store",0.05,-0.4,0.43," 10 010000000 000"
"209","pilgrimage",0.5,0.38,-0.8," 01 000000100 000"
"210","planetarium",1.21,0.36,-0.8," 10 000010000 000"
"211","playground",0.86,0.04,1.58," 10 100000000 001"
"212","police_box",0.9,0.4,0.06," 10 001000000 000"
"213","police_station",0.81,1.77,0.45," 10 001000000 000"
"214","post_office",0.83,0.93,0.36," 10 100000000 000"
"215","prayer",0.71,0.12,-1.5," 01 000000100 100"
"216","preparatory_school",-0.2,0.86,0.72," 10 000010000 000"
"217","press_conference",-0.4,0.78,1.48," 01 011100000 000"
"218","prison",-1.4,0.46,-1," 10 001000000 100"
"219","psychiatrist's_office",0.53,0.02,-1.3," 10 000001000 000"
"220","pub",0,0.28,0.76," 10 100000000 000"
"221","public_assembly",0.44,0.83,1.44," 10 100000000 000"
"222","public_relations_office",0.25,1.13,1.47," 10 010000000 000"
"223","publishing_company",0.26,1.17,1.16," 10 010010000 000"
"224","quiz_show",-0.1,0.37,1.19," 10 100000000 000"
"225","race_track",0.4,1.02,1.78," 10 010000000 000"
"226","reformatory",-0.5,-0.1,-0.5," 10 001000000 000"
"227","refuse_station",-1.1,-0.3,-0.8," 10 100000000 000"
"228","repair_shop",0.58,-0.6,-0.4," 10 010000000 100"
"229","restaurant",0.83,0.28,0.21," 10 010000000 000"
"230","restaurant_(japanese)",1.13,0.41,-1.2," 10 010000000 000"
"231","retirement_home",0.14,-0.5,-1.6," 10 100000000 000"
"232","revolution",0.43,1.79,2.29," 01 000100000 000"
"233","riot",-1.3,1.69,2.09," 01 101100000 001"
"234","road",0.45,0.73,1," 10 100000000 000"
"235","room",0.87,0,-0.5," 10 100000000 100"
"236","sauna",0.65,0.01,-0.3," 10 010000000 100"
"237","savings_bank",0.22,2.18,0.3," 10 010000000 000"
"238","school_principal's_office",0.2,0.67,-1.7," 10 000010000 000"
"239","seminar",0.58,0.12,0.51," 01 000010000 000"
"240","send_off_party",0.71,0.43,0.81," 10 100000000 000"
"241","sermon",0.08,0.58,-0.5," 01 000000100 000"
"242","shinto_shrine",0.61,0.06,-1.7," 10 000000100 000"
"243","ship",0.77,0.88,-0.2," 10 010000000 000"
"244","shopping_arcade",0.5,0.31,0.86," 10 010000000 000"
"245","shopping_center",0.77,1.08,1.52," 10 010000000 100"
"246","sidewalk",0.86,-0.6,-0.4," 10 100000000 100"
"247","siesta",1,0.22,-1," 01 100000000 100"
"248","sightseeing_trip",0.77,0.33,0.26," 01 100000000 000"
"249","ski_lodge",0.38,0.05,0.75," 10 010000000 000"
"250","slaughterhouse",-0.8,0.66,0.04," 10 010000000 000"
"251","slum",-1.4,-1.2,-0.7," 10 100000000 100"
"252","spa",1.47,0.49,-1.4," 10 010000000 000"
"253","sports_field",0.92,1.05,1.47," 10 100010000 000"
"254","squad_car",0.5,1.47,1.27," 10 001000000 001"
"255","stable",-0.2,-0.4,0," 10 010000000 100"
"256","stage",0.93,1.17,1.48," 10 000010000 000"
"257","stock_exchange",0.37,1.71,2.14," 10 010000000 000"
"258","stock_owned_company",0.63,1.44,0.75," 10 010000000 000"
"259","stockbrokerage",0.12,1.42,1.13," 10 010000000 000"
"260","stockholder's_annual_meeting",-0.2,1.07,0.14," 01 010000000 000"
"261","store",0.42,-1.1,-0.1," 10 010000000 000"
"262","street_corner",0.19,0.31,0.65," 10 100000000 000"
"263","studio",0.48,0.9,1.66," 10 010010000 100"
"264","subsidiary",0.01,-1.4,0.08," 10 010000000 000"
"265","suburb",0.82,-0.2,-1," 10 100000000 100"
"266","subway",0.37,0.89,1.15," 10 100000000 100"
"267","sumo_ring",0.98,0.93,0.13," 10 100000000 000"
"268","supermarket",0.68,0.72,1.31," 10 010000000 000"
"269","supreme_court",1.25,2.41,-1.5," 10 001000000 000"
"270","tavern",0,0.19,0.78," 10 010000000 000"
"271","tax_office",-0.1,1.27,-0.1," 10 001000000 000"
"272","taxi",0.16,-0.2,0.51," 10 010000000 000"
"273","tea_ceremony",1,-0.6,-1.8," 10 100000000 000"
"274","tennis_court",0.77,0.24,1.52," 10 100000000 000"
"275","textile_mill",0.09,-0.3,-0.2," 10 010000000 000"
"276","theater",0.92,0.48,0.15," 10 010010000 000"
"277","topless_bar",-0.1,0.26,1.32," 10 010000001 000"
"278","trade_school",0.41,-0.2,0.78," 10 010010000 000"
"279","train",0.9,0.97,1.09," 10 110000000 100"
"280","train_station",0.68,1.22,1.48," 10 010000000 000"
"281","train_station_front",0.72,1.29,1.6," 10 100000000 000"
"282","travel_agency",0.51,0.54,0.72," 10 010000000 000"
"283","university",1.04,1.26,0.67," 10 000010000 000"
"284","used_car_lot",0.2,-0.2,0.24," 10 010000000 000"
"285","vacation",1.94,1.28,-0.3," 01 100000000 100"
"286","village",0.36,-1.1,-1.4," 10 100000000 000"
"287","waiting_room",0.1,-0.4,-0.9," 10 001001000 100"
"288","war",-2.4,2.5,1.75," 10 000100000 000"
"289","warehouse",0.02,0.28,-0.9," 10 010000000 000"
"290","washroom",0.4,-0.2,-0.4," 10 100000000 000"
"291","waterbed",0.96,0.22,-0.2," 10 000000001 101"
"292","wedding",1.16,0.87,0.9," 01 000000111 000"
"293","wedding_reception",0.68,0.79,0.96," 10 000000010 000"
"294","welfare_office",1.21,-0.4,-0.5," 10 001000000 000"
"295","wharf",0.65,1.21,0.35," 10 010000000 100"
"296","whorehouse",-1.4,-0.5,0.87," 10 010000001 001"
"297","wilderness",-0.8,0.52,-0.9," 10 100000000 100"
"298","work_place",0.4,0.71,0.83," 10 010000000 000"
"299","yacht",0.79,0.28,1.21," 10 100000000 100"
"300","zoo",0.75,0.23,0.35," 10 100000000 000"
