"","term","E","P","A","cov1","cov2","cov3","cov4","cov5","cov6","cov7","cov8","cov9"
"1","give_2",1.8464,1.5243,1.0782,1.918,0.867,-0.4479,0.867,1.671,0.0175,-0.4479,0.0175,1.2959
"2","take_1",-3.3698,-0.1208,-0.3072,1.5526,0.6259,-0.2684,0.6259,8.3147,-0.7816,-0.2684,-0.7816,5.4178
