"","term","E","P","A","instcodes"
"105","busboy",0.89,0.52,0.57," 10 010000000 000"
"106","busybody",-1.58,0.27,1.53," 11 100000000 000"
"107","butcher",-0.68,1.47,0.04," 11 010000000 000"
"108","bystander",-0.55,-0.7,-0.9," 11 100000000 000"
"109","cadre",0.86,1.82,0.36," 11 000100000 000"
"110","call_girl",-1.79,-1.98,0.7," 01 000000001 001"
"111","capitalist",-0.06,1.49,0.43," 11 010000000 000"
"112","captive",-0.63,-1.58,-1.94," 11 001100001 001"
"113","carpenter",0.74,0.7,0.8," 11 010000000 000"
"114","cashier",0.48,0.32,-0.21," 11 010000000 000"
"115","catholic",0.3,-0.26,-0.85," 11 000000100 000"
"116","celebrity",1.21,1.5,1.14," 11 110000000 000"
"117","ceo",1.22,2.48,0.73," 11 010000000 000"
"118","chairman_of_the_board",1.11,2.24,0.19," 10 010000000 000"
"119","champion",2.47,2.49,2.54," 11 100010000 001"
"120","chancellor",2.24,2.87,0.78," 11 000110000 000"
"121","chaperone",1.87,0.43,2.22," 11 100000010 000"
"122","chatterbox",-2.59,-0.39,1.22," 11 100000000 000"
"123","chauffeur",0.72,0.54,0.03," 11 010100000 000"
"124","cheat",-2.94,-0.39,0.74," 11 110000000 000"
"125","chef",1.51,1.33,1.44," 11 010000000 000"
"126","chemist",0.91,1.35,-0.08," 11 010010000 000"
"127","child",2.17,-0.89,2.66," 11 100000010 000"
"128","child_molester",0.26,0.45,2.74," 11 001000011 001"
"129","christian",0.87,0.14,-0.17," 11 000000100 010"
"130","civil_servant",0.65,0.9,-0.05," 11 001100000 000"
"131","classmate",1.41,0.44,1.19," 11 000010000 000"
"132","clergy",1.27,0.54,-0.89," 11 000000100 000"
"133","clerk",0.85,0.28,0.76," 11 011000000 000"
"134","client",0.75,0.6,0.36," 11 011000000 000"
"135","clown",1.16,-0.63,2.12," 11 100000000 000"
"136","co_worker",1.48,1.21,1.53," 11 010000000 000"
"137","coach",1.51,2.02,1.17," 11 010010000 001"
"138","coal_miner",0.91,1.2,0.1," 10 010000000 000"
"139","coed",1.53,0.43,2.31," 01 000010000 000"
"140","colleague",0.75,0.66,0.75," 11 011111000 000"
"141","college_student",2.15,0.99,2.49," 11 000010000 000"
"142","comedian",2.18,0.63,2.34," 11 110000000 000"
"143","commentator",0.4,0.9,1.07," 11 010100000 000"
"144","companion",2.3,1.84,1.61," 11 100000000 000"
"145","computer_programmer",1.32,1.43,0.54," 11 010010000 000"
"146","computer_programmer",1.22,1.16,0.59," 11 010010000 000"
"147","computer_whiz",1.84,2.11,0.47," 11 110010000 000"
"148","comrade",1.24,1,0.91," 11 100100000 000"
"149","confidant",2.55,1.9,2.51," 11 100000000 000"
"150","conformist",-0.74,-1.1,-0.43," 11 100000000 000"
"151","confucian",0.61,0.08,-1.47," 11 000000100 000"
"152","connoisseur",1.33,0.93,0.03," 11 100000000 000"
"153","construction_foreman",0.56,1.43,0.91," 11 010000000 000"
"154","construction_laborer",0.62,0.91,1.15," 11 010000000 000"
"155","consul_general",1.18,2.1,0.87," 10 000100000 000"
"156","consumer",1.04,0.44,1.24," 11 010000000 000"
"157","convict",-1.97,-0.44,-1.57," 11 001000000 001"
"158","cook",1.28,0.79,1.09," 11 110000000 000"
"159","cop",0.94,1.87,0.85," 11 001000000 001"
"160","copycat",-1.27,-2.07,-1.74," 11 100000000 000"
"161","coroner",0,0.99,-1.56," 11 001001000 000"
"162","counselor",1.28,1.21,0.24," 11 111111100 000"
"163","cousin_(maternal)",1.76,0.3,1.93," 11 000000010 000"
"164","cousin_(paternal)",1.51,0.58,1.65," 11 000000010 000"
"165","cpa",1.1,1.18,0.32," 11 010000000 000"
"166","craftsman",0.63,0.8,0.32," 11 010000000 000"
"167","creditor",0.29,1.07,0.03," 11 010000000 000"
"168","criminal",-2.47,0.73,-0.44," 11 001000000 000"
"169","cripple",0,-1.39,-0.99," 11 100001000 000"
"170","critic",0.07,0.97,0.79," 11 101111100 000"
"171","crybaby",-0.67,-1.09,-0.67," 11 100000000 000"
"172","customer",0.57,0.4,0.76," 11 010000000 000"
"173","customs_officer",0.69,1.64,-0.14," 11 011000000 000"
"174","cynic",0.07,-0.28,-0.23," 11 100110000 000"
"175","date",1.84,1.2,1.56," 11 100000001 000"
"176","daughter",2.28,-0.13,2.07," 01 000000010 000"
"177","daughter_in_law",0.51,0.03,1.09," 01 000000010 000"
"178","deadbeat",-2.84,-0.17,-0.06," 11 010000000 000"
"179","deaf_person",0.28,-1.16,-1.71," 11 000001000 000"
"180","debtor",-0.38,-0.24,-0.42," 11 010000000 000"
"181","decoy",-3.12,0.45,0.9," 11 001100000 000"
"182","defendant",-0.34,-0.6,-0.72," 11 001000000 000"
"183","delinquent",-2.58,-0.25,-0.16," 11 001000000 000"
"184","dental_hygienist",0.71,1.33,-0.17," 01 000001000 001"
"185","dentist",0.86,1.13,0.12," 11 000001000 001"
"186","designer",1.7,1.71,1.67," 11 010000000 000"
"187","detective",1.2,2.05,1.57," 11 001000000 001"
"188","devil",-2.53,2.01,-0.31," 11 100000100 000"
"189","dietitian",1.51,0.93,0.96," 11 010001000 000"
"190","dignitary",0.83,2.16,0.91," 11 000110100 000"
"191","dimwit",-0.44,-1.43,-1.02," 11 100000000 000"
"192","diplomat",2.15,2.53,2.16," 11 000100000 000"
"193","disabled_person",0.62,-1.61,-1.46," 11 000001000 000"
"194","disciplinarian",1.18,1,-0.23," 11 000010110 001"
"195","discoverer",1.41,1.44,1.67," 11 100010000 000"
