"","term","E","P","A","instcodes"
"105","card",0.585,0.33,1.47," 11 100000000 000"
"106","carpenter",1.065,0.775,0.275," 11 010000000 000"
"107","cashier",0.495,-0.515,0.12," 11 010000000 000"
"108","celebrity",0.99,1.745,0.9," 11 110000000 000"
"109","center",0.575,1.85,1.92," 10 010010000 001"
"110","chambermaid",1.005,-1.07,-0.165," 01 010000000 000"
"111","champion",1.28,2.575,1.96," 11 100010000 001"
"112","chap",1.31,0.2,0.38," 10 100000000 000"
"113","chaperone",0.055,0.905,-1.04," 11 100000010 000"
"114","chatterbox",-1.04,-0.695,2.245," 11 100000000 000"
"115","cheerleader",0.715,0.06,2.56," 11 010010000 000"
"116","chef",0.955,0.355,-0.275," 11 010000000 000"
"117","chemist",0.775,1.005,-0.325," 11 010010000 000"
"118","chick",1.225,-0.51,1.995," 01 100000000 000"
"119","child",1.68,-1.29,2.415," 11 100000010 000"
"120","chiropractor",0.185,-0.03,-0.095," 11 000001000 001"
"121","christian",1.68,0.9,-0.035," 11 000000100 010"
"122","chum",1.855,0.87,0.765," 11 100000000 000"
"123","church_deacon",1.595,0.96,-1.25," 11 000000100 000"
"124","civil_servant",0.93,0.51,-0.425," 11 001100000 000"
"125","classmate",1.125,0.065,0.925," 11 000010000 000"
"126","clergy",1.775,1.68,-0.755," 11 000000100 000"
"127","clerk",0.635,-0.015,-0.17," 11 011000000 000"
"128","client",0.855,0.23,-0.22," 11 011000000 000"
"129","clod",-1.27,-0.845,0.12," 11 100000000 000"
"130","clown",1.81,-0.08,1.25," 11 100000000 000"
"131","clown",1.695,-0.185,1.065," 11 100000000 000"
"132","co_worker",1.15,0.385,0.65," 11 010000000 000"
"133","coach",0.96,1.81,0.895," 11 010010000 001"
"134","coed",1.415,0.115,1.705," 01 000010000 000"
"135","colleague",1.3,0.875,0.295," 11 000011000 000"
"136","comedian",1.435,0.605,1.735," 11 100000000 000"
"137","companion",2.075,1.21,0.52," 11 100000000 000"
"138","computer_programmer",0.65,0.74,0.78," 11 010010000 000"
"139","concubine",-0.615,-1.01,0.74," 01 010000001 001"
"140","confidant",1.98,1.315,0.12," 11 100000000 000"
"141","conformist",-0.435,-0.87,-0.29," 11 100000000 000"
"142","connoisseur",0.92,0.315,-0.1," 11 100000000 000"
"143","construction_foreman",0.56,1.36,0.555," 11 010000000 000"
"144","construction_laborer",0.12,0.78,1.505," 11 010000000 000"
"145","consumer",0.39,-0.135,-0.045," 11 010000000 000"
"146","convict",-1.605,-0.295,0.89," 11 001000000 001"
"147","cook",0.9,0.1,-0.305," 11 010000000 000"
"148","cop",0.87,1.44,0.53," 11 001000000 001"
"149","copper",-0.1,1.37,0.36," 11 001000000 001"
"150","copycat",-1.74,-1.66,0.555," 11 100000000 000"
"151","coroner",-0.065,0.44,-0.705," 11 001001000 000"
"152","counselor",1.325,1.145,-0.135," 11 111111100 000"
"153","courtesan",0.015,-0.135,0.325," 01 010000001 001"
"154","cousin",1.035,-0.065,1.28," 11 000000010 000"
"155","coward",-1.375,-2.105,-0.825," 11 100000000 000"
"156","crab",-0.865,-0.67,-0.62," 11 100000000 000"
"157","crackpot",-1.08,-0.53,0.925," 11 100000000 000"
"158","crank",-1.575,-0.595,-0.13," 11 100000000 000"
"159","criminal",-1.79,-0.24,1.14," 11 001000000 000"
"160","cripple",0.09,-1.33,-1.08," 11 100001000 000"
"161","crippled_person",0.265,-0.93,-0.99," 11 100001000 000"
"162","critic",-0.27,1.075,0.295," 11 100110000 000"
"163","crone",-0.765,-0.52,-1.475," 01 100000000 000"
"164","crook",-2.255,0.58,1.055," 11 011000000 000"
"165","crybaby",-1.46,-1.515,1.82," 11 100000000 000"
"166","culprit",-1.805,-0.355,0.87," 11 001000000 010"
"167","customer",0.775,0.16,-0.025," 11 010000000 000"
"168","cutthroat",-2.535,0.945,1.03," 10 011100000 000"
"169","cynic",-1.02,-0.34,0.27," 11 100110000 000"
"170","dame",0.285,0.145,1.325," 01 100000000 000"
"171","dandy",0.34,0.31,1.61," 10 100000000 000"
"172","daredevil",-0.175,0.7,2.16," 11 100000000 000"
"173","darling",1.735,0.48,0.655," 01 100000000 001"
"174","daughter",1.46,-0.275,1.21," 01 000000010 000"
"175","daughter_in_law",1.365,-0.06,0.995," 01 000000010 000"
"176","deadbeat",-1.48,-1.745,-0.815," 11 010000000 000"
"177","deadhead",-1.22,-1.445,-1.11," 11 100000000 000"
"178","decorator",0.75,0.075,0.505," 11 010000000 000"
"179","defendant",-0.105,-1.025,-0.145," 11 001000000 000"
"180","degenerate",-1.36,-1.25,-0.035," 11 100001001 001"
"181","delinquent",-1.76,-0.805,2.055," 11 001000000 000"
"182","dental_assistant",1.02,0.235,0.81," 01 000001000 001"
"183","dental_hygienist",0.76,0.02,0.76," 01 000001000 001"
"184","dentist",0.62,1.115,-0.475," 11 000001000 001"
"185","deputy",0.505,1.195,0.425," 11 001000000 001"
"186","desperado",-1.81,1.16,1.525," 11 101000000 001"
"187","detective",0.83,1.38,0.22," 11 001000000 001"
"188","devil",-2.415,1.855,1.395," 11 100000100 000"
"189","devil",-2.915,1.685,1.085," 11 100000100 000"
"190","dietitian",0.855,0.405,-0.095," 11 010001000 000"
"191","dike",-0.645,0.405,0.45," 01 000000001 001"
"192","dimwit",-0.685,-1.24,-0.565," 11 100000000 000"
"193","diner",0.51,0.125,-0.2," 11 010000000 000"
"194","disabled_person",-0.00499999999999999,-1.15,-0.88," 11 000001000 000"
"195","disciplinarian",-0.185,1.29,-0.58," 11 000010110 001"
"196","dishwasher",0.185,-0.945,0.175," 11 010000000 000"
"197","district_attorney",0.195,1.94,0.92," 11 001000000 000"
"198","divorcee_(gender_neutral)",0.115,-0.315,0.505," 01 000000010 000"
"199","do_nothing",-1.735,-1.84,-0.565," 11 110000000 000"
"200","doctor",1.76,1.99,-0.3," 11 000001000 101"
"201","doll",1.425,-0.9,0.48," 01 100000000 000"
"202","dolt",-0.605,-0.88,0.35," 11 100000000 000"
"203","doorkeeper",0.425,-0.295,-0.675," 10 010000000 000"
"204","doorman",0.465,-0.68,-0.725," 10 010000000 000"
"205","dope",-1.1,-1.43,-0.045," 11 100000000 000"
"206","dressmaker",0.845,-0.235,-0.36," 11 010000000 000"
"207","drip",-1.18,-1.375,-0.57," 11 100000000 000"
"208","dropout",-0.83,-1.34,1.22," 11 000010000 000"
"209","drudge",-1.24,-1.165,-1.175," 11 110010000 000"
"210","drug_addict",-2.015,-1.735,0.825," 11 001001000 000"
"211","drunk",-1.415,-1.515,0.125," 11 100000000 000"
"212","drunkard",-1.78,-1.6,-0.32," 11 100000000 000"
"213","dullard",-1.1,-1.52,-1.31," 11 000010000 000"
"214","dumbbell",-0.705,-1.09,-0.06," 11 100000000 000"
"215","dummy",-0.485,-1.405,-0.645," 11 100000000 000"
"216","dunce",-1.005,-1.405,0.025," 11 100010000 000"
"217","easy_mark",0.075,-1.415,-0.34," 11 110000000 000"
"218","egghead",-0.495,-0.62,-0.31," 11 000010000 000"
"219","electrician",0.815,0.555,0.155," 11 010000000 000"
"220","elementary_school_teacher",1.41,0.84,0.38," 11 000010000 000"
"221","employee",0.775,-0.27,-0.095," 11 010000000 000"
"222","employer",0.765,1.99,-0.48," 11 010000000 000"
"223","embalmer",0.145,0.14,-1.275," 11 010001000 000"
"224","end_(football)",0.255,2.025,2.225," 10 010010000 001"
"225","engineer",0.975,1.135,0.555," 11 010000000 000"
"226","evangelist",0.065,0.875,0.825," 11 000000100 000"
"227","evildoer",-2.605,0.885,0.765," 11 000000100 000"
"228","executive",0.355,2.035,0.51," 11 010000000 000"
"229","expert",1.595,1.94,0.365," 11 011111000 000"
"230","extrovert",0.43,1.275,1.685," 11 100000000 000"
"231","eyewitness",0.91,1.4,0.315," 11 001000000 000"
"232","fag",-2.02,-1.64,0.515," 10 100000001 000"
"233","fairy",0.625,0.28,1.15," 10 000000001 000"
"234","fan",1,0.275,1.665," 11 110000000 000"
"235","fanatic",-0.985,-0.075,1.27," 11 100100000 000"
"236","farm_laborer",0.865,-0.325,0.005," 11 010000000 000"
"237","farmer",1.53,0.12,-0.78," 11 010000000 000"
"238","father",2.055,2.015,-0.51," 10 000000010 001"
"239","father_(my)",2.605,2.075,0.095," 10 000000010 000"
"240","father_in_law",1.34,0.885,-0.83," 10 000000010 000"
"241","faultfinder",-1.83,-0.845,-0.06," 11 100000000 000"
"242","fellow",1.325,0.38,0.405," 10 100000000 000"
"243","felon",-2.13,-0.125,0.965," 11 001000000 001"
"244","female",1.885,0.4,0.845," 01 100000001 000"
"245","fiend",-1.65,0.81,1.145," 11 100000101 000"
"246","file_clerk",0.3,-0.99,-0.24," 11 010000000 000"
"247","fink",-2.1,-1.065,0.84," 11 100000000 000"
"248","firebug",-0.88,0.065,1.04," 11 001000000 000"
"249","fireman",2.015,1.465,1.43," 10 001000000 001"
"250","firstborn",1.25,0.75,0.715," 11 000000010 000"
"251","fisherman",0.845,-0.07,-0.98," 11 110000000 000"
"252","flatfoot",-0.225,-0.38,-0.445," 11 001000000 000"
"253","flight_attendant",1.33,0.385,1.145," 11 010000000 000"
"254","flirt",-0.185,0.185,1.985," 11 000000001 000"
"255","floorwalker",0.04,-0.14,-0.085," 11 010000000 000"
"256","flunky",-1.365,-1.405,0.13," 11 110100000 000"
"257","fool",-1.295,-1.455,0.605," 11 100000000 000"
"258","freak",-1.085,-0.72,0.99," 11 100000000 000"
"259","freshman",0.68,-1.175,1.92," 11 000010000 000"
"260","friend",3.065,1.51,0.595," 11 100000000 000"
"261","fruit",-0.63,-1.03,0.265," 10 100000001 000"
"262","fuddy_duddy",-0.95,-1.115,-0.985," 11 100000000 000"
"263","fugitive",-1.4,-0.465,0.8," 11 001000000 001"
"264","fullback",0.46,2.055,2.1," 10 010010000 001"
"265","funeral_director",-0.08,-0.025,-1.135," 11 010000000 000"
"266","g_man",-0.685,1.52,0.725," 11 001000000 001"
"267","gal",0.835,-0.11,1.145," 01 100000000 000"
"268","gambler",-0.595,-0.13,1.055," 11 110000000 000"
"269","gangster",-1.97,1.545,1.455," 10 011000000 000"
"270","garbage_collector",0.175,-0.395,0.005," 11 010000000 000"
"271","gas_station_attendant",0.7,-0.575,0.03," 11 010000000 000"
"272","geezer",-0.055,-0.695,-1.74," 10 100000000 000"
"273","genius",1.185,1.39,0.015," 11 000010000 000"
"274","gent",1.345,0.685,0.185," 10 100000000 000"
"275","gentleman",2.27,1.435,-0.33," 10 100000000 000"
"276","ghoul",-1.375,0.61,0.54," 11 100000000 000"
"277","gigolo",-0.89,-0.29,0.905," 10 010000001 001"
"278","girl",1.22,-0.53,0.935," 01 100000001 000"
"279","girl_scout",1.41,-0.775,1.72," 01 100000000 000"
"280","glutton",-1.215,-0.5,-0.22," 11 100000000 000"
"281","god",3.305,3.59,-0.36," 11 000000100 000"
"282","gold_digger",-0.65,0.05,1.89," 01 010000001 000"
"283","goody",0.155,-0.45,-0.34," 11 100000000 000"
"284","goon",-0.98,-0.385,0.46," 10 100000000 000"
"285","gossip",-1.88,0.345,0.785," 11 100000000 000"
"286","gourmet",0.81,0.22,0," 11 100000000 000"
"287","graduate_student",0.57,0.565,0.685," 11 000010000 000"
"288","grandchild",2.185,-0.69,2.265," 11 000000010 001"
"289","granddaughter",1.205,-0.585,1.51," 01 000000010 001"
"290","grandfather",2.225,1.335,-1.685," 10 000000010 001"
"291","grandmother",2.325,0.27,-1.63," 01 000000010 001"
"292","grandparent",2.38,0.875,-1.7," 11 000000010 001"
"293","grandson",1.635,-0.31,2.13," 10 000000010 001"
"294","granny",2.09,-0.125,-1.92," 01 000000010 000"
"295","grind",-0.98,0.035,-0.58," 11 000010000 000"
"296","grouch",-1.47,-0.03,-0.57," 11 100000000 000"
"297","grown_up",1.215,1.43,-0.575," 11 000000010 000"
"298","guard_(football)",0.295,2.205,1.93," 10 010010000 001"
"299","guest",1.43,-0.18,-0.22," 11 100000010 000"
"300","gun_moll",-0.925,0.09,1.405," 01 001000000 001"
"301","gunman",-1.94,1.605,1.22," 10 001000000 001"
"302","guy",1.305,0.875,0.96," 10 100000000 000"
"303","hag",-1.33,-0.69,-1.16," 01 100000000 000"
"304","half_brother",1.155,0.49,1.24," 10 000000010 000"
"305","half_sister",0.535,-0.115,0.72," 01 000000010 000"
"306","half_wit",-0.92,-1.65,-0.265," 11 100000000 000"
"307","halfback",0.605,1.715,2.25," 10 010010000 001"
"308","handicapped_person",0.33,-0.955,-0.91," 11 001001000 000"
"309","handyman",1.36,0.15,-0.495," 10 110000000 000"
"310","hanger_on",-0.725,-1.165,-0.025," 11 100000000 000"
"311","harlot",-1.385,-0.525,1.995," 01 010000001 001"
"312","has_been",-0.395,-1.15,-1.115," 11 010110000 000"
"313","he_man",0.125,1.915,1.64," 10 100000000 000"
"314","headwaiter",0.82,0.955,-0.235," 10 010000000 000"
"315","heel",-1.18,-0.41,0.785," 11 100000000 000"
"316","henchman",-1.63,0.7,0.4," 10 001000000 001"
"317","hermit",-0.03,-0.995,-1.625," 11 100000000 000"
"318","hero",2.07,2.31,1.05," 10 100000000 000"
"319","heroine",1.525,1.185,1.41," 01 100000000 000"
"320","heterosexual",1.46,0.595,0.365," 11 000000001 000"
"321","hick",-0.64,-0.825,0.24," 11 100000000 000"
"322","highwayman",-0.53,0.88,0.545," 10 001000000 001"
"323","hillbilly",-0.015,-0.51,-0.15," 11 100000000 000"
"324","hippie",-0.47,-0.735,1.33," 11 100000000 000"
"325","hipster",-0.47,-0.235,1.23," 11 100000000 000"
"326","hobo",-0.785,-1.795,-1.215," 11 100000000 000"
"327","homebody",0.205,-0.7,-1.04," 11 100000010 000"
"328","homo",-1.41,-0.925,0.685," 10 100000001 000"
"329","homosexual",-1.17,-0.7,0.355," 11 000000001 000"
"330","hood",-2.085,0.8,1.405," 10 001000000 000"
"331","hoodlum",-2.175,0.545,1.525," 10 001000000 000"
