"","term","E","P","A"
"157","discontented",-2.38,-1.62,-1.32
"158","discouraged",-2.48,-2.07,-1.85
"159","discreet",1.6,0.51,-1.86
"160","disgusted",-2.11,-0.61,-0.37
"161","disheartened",-2.33,-1.87,-1.86
"162","dishonest",-2.88,-1,-0.16
"163","disloyal",-2.98,-0.27,0.25
"164","dismayed",-1.87,-1.58,-1.12
"165","disobedient",-2.05,0.14,1.32
"166","displeased",-1.95,-0.84,-0.41
"167","disreputable",-2.41,-1.09,0.36
"168","disrespectful",-2.46,-0.57,1.35
"169","dissatisfied",-2.16,-1.72,-0.87
"170","distant",-1.23,-1.05,-1.93
"171","distressed",-2.47,-1.52,-0.06
"172","distrustful",-1.57,-0.85,-0.41
"173","disturbed",-2.24,-1.49,-0.12
"174","divorced",-1.36,-0.66,0.24
"175","dogmatic",-0.87,0.44,0.83
"176","dominant",0.24,2.65,1.92
"177","domineering",-1.12,1.84,1.91
"178","doubtful",-0.91,-1.2,-1.18
"179","downhearted",-2.16,-1.81,-2
"180","drowsy",-1.33,-1.9,-2.77
"181","drunken",-1.9,-1.78,1.21
"182","dull",-1.63,-1.79,-2.48
"183","dumb",-2.13,-2.33,-1.5
"184","dutiful",1.52,0.53,0.03
"185","eager",1.58,1,1.5
"186","earnest",2.3,1.36,0.11
"187","easygoing",2.37,0.61,-1.23
"188","eccentric",0.98,0.77,1.27
"189","ecstatic",2.69,1.71,2.18
"190","educated",3.43,2.76,0.71
"191","effective",3.05,2.36,1.18
"192","efficient",2.92,1.93,1.06
"193","egoistic",-2.11,0.29,1.69
"194","egotistical",-2.27,0.59,1.38
"195","elated",2.95,2.03,1.75
"196","elderly",0.62,-1.13,-1.94
"197","elegant",2.31,1.67,-0.87
"198","embarrassed",-2.05,-1.96,-0.96
"199","embittered",-2.28,-1.45,-0.78
"200","emotional",0.85,0.15,0.77
"201","empathetic",2.79,1.58,-0.28
"202","employed",3.18,1.87,1.56
"203","empty",-2.73,-2.6,-2.4
"204","energetic",2.68,2.19,2.64
"205","enraged",-2.49,0.45,2.4
"206","enterprising",2.12,2.01,1.93
"207","enthralled",1.67,0.63,0.9
"208","enthusiastic",2.78,2.1,2.25
"209","entrusting",1.47,0.85,-0.38
"210","envious",-2.02,-1.6,-0.66
"211","erratic",-1.67,-0.55,2.18
"212","esteemed",2.74,2.26,0.46
"213","euphoric",2.74,1.99,1.36
"214","evil",-3.6,0.71,1.22
"215","exasperated",-1.93,-1.76,0.03
"216","excitable",1.01,0.85,2.54
"217","excited",2.55,1.77,2.33
"218","experienced",2.72,2.22,0.88
"219","extravagant",0.03,1.26,2.07
"220","extroverted",1.17,1.4,2.63
"221","exuberant",2.31,1.7,2.28
"222","fair",3.14,2.13,-0.08
"223","faithful",2.91,1.8,-0.45
"224","fashionable",1.11,0.83,1.09
"225","fearful",-2.01,-2.18,-0.64
"226","fed_up",-2.07,-1.47,0.17
"227","female",1.91,0.53,0.65
"228","feminine",1.11,0.22,0.02
"229","fickle",-1.15,-0.81,-0.04
"230","finicky",-1.38,-0.78,0.36
"231","flamboyant",0.26,0.84,2.5
"232","flexible",2.53,1.51,0.45
"233","flustered",-1.97,-1.65,0.67
"234","foolish",-2.37,-1.9,0.3
"235","forgetful",-1.82,-1.58,-1.38
"236","forgiving",2.88,2.33,-0.54
"237","fretful",-1.73,-1.61,0.39
"238","friendly",3.02,1.9,1.07
"239","frivolous",-1.44,-0.47,1.08
"240","frustrated",-2.23,-1.62,0.66
"241","fun_loving",2.73,1.55,1.96
"242","furious",-1.93,0.12,1.72
"243","generous",3.11,2.23,0.41
"244","gentle",2.78,0.72,-1.54
"245","giddy",2,0.86,1.91
"246","glad",3.17,1.92,0.47
"247","gleeful",2.46,1.48,1.72
"248","gloomy",-2.23,-1.84,-2.12
"249","glum",-2.21,-1.94,-2.34
"250","good",3.62,2.06,0.62
"251","good_natured",3.19,1.76,0.09
"252","gossipy",-2,-0.25,2.01
"253","gourmet",1.77,0.97,0.41
"254","graceful",2.71,1.25,-0.78
"255","grateful",3.01,1.76,-0.15
"256","greedy",-2.59,0.13,0.82
"257","gregarious",1.45,1.3,2
"258","grief_stricken",-2.35,-1.21,-1.53
"259","grouchy",-2.1,-0.68,0.01
"260","grumpy",-1.91,-1.01,-0.81
"261","guilty",-1.7,-1.17,-1.21
"262","gullible",-2.11,-2.31,-1.56
"263","handsome",2.36,1.62,0.26
"264","happy",3.54,2.54,1.28
"265","hardworking",3.08,2.28,2.11
"266","hassled",-2.66,-1.42,1.66
"267","haughty",-2.03,0.05,0.81
"268","heart_broken",-3.03,-1.64,-1.82
"269","heavy_hearted",-1.57,-1.41,-1.61
"270","helpful",3.22,2.19,1.18
"271","helpless",-2.89,-3.14,-1.87
"272","hesitant",-0.4,-1.17,-1.85
"273","homesick",-1.72,-1.11,-1.46
"274","honest",3.34,2.45,0.24
"275","honorable",3.35,2.6,0.32
"276","hopeful",2.96,1.64,-0.59
"277","hopeless",-3.01,-2.79,-2.32
"278","horny",1.28,0.89,1.72
"279","horrified",-2.48,-1.55,0.88
"280","hostile",-2.65,0.38,2
"281","hotheaded",-2.73,0.15,2.68
