"","term","E","P","A"
"207","loser",-1.8,-1.06,0.54
"208","loved_one",2.84,2.23,-1.03
"209","lunatic",-1.22,-0.21,1.46
"210","male",0.88,1.18,0.2
"211","mama's_boy",-1.29,-0.9,0.49
"212","man",1.97,2.15,-0.1
"213","manageress",1.13,1.63,0.09
"214","maniac",-1.74,-0.59,0.53
"215","masochist",-2.29,-1.01,1.31
"216","matriarch",-0.64,0.02,0.66
"217","mental_case",-0.98,-0.96,0.63
"218","merchant",1.41,1.34,0
"219","millionaire",1.03,1.88,0.4
"220","minister",-0.45,-0.03,-0.23
"221","mistress",1.6,1.07,-0.13
"222","mobster",-2.33,-1.01,1.54
"223","moron",-2.03,-1.15,0.53
"224","mother",2.89,2.43,-0.63
"225","mugger",-2.79,-1.38,2.5
"226","murderer",-2.96,-0.99,1.94
"227","murderess",-3.09,-0.94,1.79
"228","negotiator",1.38,1,-0.32
"229","neighbor",1.33,1.09,-0.59
"230","nephew_(son_of_brother)",2.02,1.19,-0.47
"231","nephew_(son_of_sister)",2.22,0.79,0.22
"232","neurotic",-1.62,-0.6,2.01
"233","newlywed",2.29,1.69,-0.16
"234","niece_(daughter_of_brother)",1.83,1.5,-0.16
"235","niece_(daughter_of_sister)",2.68,1.61,-0.3
"236","nobody",-1.75,-1.14,0.28
"237","non_smoker",2.42,2.18,-0.97
"238","novice",0.97,0.35,-0.72
"239","nurse",1.63,1.41,-0.95
"240","office_boy",1.01,0.32,-0.64
"241","old_man",1.51,0.02,-1.06
"242","old_timer",1.05,-0.08,-0.87
"243","opponent",-0.41,0.9,0.32
"244","opportunist",-2.32,-0.95,1.31
"245","organizer",2.24,2.27,-0.57
"246","orphan",0.1,0.09,-0.39
"247","outlaw",-2.62,-0.95,2.18
"248","pagan",-2.68,-1.99,1.7
"249","paranoid",-1.9,-1.31,1.14
"250","parolee",0.16,-0.17,0.26
"251","passer_by",1,0.43,-0.64
"252","pastor",-0.03,-0.15,-0.24
"253","patient",-0.78,-0.46,-0.35
"254","patriot",3.09,2.25,-0.1
"255","patrolman",1.78,1.76,-0.13
"256","pauper",0.21,0.54,-0.22
"257","pedestrian",0.46,0.4,-0.12
"258","pediatrician",2.1,1.66,-0.86
"259","pessimist",-2.09,-1.17,0.96
"260","pest",-2.21,-0.56,1.72
"261","pickpocket",-2.59,-1.21,1.39
"262","pimp",-3.25,-2.14,1.62
"263","plainclothesman",-0.17,-0.35,0.33
"264","playmate",1.89,1.46,-0.2
"265","police_officer",0.53,0.62,0.75
"266","politician",0.79,1.13,0.51
"267","pornographer",-2.32,-1.58,1.36
"268","practical_nurse",2.02,1.52,-1.13
"269","preacher",1.82,1.8,-0.43
"270","priest",-0.1,-0.21,0.15
"271","priestess",0.48,0.25,-0.13
"272","private_eye",0.15,0.36,0.47
"273","probationer",-1.19,0.02,0.98
"274","professor",1.73,1.74,-0.3
"275","protege",-1.18,-0.51,0.07
"276","protester",0.11,0.32,0.74
"277","psychiatrist",1.66,1.12,-1.09
"278","psychopath",-1.03,-0.89,0.63
"279","psychotic",-1.38,-0.86,0.67
"280","public_defender",2.96,2.57,-0.17
"281","pupil",1.81,1.24,-0.49
"282","purchaser",0.86,0.65,-0.21
"283","rabbi",-1.66,-0.95,1.04
"284","racist",-2.5,-1.61,1.65
"285","racketeer",-2.56,-1.14,1.19
"286","rapist",-3.34,-1.47,1.68
"287","receptionistf",1.06,1.03,-0.38
"288","receptionistm",1.07,0.63,-0.84
"289","registered_nurse",-0.64,0.24,0.51
"290","relative",1.82,1.51,-0.46
"291","retiree",-0.25,-0.2,-0.25
"292","right_hand_man",1.52,1.21,-0.34
"293","right_winger",0.91,0.71,-0.14
"294","rival",1.62,1.75,0.26
"295","robber",-3.12,-1.02,1.7
"296","role_model",2.99,2.8,-0.17
"297","roommate",1.35,0.64,-0.41
"298","saint",0.4,0.11,-0.67
"299","saleslady",1.05,0.32,-0.27
"300","salesman",1.23,0.42,0.1
"301","schizophrenic",-1.11,-0.97,0.51
"302","scholar",2.16,1.82,-0.49
"303","schoolgirl",1.78,0.43,-0.32
"304","schoolmate",2.1,1.91,0.02
"305","schoolteacher",1.72,1.74,-0.6
"306","scientist",2.14,2.12,-0.09
"307","scrooge",-2.23,-1.25,0.95
"308","secretary_(female)",1.52,0.36,-0.75
"309","secretary_(male)",1.51,0.78,-0.54
"310","senior_citizen",1.36,-0.08,-1.15
"311","serial_murderer",-3.15,-0.21,1.88
"312","server",0.96,0.08,-0.86
"313","sexist",0.28,0.2,0.33
"314","sheriff",0.46,1.09,-0.6
"315","shopkeeper",1.25,1.09,-0.25
"316","shoplifter",-2.88,-1.33,1.94
"317","shopper",1.45,0.99,-0.3
"318","sibling",2.38,1.23,-1.14
"319","sick_person",0.06,-0.46,-0.35
"320","sinner",-1.97,-0.71,0.93
"321","sister",2.63,1.89,-0.38
"322","skilled_worker",2.75,2.2,-0.17
"323","skirt_chaser",-2.58,-1.09,1.54
"324","slut",-2.56,-1.09,1.52
"325","small_businessman",2.27,1.61,0.12
"326","smoker",-2.21,-1.74,1.5
"327","son",2.2,1.91,-0.24
"328","son_in_law",0.93,0.78,0.06
"329","soul_mate",2.5,1.88,-0.32
"330","spendthrift",-1.83,-1.24,0.76
"331","spinster",-1.41,-1.32,0.2
"332","spokesman",1.53,1.42,-0.39
"333","sponger",-2.73,-1.57,1.19
"334","sports_fan",2.1,1.37,0.78
"335","steady",2.78,2.22,-0.51
"336","stepchild",0.82,0.45,0.07
"337","stepfather",-1.25,-0.22,1.08
"338","stool_pigeon",-0.49,-0.69,0.72
"339","stranger",0.29,-0.06,-0.29
"340","strike_breaker",-0.7,-0.24,0.77
"341","strike_leader",-0.5,0.88,0.78
"342","stud",-2.55,-0.54,1.24
"343","student",1.39,0.99,0.04
"344","subordinate",-1.54,-1.19,0.03
"345","superior",1.05,1.53,0.28
"346","superordinate",1.04,0.9,-0.46
"347","supporter",1.15,0.94,0.09
"348","surgeon",2.17,1.88,-0.67
"349","survivor",1.79,1.31,0.62
"350","suspect",-1.47,-0.4,0.87
"351","sweetheartf",2.21,1.42,-0.84
"352","sweetheartm",2.41,1.22,-0.39
"353","taxpayer",1.2,0.8,0.21
"354","teacher",2.03,1.6,-0.66
"355","teammate",2.1,1.88,0.15
"356","tease",-2.79,-0.87,2.08
"357","teenager",-0.02,-0.47,0.47
"358","temporary_worker",0.02,-0.29,-0.17
"359","tenant",0.61,-0.28,-0.32
"360","terrorist",-2.45,-1.16,2.2
"361","thug",-2.93,-0.92,1.9
"362","toddler",-0.33,-0.97,-0.59
"363","tomboy",-2.1,-0.89,1.16
"364","tot",0,-0.57,-0.35
"365","trainee",1.51,1.41,-0.36
"366","traitor",-3.26,-1.96,1.97
"367","traveler",1.69,1.13,-0.69
"368","troublemaker",-2.37,-1,1.74
"369","tutor",0.04,0.23,0.16
"370","uncle",1,0.59,0.2
"371","underachiever",-0.96,-1.14,-0.53
"372","underdog",-1.22,-0.44,0.9
"373","undergraduate",-0.8,-0.72,0.34
"374","unemployed_person",-0.93,-1.06,0.25
"375","university_student",2.41,1.94,-0.23
"376","victim",-0.88,-0.89,0.74
"377","villain",-2.75,-1.48,1.73
"378","visitor",1.46,0.94,-0.48
"379","voter",0.72,0.54,-0.28
"380","waiter",-0.72,-0.49,-0.09
"381","waitress",0.16,-0.52,-0.5
"382","whiz_kid",2.36,1.66,-0.08
"383","whore",-2.54,-1.33,1.67
"384","widow",-0.44,-0.3,0.24
"385","widower",-0.34,-0.53,-0.24
"386","wife",2.16,1.28,-0.7
"387","wife_abuser",-2.53,-0.64,2
"388","windbag",-1.53,-0.57,0.98
"389","winner",2.99,2.77,0.68
"390","witness",1.66,0.97,-0.38
"391","woman",1.66,0.84,-0.44
"392","womanizer",-1.52,-0.47,1.15
"393","workman",1.39,1.2,-0.41
"394","workmate",1.58,1.29,-0.44
"395","youngster",1.72,1.65,0.41
"396","youthf",1.23,0.74,-0.2
"397","youthm",1.97,1.49,0.82
