"","term","E","P","A","instcodes"
"1","academic",0.81,0.54,-0.765," 11 000010000 000"
"2","accomplice",-1.545,-0.33,0.34," 11 001000000 000"
"3","accountant",-0.115,-1.455,-1.8," 11 010000000 000"
"4","accuser",-1.485,1.07,1.35," 11 111100000 000"
"5","acid_head",-1.73,-1.505,-0.26," 11 100000000 000"
"6","acquaintance",1.72,0.41,0.54," 11 100000000 000"
"7","adolescent",0.475,0.33,1.875," 11 100000010 000"
"8","adult",0.225,1.22,-0.525," 11 101000010 000"
"9","adulterer",-1.6,0.445,0.745," 10 000000011 001"
"10","adulteress",-1.31,-0.23,0.37," 01 000000011 001"
"11","advisor",1.545,0.95,-0.945," 11 110110000 000"
"12","airline_pilot",1.55,1.045,-1.045," 11 010000000 000"
"13","alcoholic",-1.85,-0.915,0.465," 11 100001000 000"
"14","amateur",0.44,-0.61,0.715," 11 100000000 000"
"15","applicant",0.73,-0.885,-0.525," 11 011000000 000"
"16","apprentice",0.495,-0.815,0.205," 11 010000000 000"
"17","architect",1,0.23,-0.75," 11 010000000 000"
"18","ass",-2.355,1.135,1.055," 11 100000000 000"
"19","assailant",-2.765,2.135,2.545," 11 001000000 001"
"20","assistant",0.84,-0.22,0.05," 11 110001000 000"
"21","athlete",1.265,2.675,1.825," 11 010010000 001"
"22","attorney",0.545,1.08,-0.63," 11 011000000 000"
"23","auctioneer",0.17,0.995,2.2," 11 010000000 000"
"24","aunt",1.355,0.245,0.615," 01 000000010 000"
"25","author",1.525,0.3,-0.93," 11 010010000 000"
"26","authority",-0.085,2.05,-1.3," 11 111111100 000"
"27","auto_mechanic",0.125,1.645,0.63," 11 010000000 000"
"28","baby",2.37,-3.25,2.28," 11 100001010 001"
"29","babysitter",2.01,-0.2,-1.18," 11 000000010 011"
"30","bachelor",0.875,0.24,0.57," 10 000000011 000"
"31","baker",1.39,1.3,0.27," 11 010000000 000"
"32","bandit",-2.645,1.7,1.165," 11 001000000 000"
"33","banker",-0.325,0.335,-0.89," 11 010000000 001"
"34","barkeeper",1.63,0.945,1.345," 11 010000000 000"
"35","barmaid",0.255,0.265,1.21," 01 010000000 000"
"36","beauty",2.215,-0.41,-0.045," 01 100000000 001"
"37","beggar",-1.295,-1.745,-0.96," 11 100000000 000"
"38","beginner",0.285,-1.265,-0.395," 11 100000001 000"
"39","bigamist",-1.405,0.34,0.8," 11 001000011 011"
"40","bigot",-1.78,-1.655,-1.195," 11 100000000 000"
"41","bill_collector",-2.77,2.055,1.225," 11 010000000 000"
"42","bisexual",0.26,-0.345,0.18," 11 000000001 001"
"43","blabbermouth",-1.71,-0.135,2.455," 11 100000000 000"
"44","blacksmith",0.865,2.725,0.82," 11 010000000 000"
"45","blind_date",0.055,-0.2,0.075," 11 000000001 001"
"46","bodyguard",-0.325,2.55,-0.185," 11 001100000 001"
"47","bohemian",0.675,0.28,0.275," 11 100000000 000"
"48","bookworm",0.535,-1.47,-2.02," 11 000010000 000"
"49","boss",-0.29,1.755,0.485," 11 010000000 000"
"50","bouncer",-2.355,2.88,1.595," 10 010000000 001"
"51","boxer",-1.295,3.145,2.305," 10 010000000 001"
"52","boy_scout",1.285,0.27,0.72," 10 100000000 000"
"53","braggart",-2.675,0.545,2.355," 11 100000000 000"
"54","brat",-0.65,-0.3,2.505," 11 100000010 000"
"55","brother",2.215,0.98,0.91," 10 000000010 000"
"56","brother_in_law",0.98,0.57,0.185," 10 000000010 000"
"57","brute",-3.55,2.75,2.525," 10 100000000 001"
"58","buddy",2.69,0.71,-0.265," 11 100000000 000"
"59","building_superintendent",-0.72,1.08,0.665," 11 010000000 000"
"60","bulldozer_operator",-0.28,2.17,0.915," 11 010000000 000"
"61","burglar",-2.835,0.88,-0.84," 11 011000000 000"
"62","bus_driver",0.14,1.215,-0.81," 11 010000000 000"
"63","butcher",-0.34,2.315,1.13," 11 010000000 000"
"64","bystander",0.055,-0.23,-0.055," 11 100000000 000"
"65","call_girl",-0.07,-0.69,1.37," 01 000000001 001"
"66","captive",-1.195,-0.205,-0.75," 11 001100001 001"
"67","car_driver",-0.225,0.805,1.24," 11 100000000 000"
"68","carpenter",0.895,1.925,0.555," 11 010000000 000"
