"","term","E","P","A","instcodes"
"105","crippled_person",-0.04,-1.17,-1.22," 11 100001000 000"
"106","critic",-0.17,1.05,-0.39," 11 100110000 000"
"107","crone",-0.26,-0.31,-0.54," 01 100000000 000"
"108","crybaby",-1.84,-1.89,0.73," 11 100000000 000"
"109","culprit",-1.39,0.14,0.65," 11 001000000 010"
"110","customer",1.2,1.13,0.61," 11 010000000 000"
"111","cutthroat",-2.13,0.19,0.48," 10 011100000 000"
"112","cynic",-0.71,0.02,-0.18," 11 100110000 000"
"113","daughter",1.86,-0.24,2.26," 01 000000010 000"
"114","decorator",0.82,0.46,0.95," 11 010000000 000"
"115","defendant",0.03,-1,-0.08," 11 001000000 000"
"116","delinquent",-1.57,-0.83,0.94," 11 001000000 000"
"117","dental_assistant",0.78,0.24,0.92," 01 000001000 001"
"118","dentist",1.36,0.83,0.01," 11 000001000 001"
"119","desperado",0.24,1.09,0.99," 11 001000000 001"
"120","detective",1.4,1.61,0.35," 11 001000000 001"
"121","devil",-3.14,1.79,0.42," 11 100000100 000"
"122","diner",0.77,0.02,0.09," 11 010000000 000"
"123","disciplinarian",-0.05,1.46,-0.48," 11 000010110 001"
"124","dishwasher",0.8,-0.34,0.6," 11 010000000 000"
"125","divorcee_(gender_neutral)",-0.64,-0.38,-0.38," 01 000000010 000"
"126","doll",1.11,-1.42,0.16," 01 100000000 000"
"127","dolt",-0.58,-0.74,0.07," 11 100000000 000"
"128","dropout",-2.06,-2.39,0.49," 11 000010000 000"
"129","drug_addict",-2.89,-1.92,-0.31," 11 001001000 000"
"130","drunk",-1.57,-1.86,-0.44," 11 100000000 000"
"131","drunkard",-1.58,-1.65,-1.14," 11 100000000 000"
"132","egghead",-0.05,-0.64,-0.56," 11 000010000 000"
"133","electrician",1.36,1.08,0.26," 11 010000000 000"
"134","employee",1.07,-0.5,0.38," 11 010000000 000"
"135","employer",0.46,1.86,-0.55," 11 010000000 000"
"136","enemy",-2.03,0.25,-0.01," 11 100100000 001"
"137","engineer",1.32,1.1,0.03," 11 010000000 000"
"138","entrepreneur",1.1,1.12,0.71," 11 010000000 000"
"139","evangelist",0.69,1.49,0.2," 11 000000100 000"
"140","executive",0.51,2.07,0," 11 010000000 000"
"141","expert",1.49,2.3,-0.1," 11 011111000 000"
"142","extrovert",0.95,0.7,1.37," 11 100000000 000"
"143","eyewitness",1.43,1.22,0.23," 11 001000000 000"
"144","fairy",1.83,0.23,1.45," 10 000000001 000"
"145","fan",1.92,1.22,1.35," 11 100000000 000"
"146","fanatic",-0.16,0.43,0.85," 11 100100000 000"
"147","farm_laborer",1.14,0.14,-0.2," 11 010000000 000"
"148","farmer",1.51,0.16,-0.86," 11 010000000 000"
"149","father_in_law",0.72,1,-0.68," 10 000000010 000"
"150","father",2.6,2.23,0.16," 10 000000010 001"
"151","fellow",0.84,0.37,0.54," 10 100000000 000"
"152","female",2.45,-0.29,1.62," 01 100000001 000"
"153","fireman",2.22,2.12,1.9," 10 001000000 001"
"154","fisherman",0.95,0.38,-0.79," 11 110000000 000"
"155","flight_attendant",1.68,-0.46,1.42," 11 010000000 000"
"156","fool",-1.47,-1.67,-0.29," 11 100000000 000"
"157","freak",-0.54,-0.4,0.67," 11 100000000 000"
"158","freshman",0.61,-0.62,1.63," 11 000010000 000"
"159","friend",3.14,2.31,1.92," 11 100000000 000"
"160","funeral_director",0.41,0.31,-1.2," 11 010000000 000"
"161","g_man",-0.68,0.2,0.28," 11 001000000 001"
"162","gambler",-0.73,0.63,0.35," 11 110000000 000"
"163","garbage_collector",0.33,-0.09,-0.36," 11 010000000 000"
"164","genius",1.48,1.74,0.49," 11 000010000 000"
"165","gentleman",3.14,1.82,0.56," 10 100000000 000"
"166","gigolo",-0.48,0.12,0.95," 10 010000001 001"
"167","girl",2.39,-0.42,1.8," 01 100000001 000"
"168","glutton",-1.42,-0.72,-1.08," 11 100000000 000"
"169","god",3.74,3.87,0.5," 11 000000100 000"
"170","granddaughter",1.76,-0.76,2.32," 01 000000010 001"
"171","grandfather",2.48,1.54,-1.16," 10 000000010 001"
"172","grandmother",2.23,-0.17,-1.9," 01 000000010 001"
"173","grandparent",2.44,0.73,-1.5," 11 000000010 001"
"174","grandson",2.09,-0.89,2.05," 10 000000010 001"
"175","granny",2.68,-0.32,-2.23," 01 000000010 000"
