"","term","E","P","A"
"155","passionate",2.48,2.14,-0.16
"156","peaceful",1.1,0.92,-0.67
"157","perceptive",2.17,1.94,-0.18
"158","persistent",1.81,1.63,0.06
"159","petrified",-1.23,-0.23,0.82
"160","petty",-2.29,-1.7,0.89
"161","playful",1.88,1.35,0.9
"162","polite",2.85,2.15,-0.87
"163","pompous",-2.71,-1.29,0.96
"164","poor",-0.47,0.25,-0.18
"165","popular",3.08,2.82,-0.54
"166","prejudiced",-0.48,0.05,0.61
"167","proud",2.12,2.05,-0.17
"168","quarrelsome",-1.52,-0.52,1.76
"169","raunchy",-2.65,-1.04,1.56
"170","rebellious",-1.28,-0.21,1.32
"171","reckless",-1.67,-0.79,1.35
"172","regretful",0.08,0.94,0.28
"173","relaxed",1.98,1.3,-1.36
"174","remorseful",-0.72,0.06,0.92
"175","repentant",-0.32,0.66,0.23
"176","resentful",-1.24,-0.43,0.5
"177","responsible",2.86,2.74,-0.32
"178","rich",1.77,1.65,-0.04
"179","rude",-2.37,-1.54,1.71
"180","ruthless",-1.66,-0.14,1.4
"181","sad",-0.74,0.14,0.37
"182","sadistic",-2.95,-1.17,1.88
"183","saintly",1.21,0.85,-0.71
"184","sarcastic",-1.76,-0.99,0.87
"185","satisfied",2.9,2.17,-0.99
"186","self_denying",-1.48,-1.46,1.11
"187","self_pitying",0.23,-0.1,-0.16
"188","self_righteous",-0.78,-0.67,0.32
"189","self_satisfied",2.29,2.04,-0.17
"190","selfish",-2.3,-1.48,1.25
"191","sensitive",1.72,0.99,-0.93
"192","sentimental",1.92,1.56,-1.21
"193","serene",2.3,1.83,-0.73
"194","shrewd",1.9,1.22,0.08
"195","shy",0.96,0.19,-0.62
"196","sly",-1.74,-0.84,0.51
"197","smug",-0.5,-0.32,0.82
"198","soft_spoken",1.04,0.45,-1.1
"199","sorry",1.13,0.98,0
"200","spiteful",-2.41,-1.31,1.08
"201","stingy",-2.68,-1.5,0.44
"202","strict",1.52,1.32,-0.32
"203","stubborn",-0.72,-0.11,1.26
"204","stupid",-2.48,-1.27,0.88
"205","submissive",-1.33,-0.97,0.32
"206","suicidal",-2.06,-1.45,1.67
"207","suspicious",-2.39,-1.24,1.7
"208","sympathetic",2.17,1.26,-0.44
"209","tactful",2.8,2.14,-1.28
"210","temperamental",-0.59,0.09,0.79
"211","terrified",-2.87,-0.71,1.81
"212","thankful",1.44,1.31,-0.16
"213","thoughtless",-2.4,-1.07,1.4
"214","tolerant",2.51,2.55,-1.12
"215","touched",0.87,0.66,0.06
"216","unadventurous",-0.2,-1.06,-0.7
"217","unambitious",-2.22,-1.73,0.55
"218","uncomfortable",-1.74,-0.53,0.76
"219","uneasy",-1.7,-0.43,1.08
"220","unfriendly",-2.15,-1.32,1.27
"221","unhappy",-1.7,-0.87,0.49
"222","unimaginative",-1.16,-0.97,-0.24
"223","unpopular",-2.16,-1.15,1.19
"224","unreliable",-2.7,-1.56,1.07
"225","vain",-1.97,-1.03,1.5
"226","vengeful",-1.86,-0.79,1.62
"227","violent",-2.06,-0.62,1.54
"228","virtuous",2.52,2.15,-1.1
"229","warm",2.23,1.46,-1.04
"230","wise",2.8,2.35,-1.29
"231","withdrawn",-1.3,-0.97,-0.46
"232","worried",-1.69,-0.3,1
"233","young",1.49,0.26,-0.17
