"","term","E","P","A","instcodes"
"106","critic",-0.5,0.89,-0.14," 11 100110000 000"
"107","crone",-0.19,-0.43,-1.46," 01 100000000 000"
"108","crybaby",-1.55,-1.42,-0.22," 11 100000000 000"
"109","culprit",-1.59,0.18,0.49," 11 001000000 010"
"110","customer",0.97,0.87,0.35," 11 010000000 000"
"111","cutthroat",-1.48,0.7,0.51," 10 011100000 000"
"112","cynic",-0.34,-0.11,-0.03," 11 100110000 000"
"113","daughter",2.06,0.14,1.87," 01 000000010 000"
"114","decorator",0.92,0.4,0.64," 11 010000000 000"
"115","defendant",0.16,-0.33,0.11," 11 001000000 000"
"116","delinquent",-1.76,-0.38,1.48," 11 001000000 000"
"117","dental_assistant",1.34,0.5,0.94," 01 000001000 001"
"118","dentist",1.52,0.97,-0.02," 11 000001000 001"
"119","desperado",0.23,0.91,1.07," 11 001000000 001"
"120","detective",1.35,1.42,0.06," 11 001000000 001"
"121","devil",-2.95,0.76,0.73," 11 100000100 000"
"122","diner",1,0.14,-0.11," 11 010000000 000"
"123","disciplinarian",0.1,1.84,0.14," 11 000010110 001"
"124","dishwasher",1.07,0.3,0.18," 11 010000000 000"
"125","divorcee_(gender_neutral)",-1.03,-0.81,-0.26," 01 000000010 000"
"126","doll",1.1,-0.76,0.64," 01 100000000 000"
"127","dolt",-0.49,-0.45,-0.35," 11 100000000 000"
"128","dropout",-1.62,-1.86,-0.03," 11 000010000 000"
"129","drug_addict",-2.55,-2.5,-0.42," 11 001001000 000"
"130","drunk",-1.76,-1.77,-0.12," 11 100000000 000"
"131","drunkard",-1.52,-1.07,-0.99," 11 100000000 000"
"132","egghead",0.03,-0.44,0.19," 11 000010000 000"
"133","electrician",0.92,0.69,0.18," 11 010000000 000"
"134","employee",1.3,-0.22,0.81," 11 010000000 000"
"135","employer",0.96,1.72,0.19," 11 010000000 000"
"136","enemy",-2.23,0.65,0.55," 11 100100000 001"
"137","engineer",1.72,1.75,0.46," 11 010000000 000"
"138","entrepreneur",1.23,1.56,1.24," 11 010000000 000"
"139","evangelist",0.91,1.02,0.83," 11 000000100 000"
"140","executive",1.04,2.29,1.02," 11 010000000 000"
"141","expert",1.74,1.96,0.07," 11 011111000 000"
"142","extrovert",0.81,1.02,1.65," 11 100000000 000"
"143","eyewitness",1.45,1.45,0.76," 11 001000000 000"
"144","fairy",1.9,0.21,1.07," 10 000000001 000"
"145","fan",1.55,0.81,1.05," 11 100000000 000"
"146","fanatic",0.28,0.44,1.44," 11 100100000 000"
"147","farm_laborer",0.67,0.24,0.25," 11 010000000 000"
"148","farmer",1.77,0.54,-0.56," 11 010000000 000"
"149","father_in_law",1.22,0.79,-0.19," 10 000000010 000"
"150","father",2.06,2.32,0.7," 10 000000010 001"
"151","fellow",1.07,0.29,0.24," 10 100000000 000"
"152","female",2.07,1.36,1.46," 01 100000001 000"
"153","fireman",2.29,2.06,1.96," 10 001000000 001"
"154","fisherman",1.33,0.15,-0.34," 11 110000000 000"
"155","flight_attendant",1.39,-0.23,1.32," 11 010000000 000"
"156","fool",-0.92,-1.35,-0.05," 11 100000000 000"
"157","freak",-0.45,-0.2,1.15," 11 100000000 000"
"158","freshman",1.09,-0.96,1.85," 11 000010000 000"
"159","friend",2.56,1.71,1.2," 11 100000000 000"
"160","funeral_director",0.6,0.4,-0.94," 11 010000000 000"
"161","g_man",-0.12,1.05,0.77," 11 001000000 001"
"162","gambler",-0.95,-0.18,0.49," 11 110000000 000"
"163","garbage_collector",0.97,0.05,0.01," 11 010000000 000"
"164","genius",1.7,1.91,0.41," 11 000010000 000"
"165","gentleman",2.79,1.3,0.53," 10 100000000 000"
"166","gigolo",-1.43,0.25,0.88," 10 010000001 001"
"167","girl",1.96,0.24,1.67," 01 100000001 000"
"168","glutton",-1.12,-0.69,-1.06," 11 100000000 000"
"169","god",3.44,3.54,1.1," 11 000000100 000"
"170","granddaughter",2.05,-0.18,1.85," 01 000000010 001"
"171","grandfather",2.32,1.49,-1.15," 10 000000010 001"
"172","grandmother",3.11,0.81,-1.17," 01 000000010 001"
"173","grandparent",2.76,1.15,-0.9," 11 000000010 001"
"174","grandson",2.05,0.64,1.78," 10 000000010 001"
"175","granny",2.73,-0.15,-2.59," 01 000000010 000"
"176","grouch",-1.7,-0.73,-1.65," 11 100000000 000"
"177","grown_up",1.39,1.66,-0.19," 11 000000010 000"
"178","guest",1.12,-0.18,0.24," 11 100000010 000"
"179","half_sister",1.25,0,0.79," 01 000000010 000"
"180","handicapped_person",0.4,-0.73,-0.57," 11 001001000 000"
"181","he_man",0.55,1.51,1.21," 10 100000000 000"
"182","head_of_department",0.63,2.02,0.54," 11 010100000 000"
"183","headwaiter",0.83,0.99,0.72," 10 010000000 000"
"184","heel",-0.36,-0.25,-0.54," 11 100000000 000"
"185","hermit",-0.17,-1.2,-1.78," 11 100000000 000"
"186","hero",2.57,2.45,1.96," 10 100000000 000"
"187","heroine",1.67,1.22,1.72," 01 100000000 000"
"188","heterosexual",1.92,1.39,0.67," 11 000000001 000"
"189","hick",0.44,-0.18,-0.5," 11 100000000 000"
"190","highwayman",-0.09,0.07,0.38," 10 001000000 001"
"191","hippie",0.79,-0.23,0.45," 11 100000000 000"
"192","homo",-0.68,-0.72,0.31," 10 000000001 000"
"193","homosexual",-1.25,-0.65,0.53," 11 000000001 000"
"194","hostage",-1.28,-2.22,-0.06," 11 001100000 001"
"195","hostage",-0.75,-2,0.09," 11 001100000 001"
"196","hostess",1.1,0.26,1.1," 01 100000000 000"
"197","hothead",-1,-0.22,0.84," 11 100000000 000"
"198","hound",-0.02,0.01,-0.16," 11 100000000 000"
