"","term","E","P","A","instcodes"
"104","lecture",0.59,0.56,-0.88," 01 000010000 000"
"105","library",1.6,0.81,-1.9," 10 100010000 100"
"106","living_room",1.73,-0.13,-1.28," 10 000000010 100"
"107","locker_room",0.57,0.04,0.77," 10 100010000 000"
"108","lovers_lane",2.19,0.73,0.51," 10 000000001 001"
"109","luncheon",1.28,0.13,0.22," 01 110110000 000"
"110","luncheonette",1.16,0.05,0.09," 10 010000000 000"
"111","lunchroom",1.6,0.45,1.19," 10 010010000 100"
"112","marriage_counselor's_office",-0.14,0.72,-0.78," 11 000000101 100"
"113","massage_parlor",1.55,0.09,-0.53," 10 010000001 001"
"114","maternity_ward",1.73,1.06,1.1," 10 000001010 000"
"115","mealtime",2.11,0.6,0.05," 01 100000010 100"
"116","meeting",0.59,0.56,0.11," 10 111111100 000"
"117","memorial_service",-0.1,1.26,-1.29," 01 100000100 000"
"118","men's_room",0.27,-0.19,-0.24," 10 100000000 101"
"119","mental_hospital",-1.03,0.99,-0.13," 10 000001000 001"
"120","military_base",-1.01,1.87,1.68," 10 000100000 001"
"121","mob",-1.91,2.45,1.61," 01 100000000 001"
"122","mobile_home",0.28,-0.28,-0.11," 10 000000010 100"
"123","motel_room",0.38,-0.82,-0.25," 10 010000011 101"
"124","museum",1.76,0.79,-2.06," 10 100010000 100"
"125","new_year's_eve",2.3,2.15,3.03," 01 100000000 000"
"126","nightclub",1.12,1.29,2.79," 10 010000001 000"
"127","nursery_school",1.87,0.01,1.88," 10 000010000 001"
"128","nursing_home",0.59,0.03,-2.13," 10 010001000 101"
"129","office",0.21,0.38,0.66," 10 011011100 100"
"130","operating_room",0.15,1.48,0.14," 10 000001000 001"
"131","orgy",0.97,0.79,2.27," 01 000000001 001"
"132","parade",1.69,1.1,2.24," 11 100100000 000"
"133","party",1.89,1.15,2.4," 01 100000001 000"
"134","peacetime",2.6,1.67,-1.38," 01 000100000 000"
"135","penitentiary",-1.69,1.81,0.66," 10 001000000 100"
"136","pizzeria",1.49,-0.09,1.12," 10 010000000 000"
"137","playground",2.11,0.39,1.86," 10 100000000 001"
"138","police_station",0.63,1.86,2.02," 10 001000000 000"
"139","pool_hall",0.52,0.24,1.69," 10 010000000 000"
"140","poorhouse",-2.29,-1.51,-1.21," 10 100000000 100"
"141","post_office",0.72,0.29,-0.13," 10 100000000 000"
"142","prayer_meeting",1.66,0.91,-1.49," 01 000000100 000"
"143","press_conference",-0.05,1.38,1.4," 01 011100000 000"
"144","prison",-2.77,1.92,0.65," 10 001000000 100"
"145","psychiatrist's_office",-0.22,0.42,-1," 10 000001000 000"
"146","quiz",-0.46,0.24,-0.4," 01 000010000 000"
"147","reception",1.4,0.4,1.06," 01 010010100 000"
"148","refreshment_stand",1.94,-0.21,1.17," 10 010000000 000"
"149","resort",2.35,1.17,0.78," 10 010000000 000"
"150","restaurant",1.71,0.14,0.28," 10 010000000 000"
"151","retirement_home",0.65,-0.76,-2.67," 10 100000000 000"
"152","riot",-2.4,2.39,3.07," 01 101100000 001"
"153","saloon",1.03,-0.04,0.87," 10 010000000 000"
"154","sauna",2.33,-0.06,-2," 10 010000000 100"
"155","schoolroom",1.04,1.13,1.06," 10 000010000 000"
"156","seminar",0.53,-0.07,-0.02," 01 000010000 000"
"157","sermon",1.23,1.1,-0.73," 01 000000100 000"
"158","shopping_center",0.56,0.33,1.49," 10 010000000 100"
"159","shower_room",0.81,-0.46,0.11," 10 100000000 101"
"160","skid_row",-2.36,-0.04,-0.51," 10 100000000 100"
"161","slaughterhouse",-1.76,0.77,1.28," 10 010000000 000"
"162","slum",-2.63,-0.97,-0.48," 10 100000000 100"
"163","sorority_house",1.04,0.51,2.37," 10 000010000 000"
"164","soup_kitchen",1.3,-0.21,0.75," 10 100000000 000"
"165","squad_car",0.07,1.22,1.54," 10 001000000 001"
"166","store",1.15,-0.18,0.34," 10 010000000 000"
"167","street_fair",1.71,0.82,1.79," 11 110000000 000"
"168","street",0.99,0.48,1.15," 10 100000000 100"
"169","subway",-0.46,1.2,2.08," 10 100000000 100"
"170","sunday_school",1.54,0.34,-0.26," 11 100000100 000"
"171","supermarket",1.61,0.57,1.09," 10 010000000 000"
"172","sweatshop",-3.14,0.87,1.87," 10 010000000 000"
"173","swimming_hole",1.67,-0.44,1.45," 10 100000000 000"
"174","tavern",1.15,-0.09,0.68," 10 010000000 000"
"175","taxi",0.5,-0.97,0.19," 10 010000000 000"
"176","temple",1.59,1.83,-1.89," 10 000000100 100"
"177","tennis_court",1.06,-0.33,1.3," 10 100000000 000"
"178","tent",1.55,-0.63,-1.2," 10 100000010 101"
"179","test",-1.12,0.42,-0.21," 01 000011000 000"
"180","thanksgiving_day",2.28,0.91,0.49," 01 100000010 000"
"181","theater",1.91,0.65,0.35," 10 010010000 000"
"182","topless_bar",1.51,0.66,2.27," 10 010000001 000"
"183","town_hall",0.85,1.21,-0.66," 10 001100000 000"
"184","town_meeting",0.49,1.18,0.28," 01 000100000 010"
"185","train_station",1.34,1.12,1.68," 10 010000000 000"
"186","vacation",2.88,1.14,0.38," 01 100000000 100"
"187","village",1.71,-0.22,-0.86," 10 100000000 000"
"188","waiting_room",-1.39,-1.33,-1.41," 10 001001000 100"
"189","wartime",-3.14,2.44,2.43," 01 000100000 001"
"190","washroom",1.1,-0.58,-0.76," 10 100000000 000"
"191","wedding_night",2.73,1.9,1.96," 01 000000001 001"
"192","wedding_reception",2.85,1.69,1.72," 10 000000010 000"
"193","wedding",2.72,1.56,0.91," 01 000000111 000"
"194","week_night",0.97,-0.13,-0.5," 01 100000000 100"
"195","weekend",2.1,1.57,1.65," 01 100000000 100"
"196","welfare_office",0.02,0.13,-0.08," 10 001000000 000"
"197","whorehouse",-1.77,0.53,1.92," 10 010000001 001"
"198","wilderness",2.16,1.78,-1.4," 10 100000000 100"
"199","worship_service",1.3,1.67,-0.96," 01 000000100 000"
"200","zoo",2.37,0.99,1.39," 10 100000000 000"
