"","term","E","P","A","instcodes"
"111","fortress",-0.8,1.4,0.3," 10 001100000 000"
"112","freighter",0.87,1.4,0," 10 010000000 000"
"113","funeral",-0.2,0.4,-2," 01 000000100 000"
"114","funeral_service_(buddhist)",1.04,0.4,-2," 10 000000100 000"
"115","game_center",-0.4,0.1,2.1," 10 010000000 000"
"116","garden",1.58,0.8,-1," 10 100000000 100"
"117","gas_station",0.45,0.4,1.5," 10 010000000 000"
"118","gay_bar",-0.5,-1,1.6," 10 010000001 001"
"119","ghetto",-1.7,-1,-1," 10 100000000 100"
"120","golf_course",-0.1,1.1,0.6," 10 010000000 000"
"121","graduation",1.58,1.3,-1," 01 100010000 010"
"122","grocery_store",0.98,0.6,1.6," 10 110000000 100"
"123","gymnasium",0.77,1.4,2.2," 10 010010000 101"
"124","head_office",1.8,2.3,0.2," 10 000010000 000"
"125","heaven",2.38,1.9,-1," 01 000000100 000"
"126","heavy_industry_plant",0.61,1.4,0.8," 10 010000000 000"
"127","hell",-2.7,1.1,-1," 01 000000100 001"
"128","high_school",1.21,1.2,1.8," 10 000010000 000"
"129","highway",0.59,1.9,2.2," 10 100000000 100"
"130","hiking",1.67,0.2,1.4," 01 100000000 000"
"131","holiday",2.3,1.7,0," 01 100000010 000"
"132","home",1.97,1.8,-1," 10 000000010 101"
"133","home_town",2.05,1,-2," 10 100000000 000"
"134","honeymoon",1.55,1.4,1.9," 01 000000001 000"
"135","hospital",1.2,1.8,-1," 10 000001000 001"
"136","hostel",-0.2,0,0.9," 10 010000000 000"
"137","hotel",1.83,1.4,-1," 10 010000000 000"
"138","house",1.95,1.5,-1," 10 100000010 000"
"139","ikebana_school",1.43,-1,-2," 10 000010000 000"
"140","immigration_office",-0.1,1.6,0.6," 10 000100000 000"
"141","information_desk",0.64,-1,0," 10 011011000 000"
"142","interrogation",-1,1,0," 01 001000000 000"
"143","interview",-0.2,1.5,-1," 01 011011100 000"
"144","jail",-1.4,0.7,-1," 10 001000000 000"
"145","japanese_checkers_match",0.6,0,-2," 10 100000000 000"
"146","japanese_chess_match",0.76,-1,-2," 10 100000000 000"
"147","journey",2.14,1.8,1.7," 01 100000000 100"
"148","judge's_chamber",1.28,1.5,-1," 10 001000000 000"
"149","junior_college",0.32,-1,1.4," 10 000010000 000"
"150","junior_high_school",0.73,0.6,1.7," 10 000010000 000"
"151","junkyard",-1.2,-1,-1," 10 010000000 100"
"152","karoke_sing_along",0.63,0.9,2.2," 10 100000000 000"
"153","kindergarten",1.13,0,2.2," 10 000010000 000"
"154","kitchen",1,0.7,0.6," 10 000000010 100"
"155","laboratory",0.71,0.3,0.4," 10 010011000 100"
"156","lane",0.29,-1,-1," 10 100000000 100"
"157","laundromat",-0.3,-1,0.2," 10 010000000 100"
"158","lawyers_office",1.49,1.3,0," 10 001000000 000"
"159","lecture",1.13,0.9,0," 01 000010000 000"
"160","legislature",0.22,1.4,0.4," 10 000100000 000"
"161","library",2.05,1.2,-2," 10 100010000 100"
"162","limited_partnership",0.47,0,0.8," 10 010000000 000"
"163","locker_room",-0.8,-1,0.6," 10 100010000 000"
"164","luxury_cruise_ship",1.64,1.3,0," 10 010000000 000"
"165","mahjong_game",-1.1,-1,0.1," 10 100000000 000"
"166","mansion",1.56,1.6,-2," 10 000000010 000"
"167","market",1.08,1.4,2.1," 11 010000000 000"
"168","martial_arts_hall",0.62,0.6,0.8," 10 100000000 000"
"169","massage_therapy_clinic",0.97,0,-1," 10 100001000 000"
"170","maternity_ward",1.26,0.5,1.1," 10 000001010 000"
"171","mediation",0.62,1.3,-1," 01 010000000 000"
"172","meeting",1.13,1.5,0.6," 10 111111100 000"
"173","military_school",-0.3,0.9,1.2," 10 000010000 000"
"174","mine",-1.1,0.4,0.1," 10 010000000 000"
"175","ministry_of_education",-0.2,1.8,-2," 10 000100000 000"
"176","ministry_of_finance",-0.2,2,-1," 10 000100000 000"
"177","ministry_of_foreign_affairs",1.13,1.9,0," 10 000100000 000"
"178","ministry_of_health_&_welfare",0.71,1.2,-1," 10 000100000 000"
"179","ministry_of_home_affairs",1.1,1.6,-1," 10 000100000 000"
"180","miti",0.32,1.6,-1," 10 100000000 000"
"181","mobile_blood_donor_vehicle",2.12,0.9,0.6," 10 000001000 000"
"182","monastery",0.98,0,-2," 10 000000100 100"
"183","morgue",-1.8,-1,-2," 10 001001000 000"
"184","mortuary",-1.1,-1,-3," 10 010000100 000"
"185","movie",1.38,0.9,0," 11 010000000 100"
"186","museum",1.83,1.1,-2," 10 100010000 100"
"187","music_lesson",1.44,0.6,1," 01 010010000 000"
"188","new_year's_eve",1.57,1.6,0.3," 01 100000000 000"
"189","new_year's_temple_visit",1.76,0.9,0," 10 100000100 000"
"190","news_stand",0.32,-1,1," 10 010000000 000"
"191","nightclub",-0.5,0.1,0.6," 10 010000001 000"
"192","nuclear_bomb_test",-2.8,2,0.9," 10 000100000 000"
"193","nursery_school",1.48,0,1.8," 10 000010000 001"
"194","nursing_home",0.83,0,-2," 10 010001000 101"
"195","office",0.65,-1,-1," 10 011011100 100"
"196","opera",1.64,1.2,0," 11 010010000 000"
"197","orgy",-2.5,0.8,2," 01 000000001 001"
"198","outdoors",2,1.4,2.5," 10 100000000 100"
"199","palace",1.68,2,-1," 10 000100010 000"
"200","parade",1.76,1.7,2.3," 11 100100000 000"
"201","park",1.46,0.3,0.3," 10 100000000 100"
"202","parking_lot",0.77,0.7,0.8," 10 100000000 100"
"203","parlor",1.48,0.9,-1," 10 000000010 100"
"204","party",1.4,1.4,2," 01 100000001 000"
"205","pawnshop",-0.3,-1,-1," 10 010000000 000"
"206","penitentiary",-1,0.8,-1," 10 001000000 100"
"207","penthouse",-0.7,-2,-2," 10 000000010 100"
"208","pet_store",0.53,-1,1.1," 10 010000000 000"
"209","pilgrimage",0.93,0.3,-1," 01 000000100 000"
"210","planetarium",1.59,0.6,-1," 10 000010000 000"
"211","playground",1.13,0.6,2," 10 100000000 001"
"212","police_box",1.05,0.2,-1," 10 001000000 000"
"213","police_station",0.77,1.6,0.2," 10 001000000 000"
"214","post_office",1.09,0.5,0.1," 10 100000000 000"
"215","prayer",1.25,0.5,-2," 01 000000100 100"
"216","preparatory_school",0.32,1.1,1.2," 10 000010000 000"
"217","press_conference",-0.4,0.9,1.1," 01 011100000 000"
