"","term","E","P","A","instcodes"
"105","living_room",2.07,0.255,-0.54," 10 000000010 100"
"106","locker_room",0.325,0.905,2.03," 10 100010000 000"
"107","lovers_lane",1.715,1.08,0.195," 10 000000001 001"
"108","luncheon",1.225,0.415,0.39," 01 110110000 000"
"109","luncheonette",0.785,0.235,0.125," 10 010000000 000"
"110","lunchroom",0.945,0.735,2.09," 10 010010000 100"
"111","marriage_counselor's_office",0.11,0.27,-0.315," 11 000000101 100"
"112","massage_parlor",1.91,0.47,-0.885," 10 010000001 001"
"113","maternity_ward",1.485,1.42,1.38," 10 000001000 000"
"114","mealtime",1.89,1.305,0.65," 01 100000010 100"
"115","meeting",1.125,1.31,0.485," 10 111111100 000"
"116","memorial_service",0.33,0.62,-1.82," 01 000000100 000"
"117","men's_room",0.415,0.44,0.205," 10 100000000 101"
"118","mental_hospital",-0.94,-0.265,-0.36," 10 000001000 001"
"119","military_base",1.185,2.2,1.585," 10 000100000 001"
"120","military_boot_camp",-0.43,1.68,2.17," 10 000100000 011"
"121","mob",-1.61,2.39,2.385," 01 100000000 001"
"122","mobile_home",-0.85,-0.765,-0.06," 10 000000010 100"
"123","motel_room",0.31,-0.25,-0.09," 10 100000011 101"
"124","museum",1.91,1.33,-1.55," 10 100010000 100"
"125","new_year's_eve",2.72,2.375,3.055," 01 100000000 000"
"126","nightclub",1.98,2.165,3.25," 10 010000001 000"
"127","nursery_school",1.845,0.865,1.745," 10 010000010 001"
"128","nursing_home",0.09,-0.375,-2.25," 10 010001000 101"
"129","office",0.9,1.155,0.52," 10 011011100 100"
"130","operating_room",0.51,1.935,1.505," 10 000001000 001"
"131","orgy",0.01,1.215,2.27," 01 000000001 001"
"132","parade",2.335,1.83,2.73," 11 100100000 000"
"133","party",2.26,2.015,2.685," 01 100000001 000"
"134","peacetime",2.315,1.22,-0.69," 01 000100000 000"
"135","penitentiary",-1.355,0.8,0.62," 10 001000000 100"
"136","pizzeria",2.105,0.895,1.995," 10 010000000 000"
"137","playground",2.605,1.19,2.695," 10 100000000 001"
"138","police_station",0.775,2.21,2.115," 10 001000000 000"
"139","pool_hall",0.745,0.295,2.06," 10 010000000 000"
"140","poorhouse",-1.04,-1.105,-0.75," 10 100000000 100"
"141","post_office",1.325,0.835,0.56," 10 100000000 000"
"142","prayer_meeting",1.88,1.685,-1.435," 01 000000100 000"
"143","press_conference",0.56,1.695,1.705," 01 011100000 000"
"144","prison",-2.335,0.39,0.27," 10 001000000 100"
