"","term","E","P","A","instcodes"
"105","fight",-1.05,0.33,1.755," 01 101000000 001"
"106","fire",-2.4,2.07,1.505," 01 100000000 001"
"107","fire_station",1.685,1.515,1.855," 10 001000000 000"
"108","fire_drill",1.425,0.385,1.225," 01 100000000 000"
"109","flea_market",0.47,-0.1,0.54," 10 010000000 000"
"110","flophouse",-0.8,-0.85,-0.3," 10 010000000 100"
"111","fortress",-0.22,1.53,0.285," 10 001100000 000"
"112","freighter",0.47,1.17,-0.25," 10 010000000 000"
"113","funeral",-0.045,0.25,-2.05," 01 000000100 000"
"114","funeral_service_(buddhist)",0.54,0.05,-1.9," 10 000000100 000"
"115","game_center",-0.3,0.24,1.995," 10 010000000 000"
"116","garden",1.45,0.51,-1.05," 10 100000000 100"
"117","gas_station",0.35,0.26,1.29," 10 010000000 000"
"118","gay_bar",-0.65,-0.75,1.27," 10 010000001 001"
"119","ghetto",-1.45,-1,-0.9," 10 100000000 100"
"120","golf_course",-0.35,1.09,0.05," 10 010000000 000"
"121","graduation",1.445,1.13,-0.65," 01 100010000 010"
"122","grocery_store",0.735,0.38,1.085," 10 110000000 100"
"123","gymnasium",0.92,1.185,1.675," 10 010010000 101"
"124","head_office",1.28,2.16,0.325," 10 000010000 000"
"125","heaven",1.895,1.565,-1.25," 01 000000100 000"
"126","heavy_industry_plant",0.155,1.41,0.77," 10 010000000 000"
"127","hell",-2.4,1.265,-0.55," 01 000000100 001"
"128","high_school",1.06,1.055,1.855," 10 000010000 000"
"129","highway",0.485,1.625,1.88," 10 100000000 100"
"130","hiking",1.415,0.235,1.225," 01 100000000 000"
"131","holiday",2.08,1.43,-0.1," 01 100000010 000"
"132","home",1.53,1.19,-1.15," 10 000000010 101"
"133","home_town",1.91,0.78,-1.85," 10 100000000 000"
"134","honeymoon",1.385,1.045,1.66," 01 000000001 000"
"135","hospital",0.965,1.545,-0.95," 10 000001000 001"
"136","hostel",-0.005,-0.05,0.695," 10 010000000 000"
"137","hotel",1.5,1.14,-0.7," 10 010000000 000"
"138","house",1.565,0.905,-1.25," 10 100000010 000"
"139","ikebana_school",1.125,-0.9,-1.7," 10 000010000 000"
"140","immigration_office",0.1,1.335,0.4," 10 000100000 000"
"141","information_desk",0.545,-0.55,-0.15," 10 011011000 000"
"142","interrogation",-0.95,1.03,0.065," 01 001000000 000"
"143","interview",-0.045,1.045,-0.85," 01 011011100 000"
"144","jail",-1.25,0.76,-0.85," 10 001000000 000"
"145","japanese_checkers_match",0.815,0.135,-1.6," 10 100000000 000"
"146","japanese_chess_match",0.615,-0.75,-1.8," 10 100000000 000"
"147","journey",1.87,1.18,0.8," 01 100000000 100"
"148","judge's_chamber",1.145,1.445,-1," 10 001000000 000"
"149","junior_college",0.2,-0.85,1.195," 10 000010000 000"
"150","junior_high_school",0.545,0.49,1.53," 10 000010000 000"
"151","junkyard",-1,-0.9,-0.95," 10 010000000 100"
"152","karoke_sing_along",0.655,0.89,2.14," 10 100000000 000"
"153","kindergarten",0.905,0.04,1.92," 10 000010000 000"
"154","kitchen",0.84,0.3,0.58," 10 000000010 100"
"155","laboratory",0.505,0.375,0.4," 10 010011000 100"
"156","lane",0.445,-0.95,-1.1," 10 100000000 100"
"157","laundromat",-0.125,-0.7,0.18," 10 010000000 100"
"158","lawyers_office",1.245,1.105,0.06," 10 001000000 000"
"159","lecture",0.915,0.54,-0.15," 01 000010000 000"
"160","legislature",0.01,1.25,-0.2," 10 000100000 000"
"161","library",1.755,1.015,-1.85," 10 100010000 100"
"162","limited_partnership",0.365,-0.3,0.6," 10 010000000 000"
"163","locker_room",-0.45,-0.75,0.3," 10 100010000 000"
"164","luxury_cruise_ship",1.55,1.37,-0.05," 10 010000000 000"
"165","mahjong_game",-0.8,-0.55,0.45," 10 100000000 000"
"166","mansion",1.305,1.32,-1.7," 10 000000010 000"
"167","market",0.88,1.28,1.93," 11 010000000 000"
"168","martial_arts_hall",0.72,0.51,0.595," 10 100000000 000"
"169","massage_therapy_clinic",0.745,-0.05,-0.9," 10 100001000 000"
"170","maternity_ward",0.985,0.405,0.73," 10 000001010 000"
"171","mediation",0.58,0.98,-0.7," 01 010000000 000"
"172","meeting",0.74,1.165,0.3," 10 111111100 000"
"173","military_school",-0.4,1.18,1.19," 10 000010000 000"
"174","mine",-0.85,0.29,-0.15," 10 010000000 000"
"175","ministry_of_education",-0.5,1.58,-1.7," 10 000100000 000"
"176","ministry_of_finance",-0.45,1.83,-1.05," 10 000100000 000"
"177","ministry_of_foreign_affairs",0.81,1.805,0.115," 10 000100000 000"
"178","ministry_of_health_&_welfare",-0.045,1.355,-0.95," 10 000100000 000"
"179","ministry_of_home_affairs",0.775,1.655,-1.1," 10 000100000 000"
"180","miti",0.185,1.42,-0.55," 10 100000000 000"
"181","mobile_blood_donor_vehicle",1.795,0.49,0.45," 10 000001000 000"
"182","monastery",0.8,0.08,-1.75," 10 000000100 100"
"183","morgue",-1.5,-0.75,-1.95," 10 001001000 000"
"184","mortuary",-0.7,-0.85,-2.6," 10 010000100 000"
"185","movie",1.175,0.645,-0.05," 11 010000000 100"
"186","museum",1.705,0.805,-1.7," 10 100010000 100"
"187","music_lesson",1.135,0.435,0.69," 01 010010000 000"
"188","new_year's_eve",1.34,1.245,-0.2," 01 100000000 000"
"189","new_year's_temple_visit",1.13,0.615,0.05," 10 100000100 000"
"190","news_stand",0.2,-0.65,0.82," 10 010000000 000"
"191","nightclub",-0.35,0.255,0.73," 10 010000001 000"
"192","nuclear_bomb_test",-2.45,2.18,1.145," 10 000100000 000"
"193","nursery_school",1.23,0.045,1.565," 10 000010000 001"
"194","nursing_home",0.74,-0.05,-1.65," 10 010001000 101"
"195","office",0.47,-0.485,-0.5," 10 011011100 100"
"196","opera",1.47,1.08,0.075," 11 010010000 000"
"197","orgy",-1.8,0.66,1.9," 01 000000001 001"
"198","outdoors",1.595,1.045,2.105," 10 100000000 100"
"199","palace",1.58,1.775,-1," 10 000100010 000"
"200","parade",1.445,1.465,1.97," 11 100100000 000"
"201","park",1.37,0.25,0.3," 10 100000000 100"
"202","parking_lot",0.285,0.555,0.35," 10 100000000 100"
"203","parlor",1.335,0.53,-1.15," 10 000000010 100"
"204","party",1.175,1.06,1.695," 01 100000001 000"
"205","pawnshop",-0.4,-0.65,-1," 10 010000000 000"
"206","penitentiary",-1,1.02,-0.95," 10 001000000 100"
"207","penthouse",-0.4,-1.4,-1.6," 10 000000010 100"
"208","pet_store",0.29,-0.7,0.765," 10 010000000 000"
"209","pilgrimage",0.715,0.34,-0.9," 01 000000100 000"
"210","planetarium",1.4,0.48,-0.9," 10 000010000 000"
"211","playground",0.995,0.32,1.79," 10 100000000 001"
"212","police_box",0.975,0.3,-0.47," 10 001000000 000"
"213","police_station",0.79,1.685,0.325," 10 001000000 000"
"214","post_office",0.96,0.715,0.23," 10 100000000 000"
"215","prayer",0.98,0.31,-1.75," 01 000000100 100"
"216","preparatory_school",0.06,0.98,0.96," 10 000010000 000"
"217","press_conference",-0.4,0.84,1.29," 01 011100000 000"
"218","prison",-1.7,0.48,-1," 10 001000000 100"
"219","psychiatrist's_office",0.47,0.31,-1.65," 10 000001000 000"
"220","pub",-0.3,0.34,0.98," 10 100000000 000"
"221","public_assembly",0.61,1.065,1.72," 10 100000000 000"
"222","public_relations_office",0.6,1.315,1.535," 10 010000000 000"
"223","publishing_company",0.565,1.335,1.58," 10 010010000 000"
"224","quiz_show",0.13,0.435,1.545," 10 100000000 000"
"225","race_track",0.295,1.21,2.04," 10 010000000 000"
"226","reformatory",-0.3,-0.05,-0.75," 10 001000000 000"
"227","refuse_station",-0.9,-0.15,-0.9," 10 100000000 000"
"228","repair_shop",0.75,-0.3,-0.2," 10 010000000 100"
"229","restaurant",1.025,0.54,0.405," 10 010000000 000"
"230","restaurant_(japanese)",1.37,0.555,-1.6," 10 010000000 000"
"231","retirement_home",0.13,-0.25,-1.8," 10 100000000 000"
"232","revolution",0.625,1.845,2.395," 01 000100000 000"
"233","riot",-1.65,1.695,2.195," 01 101100000 001"
"234","road",0.515,0.815,1.1," 10 100000000 000"
"235","room",1.13,0.1,-0.75," 10 100000000 100"
"236","sauna",0.72,0.005,-0.65," 10 010000000 100"
"237","savings_bank",0.48,2.09,-0.35," 10 010000000 000"
"238","school_principal's_office",0.565,0.935,-1.85," 10 000010000 000"
"239","seminar",0.665,0.51,0.955," 01 000010000 000"
"240","send_off_party",0.775,0.615,0.805," 10 100000000 000"
"241","sermon",-0.06,0.69,-0.75," 01 000000100 000"
"242","shinto_shrine",1.145,0.53,-1.85," 10 000000100 000"
"243","ship",0.92,1.09,-0.6," 10 010000000 000"
"244","shopping_arcade",0.65,0.355,1.18," 10 010000000 000"
"245","shopping_center",1.115,1.39,1.86," 10 010000000 100"
"246","sidewalk",0.83,-0.3,-0.2," 10 100000000 100"
"247","siesta",1.2,0.51,-1," 01 100000000 100"
"248","sightseeing_trip",1.32,0.865,1.03," 01 100000000 000"
"249","ski_lodge",0.04,0.025,1.125," 10 010000000 000"
"250","slaughterhouse",-1.25,0.63,0.12," 10 010000000 000"
"251","slum",-1.7,-1.6,-0.85," 10 100000000 100"
"252","spa",1.69,0.645,-1.7," 10 010000000 000"
"253","sports_field",1.125,1.275,1.685," 10 100010000 000"
"254","squad_car",0.49,1.635,1.635," 10 001000000 001"
"255","stable",-0.35,-0.7,0," 10 010000000 100"
"256","stage",1.245,1.435,1.89," 10 000010000 000"
"257","stock_exchange",0.485,1.905,2.02," 10 010000000 000"
"258","stock_owned_company",0.91,1.57,0.625," 10 010000000 000"
"259","stockbrokerage",0.075,1.46,1.565," 10 010000000 000"
"260","stockholder's_annual_meeting",0.215,1.585,0.22," 01 010000000 000"
"261","store",0.38,-1.05,-0.05," 10 010000000 000"
"262","street_corner",0.24,0.255,0.875," 10 100000000 000"
"263","studio",0.645,1.05,1.93," 10 010010000 100"
"264","subsidiary",0.14,-1.2,0.29," 10 010000000 000"
"265","suburb",1.155,-0.1,-1.5," 10 100000000 100"
"266","subway",0.655,1.145,1.275," 10 100000000 100"
"267","sumo_ring",1.035,1.015,0.065," 10 100000000 000"
"268","supermarket",0.85,1.06,1.555," 10 010000000 000"
"269","supreme_court",1.29,2.505,-1.25," 10 001000000 000"
"270","tavern",-0.1,0.095,1.19," 10 010000000 000"
"271","tax_office",-0.05,1.485,-0.55," 10 001000000 000"
"272","taxi",0.135,0,0.855," 10 010000000 000"
"273","tea_ceremony",1.205,-0.8,-1.9," 10 100000000 000"
"274","tennis_court",0.97,0.42,1.86," 10 100000000 000"
"275","textile_mill",-0.005,-0.15,0.1," 10 010000000 000"
"276","theater",1.275,0.69,0.475," 10 010010000 000"
"277","topless_bar",-0.8,0.13,1.41," 10 010000001 000"
"278","trade_school",0.425,-0.1,1.04," 10 010010000 000"
"279","train",0.835,0.985,0.995," 10 110000000 100"
"280","train_station",0.905,1.21,1.39," 10 010000000 000"
"281","train_station_front",0.445,1.345,1.65," 10 100000000 000"
"282","travel_agency",0.755,0.72,1.31," 10 010000000 000"
"283","university",1.175,1.43,1.135," 10 000010000 000"
"284","used_car_lot",0.425,-0.6,0.37," 10 010000000 000"
"285","vacation",2.075,1.49,0.35," 01 100000000 100"
"286","village",0.13,-1.55,-1.7," 10 100000000 000"
"287","waiting_room",0.11,-0.7,-0.95," 10 001001000 100"
"288","war",-2.8,2.6,2.025," 10 000100000 000"
"289","warehouse",-0.09,0.54,-0.95," 10 010000000 000"
"290","washroom",0.355,-0.1,-0.7," 10 100000000 000"
"291","waterbed",1.135,0.36,-0.6," 10 000000001 101"
"292","wedding",1.4,1.135,0.9," 01 000000111 000"
"293","wedding_reception",1.02,1.045,0.73," 10 000000010 000"
"294","welfare_office",1.54,0,-0.25," 10 001000000 000"
"295","wharf",0.755,1.405,0.525," 10 010000000 100"
"296","whorehouse",-1.95,-0.75,0.735," 10 010000001 001"
"297","wilderness",-1.1,0.46,-0.95," 10 100000000 100"
"298","work_place",0.64,0.805,1.165," 10 010000000 000"
"299","yacht",1.08,0.29,1.455," 10 100000000 100"
"300","zoo",1.005,0.415,0.625," 10 100000000 000"
