"","term","E","P","A","instcodes"
"105","discontented",-1.97,-0.24,0.04," 10 100000000 000"
"106","disgusted",-2.82,1.04,2.24," 10 100010000 000"
"107","disheartened",-1.81,-0.98,-1.09," 10 100000000 000"
"108","dismayed",-2.63,0.26,0.08," 10 100000000 000"
"109","displeased",-2.63,0.1,1," 10 100000000 000"
"110","disreputable",-0.95,-0.6,-0.1," 10 010000000 000"
"111","dissatisfied",-1.86,-0.3,0.63," 10 100000000 000"
"112","distressed",-2.2,-1,-1.34," 10 100000000 000"
"113","divorced",-0.46,-0.4,0.44," 10 001000000 000"
"114","dogmatic",-0.92,1.04,0.96," 10 010000000 000"
"115","domineering",-2.02,0.91,1.53," 10 010000000 000"
"116","doubtful",-0.75,-0.8,-0.4," 10 000100000 000"
"117","downhearted",-2.05,-0.95,-1.29," 10 100000000 000"
"118","drowsy",-0.49,-0.8,-1.4," 10 000100000 000"
"119","drunken",-1.32,-0.6,0.79," 10 001100000 000"
"120","dull",-0.78,-1,-0.9," 10 000100000 000"
"121","earnest",1.98,1.28,0.53," 10 010000000 000"
"122","easily_hurt",-0.2,-0.9,0.03," 10 010000000 000"
"123","easygoing",-0.15,-0.3,-1," 10 010000000 000"
"124","eccentric",0.02,0.52,1.86," 10 010000000 000"
"125","ecstatic",1.75,0.09,-1.63," 10 100000000 000"
"126","educated",1.52,1.18,-0.5," 10 001000000 000"
"127","efficient",1.32,1.39,0," 10 010000000 000"
"128","egotistical",-1.36,0.1,0.69," 10 010000000 000"
"129","elated",1.66,2.06,2.58," 10 100000000 000"
"130","elegant",2.23,-0.4,-2.1," 10 010000000 000"
"131","embarrassed",-1.77,-0.38,1.41," 10 100010000 000"
"132","emotional",-0.36,-0.3,1.27," 10 110000000 000"
"133","employed",0.08,-1,0.22," 10 001000000 000"
"134","empty",-1.9,-1.58,-2.25," 10 000100000 000"
"135","energetic",1.3,1.58,2.14," 10 010000000 000"
"136","enthusiastic",0.16,1.13,2.16," 10 110000000 000"
"137","entrusting",0.06,-0.8,-0.1," 10 010000000 000"
"138","envious",-0.91,0,0.29," 10 100000000 000"
"139","envious2",-2.28,-0.21,0.52," 10 100000000 000"
"140","esteemed",1.93,1.54,0," 10 001000000 000"
"141","exasperated",-2.3,0.92,2.37," 10 100000000 000"
"142","excitable",-0.29,0.16,1.49," 10 010000000 000"
"143","excited",0.34,2.07,2.87," 10 100010000 000"
"144","experienced",1.68,1.64,-0.7," 10 001000000 000"
"145","extroverted",1.28,1.28,1.69," 10 010000000 000"
"146","exuberant",2,-0.2,-1.8," 10 010000000 000"
"147","faithful",0.83,0,-0.7," 10 010000000 000"
"148","fashionable",0.59,0.23,1.44," 10 000100000 000"
"149","fearful",-1.87,-0.16,0.91," 10 100000000 000"
"150","fed_up",-2.39,-0.65,0," 10 100000000 000"
"151","female",0.58,0.03,0.47," 10 001000000 000"
"152","feminine",0.3,-0.2,-0.4," 10 010000000 000"
"153","fickle",-0.75,-0.4,0.85," 10 010000000 000"
"154","finicky",-0.77,-0.2,-0.6," 10 010000000 000"
"155","flexible",1.54,0.81,0.45," 10 010000000 000"
"156","flustered",-1.41,0.03,3.01," 10 100010000 000"
"157","foolish",-1.51,-1.5,0.45," 10 010000000 000"
"158","forbearing",-1.59,-2,-1.2," 10 010000000 000"
"159","forgiving",1.84,1.39,-0.8," 10 010000000 000"
"160","foxy",-0.2,0.43,-0.5," 10 010000000 000"
"161","fretful",-2.34,0.96,2.17," 10 010000000 000"
"162","friendly",1.64,1.11,-0.1," 10 010000000 000"
"163","frightened",-1,0.31,1.46," 10 100000000 000"
