"","term","E","P","A","instcodes"
"106","confine",-1.85,0.29,0.3," 10 001101010 001"
"107","confront",0.8,1.96,0.85," 10 111111111 100"
"108","congratulate",2.54,1.99,1.4," 10 111111111 100"
"109","console",2.99,1.74,-0.82," 10 111111111 100"
"110","conspire_with",-1.01,1.31,-0.12," 11 010100011 010"
"111","consult_with",1.6,1.34,-0.02," 10 111111111 000"
"112","contemplate",0.64,0.54,-0.82," 01 100111000 100"
"113","contradict",-0.38,0.36,1.07," 10 111111111 110"
"114","converse_with",2.35,1.42,1.3," 10 111111111 100"
"115","convict",0.15,2.43,0.56," 10 001000000 010"
"116","correct",0.47,0.74,0.57," 10 111111111 100"
"117","counsel",2.52,2.37,-0.02," 10 011111111 000"
"118","criticize",-1.81,-0.58,-0.22," 10 111111111 100"
"119","cross_examine",0.11,1.28,1.14," 10 001000000 010"
"120","cuddle",2.87,1.8,-1.19," 10 000000011 001"
"121","cue",0.96,0.84,0.55," 10 111111111 010"
"122","curry_favor_from",0.12,0.18,0.22," 11 111111111 000"
"123","curse",-2.38,0.74,1.45," 10 111111111 100"
"124","cuss",-2.21,-0.16,1.4," 10 111111111 100"
"125","cut_the_pay_of",-2.16,1.47,-0.63," 10 010000000 000"
"126","damn",-2.78,0.28,0.56," 10 100000100 000"
"127","dance_with",3.08,2.01,2.04," 10 100000001 011"
"128","dare",-0.18,0.92,1.66," 10 100100001 100"
"129","debate_with",1.23,1.52,1.98," 10 111111110 000"
"130","debrief",0.81,1.19,0.45," 10 111101010 000"
"131","defeat",1.08,1.48,1.53," 10 000100000 010"
"132","defend",2.85,2.68,2.06," 10 111111111 110"
"133","defer_to",-0.69,-0.65,-0.5," 10 111111111 000"
"134","defy",-1.75,1.01,0.71," 10 011111110 000"
"135","degrade",-2.9,-0.71,-0.38," 11 111111111 110"
"136","demean",-2.63,-0.04,0.19," 10 111111111 100"
"137","demote",-1.64,0.78,-0.18," 10 010000000 000"
"138","denigrate",-1.97,-0.71,0.32," 10 111111111 100"
"139","denounce",-1.54,0.16,0.35," 10 111111111 010"
"140","deny_something_to",-1.48,0.1,-0.45," 10 001100111 100"
"141","deprecate",-2.04,-0.06,0.21," 10 111111111 100"
"142","deride",-1.87,-0.29,0.43," 10 111111111 010"
"143","desire_sexually",2.6,1.86,1.98," 11 000000001 011"
"144","dicker_with",-0.28,0.21,0.8," 10 111111111 000"
"145","dine_with",2.34,1.03,0.44," 10 110100111 100"
"146","direct",1.12,1.5,0.98," 10 011111111 000"
"147","disagree_with",-0.14,1.15,1.6," 10 111111111 000"
"148","discipline",0.09,1.45,1.15," 10 011111111 100"
"149","discourage",-2.34,0.01,-0.64," 10 111111111 100"
"150","discuss_something_with",1.86,0.96,0.05," 10 111111111 000"
"151","disobey",-1.49,0.02,0.02," 10 011111111 000"
"152","disparage",-1.28,0.72,-0.75," 10 111111111 010"
"153","disrobe",-0.24,1.24,-0.25," 10 000001011 001"
"154","dissuade",-0.22,0.88,0.53," 01 111111111 000"
"155","distract",-0.91,0.4,1.17," 10 111111111 010"
"156","divorce",-1.96,-0.28,-0.52," 10 000000001 010"
"157","dote_on",-0.32,-0.18,0.07," 10 000000010 000"
"158","draw_near_to",1.85,1.21,-0.59," 10 110000111 000"
"159","dress_down",-0.88,-0.31,-0.71," 10 111111111 000"
"160","dress",1.33,0.98,-0.16," 10 000001010 101"
"161","drink_to",1.93,1.17,1.62," 10 110000001 010"
"162","drink_with",1.35,0.43,1.84," 10 110100001 100"
"163","drone_on_at",-1.77,-0.9,-0.93," 10 111111111 000"
"164","eat_with",1.97,0.74,0.46," 10 100000011 000"
