"","term","E","P","A","instcodes"
"105","devil_worshiper",-2.95,-1.53,-0.17," 11 000000100 100"
"106","devil",-2.89,1.83,1.42," 11 100000100 000"
"107","disciplinarian",0.07,2.22,1.13," 11 000010110 001"
"108","district_attorney",1.47,2.29,1.78," 11 001000000 000"
"109","divorce_lawyer",-0.55,2.13,1.34," 11 001000010 000"
"110","divorcee_(male)",-1.78,0.07,0.09," 10 000000010 000"
"111","divorcee_(female)",-1.16,-0.38,-0.23," 01 000000010 000"
"112","do_nothing",-1.88,-2.22,-2.08," 11 110000000 000"
"113","doctor",2.56,2.32,1.13," 11 000001000 101"
"114","dropout",-2.13,-2.64,-1.95," 11 000010000 000"
"115","drunk",-1.4,-1.8,0.92," 11 100000000 000"
"116","dummy",-0.44,-1.61,-1.58," 11 100000000 000"
"117","dyke",0.08,0.05,0.4," 01 000000001 101"
"118","egghead",-0.46,-0.02,-0.36," 11 000010000 000"
"119","elder",1.67,0.01,-1.03," 11 100000100 100"
"120","employee",1.88,0.05,0.84," 11 010000000 000"
"121","employer",1.48,1.93,0.74," 11 010000000 000"
"122","enemy",-2.47,0.55,0.92," 11 100100000 001"
"123","entrepreneur",1.69,1.75,1.87," 11 010000000 000"
"124","evangelist",0.65,0.34,0.73," 11 000000100 000"
"125","ex_boyfriend",-1.24,-1.19,-0.31," 10 000000001 000"
"126","ex_girlfriend",-1.47,0.01,0.39," 01 000000001 000"
"127","ex_husband",-1.13,0.25,-0.18," 10 000000011 000"
"128","ex_wife",-0.71,0.42,0.65," 01 000000011 000"
"129","executioner",-2.33,2.43,-0.89," 11 001000000 001"
"130","executive",1.38,2.75,1.62," 11 010000000 000"
"131","extrovert",1.53,1.48,2.71," 11 100000000 000"
"132","failure",-1.94,-1.54,-1.3," 11 110110000 100"
"133","family_man",2.94,2.13,0.87," 10 000000010 100"
"134","fanatic",0.31,0.22,2.4," 11 100100000 000"
"135","father_in_law",1.03,1.22,0.53," 10 000000010 000"
"136","father",2.95,2.88,1.53," 10 000000010 001"
"137","fbi_agent",1.71,2.47,1.23," 11 001000000 001"
"138","felon",-3.05,-0.03,0.74," 11 001000000 001"
"139","female",2.57,0.99,0.71," 01 100000001 000"
"140","feminist",0.61,1.23,1.77," 11 000100000 000"
"141","fiance_(male)",2.66,1.93,1.48," 10 000000010 001"
"142","fiancee_(female)",2.82,1.96,1.33," 01 000000010 001"
"143","firstborn",1.83,1.77,1.33," 11 000000010 000"
"144","flight_attendant",1.79,0.53,0.62," 11 010000000 000"
"145","flirt",0.55,1.04,1.67," 11 000000001 000"
"146","flunky",-1.5,-1.44,-0.69," 11 110100000 000"
"147","foe",-1.52,0.19,0.07," 11 111100000 000"
"148","follower",-0.42,-1.52,-1.77," 11 100100100 000"
"149","foreman",0.28,1.53,0.81," 11 010000000 000"
"150","foster_child",1,-0.94,-0.31," 11 000000010 001"
"151","foster_father",1.8,1.4,0.51," 10 000000010 000"
"152","foster_mother",2.58,1.66,0.93," 01 000000010 000"
"153","freeloader",-2.34,-1.13,-0.27," 11 110100000 100"
"154","friend",3.51,2.51,1.96," 11 100000000 000"
"155","gangster",-1.98,1.49,1.67," 10 011000000 000"
"156","gay",0.53,0.18,0.88," 11 000000001 000"
"157","genius",2,1.84,-0.16," 11 000010000 000"
"158","gentleman",3.11,2.09,0.81," 10 100000000 000"
"159","gigolo",-1.73,0.22,1.44," 10 010000001 001"
"160","girl_friday",1.35,1.22,1.77," 01 011100000 000"
"161","girl",2.5,0.99,1.08," 01 100000001 000"
"162","girlfriend",2.49,1.36,1.24," 01 000000001 001"
"163","god",3.28,3.67,1.21," 11 000000100 000"
"164","goof_off",-0.27,-0.21,2.07," 11 100010000 000"
"165","gossip",-1.82,0.42,1.09," 11 100000000 000"
"166","graduate_student",1.49,1.46,0.7," 11 000010000 000"
"167","grandchild",2.49,-0.09,1.26," 11 000000010 001"
"168","granddaughter",2.46,0.7,0.73," 01 000000010 001"
"169","grandfather",2.92,1.95,-0.34," 10 000000010 001"
"170","grandmother",3.39,1.61,-0.47," 01 000000010 001"
"171","grandparent",2.96,1.76,-0.71," 11 000000010 001"
"172","grandson",2.22,-0.28,1.88," 10 000000010 001"
"173","great_grandfather",3.11,1.75,-1.17," 10 000000010 000"
"174","great_grandmother",2.95,0.44,-0.96," 01 000000010 000"
"175","grind",-0.49,0.41,0.66," 11 000010000 000"
"176","grouch",-2.48,-0.96,-0.64," 11 100000000 000"
"177","grown_up",1.54,1.66,0.27," 11 000000010 000"
"178","guest",1.82,-0.04,-0.03," 11 100000010 000"
"179","gun_moll",-1.09,0.37,0.41," 01 001000000 001"
"180","gunman",-2.84,1.7,1.36," 10 001000000 001"
"181","guy",1.14,1.98,1.61," 10 100000000 000"
"182","gynecologist",1.01,1.22,-0.28," 11 000001001 101"
"183","half_wit",-0.88,-1.21,-0.78," 11 100000000 000"
"184","half_brother",1.01,0.21,0.49," 10 000000010 000"
"185","half_sister",0.84,0.28,0.26," 01 000000010 000"
"186","handicapped_person",1.17,-0.06,-0.78," 11 001001000 000"
"187","handyman",2.08,1.26,0.68," 10 110000000 000"
"188","has_been",-0.62,-1.49,-1.06," 11 010110000 000"
"189","hatemonger",-2.13,-0.17,0.27," 11 100100100 000"
"190","head_nurse",2.2,2,2.15," 11 000001000 001"
"191","healer",2.77,2.71,0.4," 11 000001100 101"
"192","helper",2.8,1.84,0.76," 11 110111000 000"
"193","hero",3.04,2.85,2.34," 10 100000000 000"
"194","heroine",2.61,2.55,1.87," 01 100000000 000"
"195","heterosexual",1.57,1.27,0.84," 11 000000001 000"
"196","hispanic_american",1.94,0.57,0.7," 11 100100000 000"
"197","hombre",1.03,1.29,0.86," 10 100000000 000"
"198","homemaker",1.69,0.33,0.11," 11 000000010 000"
"199","homosexual",0.95,0.1,0.54," 11 000000001 000"
"200","honeymooner",2.4,0.98,1.47," 11 000000001 000"
"201","hoodlum",-2.02,-0.63,0.85," 10 001000000 000"
"202","hooker",-2.16,-0.91,1.56," 01 011000001 001"
"203","host",2.57,1.65,1.48," 10 100000000 000"
"204","hostess",1.74,1.13,1.42," 01 100000000 000"
"205","hothead",-1.97,0.33,2.29," 11 100000000 000"
"206","hotshot",-0.94,0.58,1.88," 11 100000000 000"
"207","house_husband",1.5,0.47,0.58," 10 000000011 000"
"208","house_guest",1.63,0,0.72," 11 000000010 000"
"209","housewife",1.6,0.29,0.52," 01 000000010 000"
"210","hunk",2,1.64,1.52," 10 100000001 000"
"211","husband",2.8,1.79,1.17," 10 000000011 001"
"212","hussy",-1.97,-0.82,0.81," 01 000000001 001"
"213","idiot",-1.88,-1.46,-0.33," 11 100000000 000"
"214","ignoramus",-1.35,-0.98,-0.61," 11 100010000 000"
"215","illegitimate_child",-0.88,-0.92,-0.16," 11 000000010 000"
"216","infant",2.67,-1.74,1.4," 11 000001010 001"
"217","informer",0.55,1.14,0.06," 11 001000000 000"
"218","innocent",2.22,0.27,-0.79," 11 100000000 000"
"219","insider",0.25,1.52,-0.13," 11 010100000 000"
"220","instructor",1.84,1.71,0.8," 11 000010000 000"
"221","intern",1.89,-0.48,0.29," 11 000001000 001"
"222","interviewee",0.85,-0.48,-0.01," 11 010100000 000"
"223","interviewer",0.9,1.67,0.8," 11 010100000 000"
"224","intimate",1.91,1.79,0.48," 11 000000001 001"
"225","introvert",0.22,-1.5,-2.29," 11 100000000 000"
"226","invalid",-1.15,-1.66,-1.32," 11 000001000 001"
"227","jerk",-2.92,0.36,1.85," 11 100000000 000"
"228","jew",1.46,0.47,0.75," 11 000000100 000"
"229","jock",0.57,1.12,1.57," 11 000010000 000"
"230","judge",1.32,2.86,-0.25," 11 001000000 000"
"231","juror",0.96,2.45,-0.41," 11 001000000 001"
"232","kid",2.43,-0.73,2.53," 11 100000000 000"
"233","klutz",-0.75,-1.13,1.18," 11 100000000 000"
"234","know_it_all",-1.48,0.35,1.71," 11 100000000 000"
"235","laborer",1.07,0.35,0.6," 11 010000000 000"
"236","lackey",-0.71,-1.15,-0.13," 11 110100100 000"
"237","lady_killer",-2.79,0.81,0.3," 10 000000001 000"
"238","lady",2.56,1.37,0.7," 01 100000000 000"
"239","lawyer",0.97,1.96,1.78," 11 001000000 000"
"240","leader",1.96,2.43,2.25," 11 110100100 000"
"241","lecher",-1.55,-0.53,0.14," 10 000000001 000"
"242","lecturer",0.76,1.19,-0.29," 11 000010000 000"
"243","lesbian",-0.05,0.1,0.42," 01 000000001 000"
"244","liar",-2.5,0.01,0.79," 11 100000000 000"
"245","liberal",1.02,0.83,0.82," 11 000100000 000"
"246","librarian",1.65,-0.28,-1.74," 11 000010000 000"
"247","little_brother",2.03,-0.43,2.37," 10 000000010 000"
"248","little_sister",1.78,-0.2,1.37," 01 000000010 000"
"249","loafer",-1.15,-1.49,-1.84," 11 110000000 000"
"250","lobbyist",0.49,1.29,1.74," 11 000100000 000"
"251","loser",-1.74,-1.97,-1.65," 11 100000000 000"
"252","loved_one",3.75,2.89,1.86," 11 000000011 000"
"253","lunatic",-1.87,-0.72,1.58," 11 100001000 000"
"254","malcontent",-1.66,-0.45,-0.78," 11 110010000 000"
"255","male",1.03,1.34,1.58," 10 100000001 000"
"256","malingerer",-0.74,-0.39,-1.01," 11 110010000 000"
"257","mama's_boy",0.73,-0.49,-0.7," 10 000000010 000"
"258","man",1.09,1.96,1.46," 10 100000001 000"
"259","manager",0.83,2.26,1.74," 11 010000000 000"
"260","manageress",1.44,1.32,1.59," 01 010000000 000"
"261","maniac",-1.69,0.5,2.21," 11 100001000 001"
"262","marine_corps_enlistee",1.47,1.4,1.89," 11 000100000 001"
"263","marine_corps_officer",1.05,2.36,1.82," 11 000100000 001"
"264","marine_corps_reservist",1.77,1.49,0.9," 11 000100000 001"
"265","masochist",-1.93,-0.33,-0.52," 11 000000001 100"
