"","term","E","P","A","instcodes"
"103","ex_husband",-1.085,0.555,0.01," 10 000000011 000"
"104","ex_wife",-0.88,0.235,0.69," 01 000000011 000"
"105","executioner",-3.45,2.655,-0.685," 11 001000000 001"
"106","executive",0.28,2.245,1.835," 11 010000000 000"
"107","failure",-1.67,-1.745,-1.72," 11 110110000 100"
"108","fairy",3.035,-2.525,-0.79," 10 000000001 000"
"109","family_man",2.52,1.155,-0.085," 10 000000010 100"
"110","fanatic",-2.18,-0.22,2.035," 11 100100000 000"
"111","father_in_law",0.195,1.33,-0.23," 10 000000010 000"
"112","father",1.52,1.81,0.165," 10 000000010 001"
"113","feminist",-0.5,1.405,1.985," 11 000100000 000"
"114","fiance_(male)",1.405,0.685,-0.045," 10 000000010 001"
"115","fiancee_(female)",2.465,-0.505,0.38," 01 000000010 001"
"116","fireman",1.985,2.6,1.795," 10 001000000 001"
"117","firstborn",1.28,0.275,0.685," 11 000000010 000"
"118","fisherman",1.21,1.12,-1.08," 11 110000000 000"
"119","follower",0.32,0.08,0.235," 11 100100100 000"
"120","fool",-1.66,-0.48,-1.31," 11 100000000 000"
"121","foreigner",0.075,0.075,0.21," 11 000100000 000"
"122","foreman",0.395,1.445,0.855," 11 010000000 000"
"123","friend",3.79,2.005,-0.005," 11 100000000 000"
"124","gangster",-2.73,1.93,1.67," 10 011000000 000"
"125","gay",0.985,-0.755,0.535," 11 000000001 000"
"126","german_turk",-0.48,0.185,0.875," 11 111100000 000"
"127","german",0.295,0.455,-0.02," 11 111100000 000"
"128","girl_friday",0.635,0.04,0.83," 01 011100000 000"
"129","girlfriend",3.305,0.645,0.83," 01 000000001 001"
"130","god",1.475,2.21,-1.345," 11 000000100 000"
"131","gossip",-1.995,-0.275,2.075," 11 100000000 000"
"132","grandchild",2.72,-1.985,1.98," 11 000000010 001"
"133","granddaughter",2.295,-1.51,1.365," 01 000000010 001"
"134","grandfather",2.46,1.22,-1.405," 10 000000010 001"
"135","grandmother",2.71,-0.135,-1.34," 01 000000010 001"
"136","guest",2.025,0.505,0.13," 11 100000010 000"
"137","gunman",-3.295,1.68,1.65," 10 001000000 001"
"138","guy",0.165,2.115,1.435," 10 100000000 000"
"139","gynecologist",-0.185,0.34,-0.88," 11 000001001 101"
"140","half_brother",1.155,0.08,0.035," 10 000000010 000"
"141","half_sister",0.79,-0.34,0.05," 01 000000010 000"
"142","handicapped_person",-0.02,-1.1,-0.7," 11 001001000 000"
"143","handyman",0.645,2.135,1.175," 10 110000000 000"
"144","head_nurse",0.31,1.97,1.19," 11 000001000 001"
"145","hero",2.425,3.04,1.825," 10 100000000 000"
"146","high_school_dropout",1.52,0.66,0.635," 11 000010000 000"
"147","hillbilly",-0.96,0.345,-1.555," 11 100000000 000"
"148","homeless_person",-0.76,-1.515,-1.215," 11 100000000 000"
"149","homemaker",1.035,0.085,0.28," 11 000000010 000"
"150","homosexual",0.49,-0.26,0.34," 11 000000001 000"
"151","hooker",-0.665,-0.165,0.67," 01 010000001 001"
"152","host",2.635,1.555,1.445," 10 100000000 000"
"153","hotshot",1.085,2.51,2.62," 11 100000000 000"
"154","house_husband",1.505,0.305,-0.095," 10 000000011 000"
"155","husband",1.56,1.315,-0.22," 10 000000011 001"
"156","hussy",-1.815,-0.75,1.855," 01 000000001 001"
"157","idiot",-2.215,-1.265,-0.07," 11 100000000 000"
"158","illegal_worker",-0.815,-0.85,1.285," 11 010000000 000"
"159","illegitimate_child",0.145,-0.95,-0.075," 11 000000010 000"
"160","immigrant",0.36,-0.205,0.045," 11 000100000 000"
"161","intern_(female)",1.195,-0.845,0.12," 11 011101000 000"
"162","intern",0.56,-1.15,0.12," 11 011101000 001"
"163","interviewer",-0.185,0.975,1.38," 11 010100000 000"
"164","jew",0.61,-0.28,-0.28," 11 000000100 000"
"165","jock",1.32,2.66,2.975," 11 000010000 000"
"166","judge",0.61,2.4,-1.135," 11 001000000 000"
"167","junkie",-2.72,-1.96,-0.535," 11 101000000 000"
"168","king",0.78,2.82,-0.345," 10 000100000 000"
"169","klutz",-0.045,-0.14,1.405," 11 100000000 000"
"170","knight",1.84,3.115,1.9," 11 000100000 000"
"171","know_it_all",-2.52,0.39,1.75," 11 100000000 000"
"172","laborer",-0.345,0.24,-0.2," 11 010000000 000"
"173","lady",1.745,-0.015,-1.215," 01 100000000 000"
"174","landlady",1.21,1.515,1.355," 01 010000000 000"
"175","laughing_stock",-0.515,-1.605,1.25," 11 100000000 000"
"176","law_student",0.195,1.11,-0.275," 11 001010000 000"
"177","law_breaker",-2.3,1.005,1.12," 11 001000000 000"
"178","lawyer",0.295,1.565,0.545," 11 001000000 000"
"179","leader",-0.92,2.09,1.95," 11 110100100 000"
"180","lecturer",0.955,1.105,-0.42," 11 000010000 000"
"181","lesbian",0.33,0.9,0.665," 01 000000001 000"
"182","liberal",0.85,0.74,0.39," 11 000100000 000"
"183","librarian",1.015,-1.23,-2.295," 11 000010000 000"
"184","little_brother",1.805,-1.4,1.585," 10 000000010 000"
"185","little_sister",2,-1.9,0.985," 01 000000010 000"
