"","term","E","P","A","instcodes"
"106","collaborator",-1.21,0.14,0.85," 11 000100000 000"
"107","commander",-0.61,2.15,0.34," 11 000100000 000"
"108","commando",0.16,2.19,1.72," 11 000100000 001"
"109","commissioner",-0.11,1.88,-0.68," 11 000100000 000"
"110","communist",-0.36,1.18,0.87," 11 000100000 000"
"111","companion",2.78,1.23,2.02," 11 100000000 000"
"112","comrade",2.1,1.28,1.62," 11 100100000 000"
"113","confederate",0.51,0.76,0.01," 11 011100000 000"
"114","conqueror",-0.89,2.17,0.49," 11 000100000 001"
"115","conscript",0.44,-0.26,0.7," 11 000100000 001"
"116","conservative",0.7,0.77,-0.38," 11 000100000 000"
"117","conspirator",-1.38,0.7,0.51," 11 011100000 000"
"118","constable",-1.1,0.48,-0.1," 11 001000000 001"
"119","consumer",0.63,0.15,0.78," 11 010000000 000"
"120","convict",-1.84,0.14,1.1," 11 001000000 001"
"121","coroner",0.81,1.21,-1.27," 11 001001000 000"
"122","councillor",1.59,1.08,-0.02," 11 001100000 000"
"123","count",0.69,1.11,-0.57," 10 000100000 000"
"124","countess",1.05,0.47,-0.28," 01 000100000 000"
"125","coward",-1.07,-1.61,-0.2," 11 100000000 000"
"126","crank",-1.23,-0.15,-0.18," 11 100000000 000"
"127","creditor",0.15,0.64,-1," 11 010000000 000"
"128","cripple",0.66,-0.96,-1.02," 11 100001000 000"
"129","critic",-1.09,0.41,1.31," 11 100110000 000"
"130","culprit",-1.36,-0.87,1.69," 11 001000000 010"
"131","cumann_ban_member",-0.15,0.01,1.33," 11 000100000 000"
"132","custodian",-0.08,1.65,-0.54," 11 010000000 000"
"133","customer",1.34,-0.47,-0.04," 11 010000000 000"
"134","customs_officer",0.21,1.03,-0.5," 11 001000000 000"
"135","cynic",-1.41,-1.37,-0.43," 11 100110000 000"
"136","daughter",1.75,-0.61,2.3," 01 000000010 000"
"137","deacon",0.37,0.08,-1.03," 11 000000100 000"
"138","dean",1.38,1.32,-1.23," 11 000010000 000"
"139","debtor",-0.55,-0.07,0.14," 11 010000000 000"
"140","decoy",-0.91,0.46,0.5," 11 001100000 000"
"141","defendant",1.32,0.46,0.29," 11 001000000 000"
"142","degenerate",-0.64,-0.72,0.33," 11 100001001 001"
"143","delegate",1.22,0.93,0.47," 11 000100000 000"
"144","delinquent",-1.17,-1.15,2.79," 11 001000000 000"
"145","demonstrator",0.79,0.45,2.7," 11 000100000 001"
"146","desperado",-1.97,1.45,1.61," 11 001000000 001"
"147","detective",0.42,1.07,1.13," 11 001000000 001"
"148","devil",-2.96,0.75,0.17," 11 100000100 000"
"149","dictator",-1.26,1.81,1.12," 11 000100000 000"
"150","dignitary",0.66,1.95,-0.86," 11 000110100 000"
"151","diplomat",0.93,1.47,0.05," 11 000100000 000"
"152","director",1.15,2.48,0.62," 11 010000000 000"
"153","disciple",2.37,1.32,-0.34," 11 000110100 000"
"154","disciplinarian",-0.93,2.22,-0.78," 11 000010110 001"
"155","doctor",2.34,2.43,-0.34," 11 000001000 101"
"156","drug_addict",-1.8,-1.16,0.54," 11 001001000 000"
"157","duchess",0.51,-0.3,-1.07," 01 000100000 000"
"158","duke",0.91,-0.05,-0.65," 10 000100000 000"
"159","dummy",1.17,-1.77,0," 11 100000000 000"
"160","dwarf",0.61,-0.99,-0.12," 11 100001000 000"
"161","earl",0.72,1.34,-0.45," 10 000100000 000"
"162","electrician",1.08,0.86,0.24," 11 010000000 000"
"163","elf",1.66,-1.03,-0.17," 11 100000000 000"
"164","emigrant",1.26,0.47,0.24," 11 000100000 000"
"165","employer",1.27,1.63,-0.48," 11 010000000 000"
"166","enemy",-1.98,0.27,0.34," 11 100100000 001"
"167","englishman",-0.79,-0.96,-0.53," 11 000100000 000"
"168","entertainer",2,0.76,1.63," 11 110000000 000"
"169","envoy",0.72,1.15,0.13," 11 000100000 000"
"170","escort",1.91,0.93,1.34," 11 100100001 001"
"171","evangelist",1.39,0.35,-0.86," 11 000000100 000"
"172","executioner",-1.93,1.23,-0.13," 11 001000000 001"
"173","exile",0.02,-0.15,-0.34," 11 000100000 000"
"174","exorcist",-0.6,2.36,0.13," 10 000000100 000"
"175","expert",1.16,2.46,0.11," 11 011111000 000"
