"","term","E","P","A","instcodes"
"1","adopt",1.8,-0.265,-0.485," 10 000000010 010"
"2","aggravate",-0.675,0.6,0.92," 01 111111111 100"
"3","anger",-2.145,0.445,1.44," 01 111111111 000"
"4","antagonize",-1.78,1.005,1.415," 01 111111111 000"
"5","apologize_to",0.03,0.025,-1.175," 10 111111111 000"
"6","appeal_to",0.19,1.16,1.04," 10 111111111 000"
"7","applaud",2.48,1.32,2.405," 10 111111111 010"
"8","apprehend",-1.905,1.38,1.755," 10 001000000 001"
"9","approach",1.48,-0.015,-0.75," 10 111111111 010"
"10","approve_of",1.685,0.49,-0.325," 01 111111111 100"
"11","argue_with",-1.605,1.505,2.365," 10 111111111 000"
"12","arouse",2.8,0.285,0.18," 01 000000001 101"
"13","arrest",-1.945,1.57,1.835," 10 001000000 001"
"14","ask_about",0.42,-0.195,-0.44," 01 111111111 010"
"15","assault",-2.775,2.055,2.7," 10 001000000 001"
"16","assist",0.97,-0.01,-0.96," 10 111111111 000"
"17","astonish",1.125,0.52,0.495," 01 111111111 000"
"18","astound",1.465,1.08,1.265," 01 111111111 000"
"19","attack",-1.98,1.53,2.135," 10 001100010 001"
"20","avoid",-1.805,-0.385,-1.205," 01 111111110 010"
"21","baby",-2.275,-0.985,-0.43," 10 000000010 100"
"22","back",2.385,1.035,-0.555," 10 010100000 010"
"23","badger",-1.375,1.15,1.155," 10 111111111 100"
"24","be_owed_by",0.16,0.17,-1.215," 01 010000000 000"
"25","beg",-2.31,-1.055,-0.04," 10 111111111 000"
"26","belittle",-2.62,0.9,1.78," 10 111111111 100"
"27","beseech",-1.805,-0.8,0.905," 10 111111111 000"
"28","bind",-1.01,0.44,-0.4," 10 001000001 001"
"29","blame",-2.165,0.96,1.325," 10 111111111 010"
"30","bless",0.54,0.015,-1.795," 10 000000100 000"
"31","boss",-2.315,1.015,0.93," 10 110101011 000"
"32","bribe",-2.35,-0.26,-0.55," 10 011100000 110"
"33","bully",-2.56,0.39,1.145," 10 100100011 001"
"34","cajole",-1.635,0.37,1.88," 10 111111111 000"
"35","call",0.93,0.795,1.835," 10 111111111 010"
"36","caress",3.295,-1.27,-1.82," 10 000000011 001"
"37","caution",1.345,0.815,0.675," 10 111111111 100"
"38","challenge",-0.4,1.625,1.52," 10 111111111 100"
"39","charm",2.7,-0.045,-0.165," 01 111111111 000"
"40","chatter_to",1.785,-0.00499999999999999,1.785," 10 111111111 100"
"41","cheer",1.245,1.27,2.72," 10 111111111 110"
"42","coach",1.545,1.76,1.81," 10 011111111 010"
"43","coax",-0.2,0.69,0.91," 01 111111111 100"
"44","coddle",-1.31,-1.125,0.06," 11 000001011 100"
"45","command",-1.655,1.725,1.135," 10 011111111 000"
"46","commend",1.76,0.74,-0.245," 10 011111111 010"
"47","compliment",2.11,0.4,-0.175," 10 111111111 000"
"48","confine",-2.695,1.29,1.2," 10 001101010 001"
"49","confront",-0.58,1.36,1.11," 10 111111111 100"
"50","congratulate",1.905,0.825,0.975," 10 111111111 100"
"51","console",2.215,-0.06,-2.34," 10 111111111 100"
"52","consult",0.14,-0.1,-1.03," 10 111111111 000"
"53","contradict",0.03,1.39,1.685," 10 111111111 110"
"54","convict",-2.025,1.01,0.1," 10 001000000 010"
"55","correct",-0.235,0.645,-0.415," 10 111111111 100"
"56","counsel",2.06,0.465,-0.99," 10 011111111 000"
"57","court",1.3,0.345,0.155," 01 100000001 010"
"58","criticize",-0.81,0.395,-0.475," 10 111111111 100"
"59","cross_examine",-2.255,1.52,1.72," 10 001000000 010"
"60","curse",-2.06,1.085,1.85," 10 111111111 100"
"61","cuss",-1.995,1.14,1.92," 10 111111111 100"
"62","damn",-2.655,0.97,1.61," 10 100000100 000"
"63","dance_with",2.425,0.515,1.745," 10 100000111 011"
"64","debate_with",1.165,1.575,1.96," 10 111111110 000"
"65","defend",2.065,1.2,1.125," 10 111111111 110"
"66","defile",-3.585,1.37,2.015," 10 000000001 111"
"67","deflate",-1.03,0.395,0.89," 01 111111111 000"
"68","defy",0.395,1.045,1.135," 10 011111110 000"
"69","delay",-2.03,-0.115,-0.66," 01 011111110 000"
"70","delight",3.22,0.515,0.335," 01 111111111 100"
"71","desire_sexually",1.87,0.935,0.405," 11 000000001 011"
"72","deter",-0.315,0.84,0.655," 01 011111111 000"
"73","disagree_with",-0.745,0.59,1.31," 10 111111111 000"
"74","discipline",-1.325,0.93,0.26," 10 011111111 100"
"75","disconcert",-1.825,0.395,0.13," 01 111111111 000"
"76","discourage",-2.135,-0.055,0.28," 10 111111111 100"
"77","disenchant",-0.545,0.68,-0.11," 01 111111111 100"
"78","disillusion",-1.67,0.99,0.42," 01 111111111 000"
"79","disobey",0.335,1.785,0.28," 10 011111111 000"
"80","displease",-2.37,-0.305,0.05," 01 111111111 100"
"81","disturb",-2.005,0.38,1.63," 01 111111111 010"
"82","divorce",-2.165,0.56,0.83," 10 000000001 010"
"83","doubt",-1.2,0.04,-0.33," 01 111111111 100"
"84","educate",0.805,0.975,-0.445," 10 011111111 100"
"85","elude",-1.3,-0.795,-0.665," 01 111111111 010"
"86","embarrass",-1.075,0.125,0.315," 01 111111111 010"
"87","embrace",2.9,0.53,0.46," 10 100000011 001"
"88","emulate",-0.49,0.255,0.94," 01 111111111 010"
"89","encourage",2.455,1.365,-0.315," 10 111111111 100"
"90","endanger",-3.23,0.6,1.57," 01 101001000 100"
"91","enrage",-1.85,0.97,1.51," 01 111111111 100"
"92","entertain",1.86,0.675,1.635," 01 110110011 100"
"93","escape",1.18,0.975,1.81," 10 101100001 000"
"94","evaluate",0.59,0.44,-1.105," 01 111111111 100"
"95","exalt",0.58,0.59,0.78," 10 110110101 100"
"96","exclude",-2.375,0.04,0.22," 10 100100001 010"
"97","execute",-3.505,1.56,0.85," 10 001000000 001"
"98","explain_something_to",1.945,0.455,-0.93," 10 111111111 000"
"99","extol",0.985,1.01,1.09," 10 111111111 010"
"100","eye",0.17,-0.215,-1.135," 10 100001011 000"
"101","face",0.345,0.54,-0.9," 10 111010011 000"
"102","feed",0.74,-0.44,-0.89," 10 100001010 101"
"103","fight",-1.96,1.715,1.2," 10 101100011 001"
"104","fine",-1.58,0.575,-0.1," 10 001000010 000"
"105","fire_from_a_job",-1.945,0.96,0.24," 10 010000000 000"
"106","flail",-2.735,1.72,2.74," 10 001000011 001"
"107","flatter",-0.02,-0.645,-0.245," 10 111111111 000"
"108","flee",-0.6,0.185,1.71," 10 101100011 000"
"109","flunk",-2.87,1.26,0.165," 10 000010000 000"
"110","foil",-1.465,0.695,-0.145," 01 001100000 010"
"111","follow",-0.705,-0.095,-0.47," 10 101000011 000"
"112","fondle",3.295,-1.425,-1.47," 10 000000011 101"
"113","forget",-1.99,-0.37,-1.18," 01 100011011 010"
"114","forgive",2.295,0.745,-1.44," 01 100000111 100"
"115","forsake",-2.67,0.505,-0.71," 01 100100110 000"
"116","frighten",-2.765,1.57,1.15," 01 101000111 100"
"117","frisk",-2.27,0.935,1.295," 10 001000000 001"
"118","frustrate",-2.66,0.25,0.36," 01 101100011 100"
"119","gape_at",-2.22,-0.015,0.06," 10 100000011 000"
"120","give_raise_to",2.265,1.15,-0.545," 10 010000000 000"
"121","glorify",-0.525,0.8,1.05," 10 000100100 010"
"122","goad",-1.535,0.7,1.49," 01 100100011 000"
"123","grab",-1.305,1.46,1.86," 10 101001011 001"
"124","gratify",3.19,0.81,1.305," 01 100100011 100"
"125","halt",-0.31,0.53,0.82," 10 001000001 110"
