"","term","E","P","A","instcodes"
"104","captive",-0.8,-1.6,-0.26," 11 001100001 001"
"105","card",0.47,0.39,1.35," 11 100000000 000"
"106","carpenter",1.24,0.99,0.28," 11 010000000 000"
"107","cashier",0.55,-0.45,0.26," 11 010000000 000"
"108","celebrity",0.86,1.66,1.04," 11 110000000 000"
"109","center",0.46,1.83,1.76," 10 010010000 001"
"110","chambermaid",0.89,-1.19,-0.48," 01 010000000 000"
"111","champion",1.43,2.57,2.05," 11 100010000 001"
"112","chap",1.14,0.33,0.26," 10 100000000 000"
"113","chaperone",-0.2,0.95,-0.98," 11 100000010 000"
"114","chatterbox",-1.3,-1.05,2.36," 11 100000000 000"
"115","cheerleader",0.73,-0.14,2.7," 11 010010000 000"
"116","chef",0.87,0.18,-0.11," 11 010000000 000"
"117","chemist",0.97,0.9,-0.05," 11 010010000 000"
"118","chick",1.57,-0.64,1.65," 01 100000000 000"
"119","child",1.42,-1.48,2.31," 11 100000010 000"
"120","chiropractor",0.01,-0.35,-0.17," 11 000001000 001"
"121","christian",1.49,0.83,-0.06," 11 000000100 010"
"122","chum",1.57,0.72,0.7," 11 100000000 000"
"123","church_deacon",1.39,0.89,-1.31," 11 000000100 000"
"124","civil_servant",0.83,0.26,-0.6," 11 001100000 000"
"125","classmate",1.06,-0.03,1.26," 11 000010000 000"
"126","clergy",1.41,1.64,-0.66," 11 000000100 000"
"127","clerk",0.46,-0.05,-0.29," 11 011000000 000"
"128","client",1.01,0.19,-0.47," 11 011000000 000"
"129","clod",-1.24,-1.17,0.11," 11 100000000 000"
"130","clown",1.46,-0.34,1.4," 11 100000000 000"
"131","clown",1.41,-0.46,1.21," 11 100000000 000"
"132","co_worker",1.14,0.52,0.62," 11 010000000 000"
"133","coach",0.55,1.66,0.84," 11 010010000 001"
"134","coed",1.48,-0.25,1.74," 01 000010000 000"
"135","colleague",1.29,1.01,0.24," 11 000011000 000"
"136","comedian",1.26,0.17,1.65," 11 100000000 000"
"137","companion",1.99,1.29,0.91," 11 100000000 000"
"138","computer_programmer",0.59,0.58,0.73," 11 010010000 000"
"139","concubine",-0.56,-1.07,1.01," 01 010000001 001"
"140","confidant",1.8,1.59,-0.22," 11 100000000 000"
"141","conformist",-0.61,-0.99,-0.19," 11 100000000 000"
"142","connoisseur",0.86,0.35,-0.33," 11 100000000 000"
"143","construction_foreman",0.79,1.58,0.96," 11 010000000 000"
"144","construction_laborer",0.26,0.59,1.57," 11 010000000 000"
"145","consumer",0.31,-0.69,-0.28," 11 010000000 000"
"146","convict",-1.51,-0.56,1.15," 11 001000000 001"
"147","cook",0.79,-0.12,-0.24," 11 010000000 000"
"148","cop",0.76,1.49,0.35," 11 001000000 001"
"149","copper",-0.43,0.72,0.3," 11 001000000 001"
"150","copycat",-1.78,-1.85,0.68," 11 100000000 000"
"151","coroner",-0.21,0.54,-0.96," 11 001001000 000"
"152","counselor",1.23,1,-0.13," 11 111111100 000"
"153","courtesan",0.12,-0.21,0.1," 01 010000001 001"
"154","cousin",0.82,0.01,1.31," 11 000000010 000"
"155","coward",-1.45,-2.24,-0.51," 11 100000000 000"
"156","crab",-1.1,-0.71,-0.4," 11 100000000 000"
"157","crackpot",-1,-0.78,0.86," 11 100000000 000"
"158","crank",-1.58,-0.78,-0.46," 11 100000000 000"
"159","criminal",-1.93,-0.47,1," 11 001000000 000"
"160","cripple",-0.14,-1.62,-1.03," 11 100001000 000"
"161","crippled_person",-0.06,-1.08,-1.08," 11 100001000 000"
"162","critic",-0.41,1.07,0.28," 11 100110000 000"
"163","crone",-0.66,-0.5,-1.03," 01 100000000 000"
"164","crook",-2.28,0.32,1.3," 11 011000000 000"
"165","crybaby",-1.66,-1.73,1.67," 11 100000000 000"
"166","culprit",-1.89,-0.76,1.03," 11 001000000 010"
"167","customer",0.86,0.12,-0.23," 11 010000000 000"
"168","cutthroat",-2.69,0.58,1.17," 10 011100000 000"
"169","cynic",-0.84,-0.15,0.57," 11 100110000 000"
"170","dame",0.36,0.2,1.35," 01 100000000 000"
"171","dandy",0,0.04,1.35," 10 100000000 000"
"172","daredevil",0.05,0.9,2.03," 11 100000000 000"
"173","darling",1.86,0.61,0.69," 01 100000000 001"
"174","daughter",1.73,-0.46,1.54," 01 000000010 000"
"175","daughter_in_law",1.21,-0.19,1.26," 01 000000010 000"
"176","deadbeat",-1.48,-1.71,-0.67," 11 010000000 000"
"177","deadhead",-1.47,-1.63,-1.11," 11 100000000 000"
"178","decorator",0.43,-0.18,0.26," 11 010000000 000"
"179","defendant",-0.34,-1.1,-0.05," 11 001000000 000"
"180","degenerate",-1.93,-1.27,0," 11 100001001 001"
"181","delinquent",-1.96,-0.84,1.96," 11 001000000 000"
"182","dental_assistant",0.9,0.15,1.04," 01 000001000 001"
"183","dental_hygienist",0.57,-0.29,0.6," 01 000001000 001"
"184","dentist",0.43,0.72,-0.63," 11 000001000 001"
"185","deputy",0.69,1.17,0.7," 11 001000000 001"
"186","desperado",-1.55,0.71,1.4," 11 101000000 001"
"187","detective",0.61,1.22,0.21," 11 001000000 001"
"188","devil",-2.17,1.68,1.68," 11 100000100 000"
"189","devil",-3.12,1.97,1.19," 11 100000100 000"
"190","dietitian",0.79,0.36,-0.27," 11 010001000 000"
"191","dike",-0.94,0.15,0.89," 01 000000001 001"
"192","dimwit",-1.05,-1.49,-0.93," 11 100000000 000"
"193","diner",0.46,0.12,-0.32," 11 010000000 000"
"194","disabled_person",-0.21,-1.17,-0.81," 11 000001000 000"
"195","disciplinarian",-0.62,1.02,-0.93," 11 000010110 001"
"196","dishwasher",0.01,-1.14,0.11," 11 010000000 000"
"197","district_attorney",0.2,1.94,1.12," 11 001000000 000"
"198","divorcee_(gender_neutral)",-0.01,-0.47,0.68," 01 000000010 000"
"199","do_nothing",-1.94,-1.96,-0.67," 11 110000000 000"
"200","doctor",1.8,2.14,-0.31," 11 000001000 101"
"201","doll",1.29,-0.86,0.71," 01 100000000 000"
"202","dolt",-1.09,-1.11,0.14," 11 100000000 000"
"203","doorkeeper",0.37,-0.58,-0.76," 10 010000000 000"
"204","doorman",0.28,-1.02,-0.78," 10 010000000 000"
"205","dope",-1.42,-1.68,0.08," 11 100000000 000"
"206","dressmaker",0.63,-0.54,-0.69," 11 010000000 000"
"207","drip",-1.19,-1.29,-0.24," 11 100000000 000"
"208","dropout",-1.1,-1.38,1.12," 11 000010000 000"
"209","drudge",-1.31,-1.11,-1.03," 11 110010000 000"
"210","drug_addict",-2.29,-2.2,1.01," 11 001001000 000"
"211","drunk",-1.25,-1.65,-0.1," 11 100000000 000"
"212","drunkard",-1.91,-1.83,-0.25," 11 100000000 000"
"213","dullard",-1.4,-1.5,-1.49," 11 000010000 000"
"214","dumbbell",-0.62,-0.97,0.38," 11 100000000 000"
"215","dummy",-0.98,-1.79,-0.83," 11 100000000 000"
"216","dunce",-1.06,-1.83,0.27," 11 100010000 000"
"217","easy_mark",-0.31,-1.8,-0.44," 11 110000000 000"
"218","egghead",-0.41,-0.18,-0.3," 11 000010000 000"
"219","electrician",0.64,0.4,0.46," 11 010000000 000"
"220","elementary_school_teacher",1.41,0.83,0.42," 11 000010000 000"
"221","employee",0.83,-0.53,-0.18," 11 010000000 000"
"222","employer",0.92,2,-0.68," 11 010000000 000"
"223","embalmer",-0.14,-0.02,-1.52," 11 010001000 000"
"224","end_(football)",0.16,1.84,2.13," 10 010010000 001"
"225","engineer",0.9,1.09,0.52," 11 010000000 000"
"226","evangelist",0.02,0.6,0.79," 11 000000100 000"
"227","evildoer",-2.32,0.63,0.59," 11 000000100 000"
"228","executive",0.46,1.85,0.28," 11 010000000 000"
"229","expert",1.4,1.7,0.84," 11 011111000 000"
"230","extrovert",0.36,1.08,1.8," 11 100000000 000"
"231","eyewitness",0.7,1.15,0.32," 11 001000000 000"
"232","fag",-2.16,-1.69,0.75," 10 100000001 000"
"233","fairy",-0.49,-0.45,1.11," 10 000000001 000"
"234","fan",0.58,-0.05,1.45," 11 110000000 000"
"235","fanatic",-1.09,0.14,1.27," 11 100100000 000"
"236","farm_laborer",0.69,-0.32,0.32," 11 010000000 000"
"237","farmer",1.41,0.1,-0.93," 11 010000000 000"
"238","father",1.77,2.14,-0.68," 10 000000010 001"
"239","father_(my)",2.3,2.13,-0.06," 10 000000010 000"
"240","father_in_law",0.9,0.72,-0.79," 10 000000010 000"
"241","faultfinder",-2.01,-1.02,0.1," 11 100000000 000"
"242","fellow",1.35,0.41,0.22," 10 100000000 000"
"243","felon",-2.4,-0.18,0.79," 11 001000000 001"
"244","female",2.17,0.1,1.19," 01 100000001 000"
"245","fiend",-2.45,0.84,1.12," 11 100000101 000"
"246","file_clerk",0.19,-1.09,-0.33," 11 010000000 000"
"247","fink",-2.3,-1.45,0.92," 11 100000000 000"
"248","firebug",-0.78,-0.37,1.05," 11 001000000 000"
"249","fireman",1.84,1.04,1.32," 10 001000000 001"
"250","firstborn",1.22,0.91,0.94," 11 000000010 000"
"251","fisherman",0.59,-0.21,-1.14," 11 110000000 000"
"252","flatfoot",-0.28,-0.43,-0.44," 11 001000000 000"
"253","flight_attendant",1.26,0.29,0.96," 11 010000000 000"
"254","flirt",-0.29,-0.31,1.79," 11 000000001 000"
"255","floorwalker",0.06,-0.45,-0.36," 11 010000000 000"
"256","flunky",-1.72,-1.41,0.24," 11 110100000 000"
"257","fool",-1.41,-1.73,0.84," 11 100000000 000"
"258","freak",-1.39,-1.1,1.26," 11 100000000 000"
"259","freshman",0.38,-1.04,1.87," 11 000010000 000"
"260","friend",2.65,1.82,0.93," 11 100000000 000"
"261","fruit",-0.88,-1.29,0.41," 10 100000001 000"
"262","fuddy_duddy",-1.15,-1.15,-1.13," 11 100000000 000"
"263","fugitive",-1.37,-0.45,0.6," 11 001000000 001"
"264","fullback",0.31,1.91,1.93," 10 010010000 001"
"265","funeral_director",-0.62,-0.31,-1.32," 11 010000000 000"
"266","g_man",-0.69,1.13,0.38," 11 001000000 001"
"267","gal",1.3,-0.55,1.29," 01 100000000 000"
"268","gambler",-0.52,-0.43,1.21," 11 110000000 000"
"269","gangster",-2.06,1.41,1.64," 10 011000000 000"
"270","garbage_collector",0.26,-0.44,0.19," 11 010000000 000"
"271","gas_station_attendant",0.5,-0.88,0.39," 11 010000000 000"
"272","geezer",-0.13,-0.81,-2.01," 10 100000000 000"
"273","genius",1.24,1.36,0.05," 11 000010000 000"
"274","gent",1.2,0.75,-0.01," 10 100000000 000"
"275","gentleman",2.05,1.42,-0.55," 10 100000000 000"
"276","ghoul",-1.61,0.54,0.36," 11 100000000 000"
"277","gigolo",-1.01,-0.16,0.69," 10 010000001 001"
"278","girl",1.55,-0.58,1.14," 01 100000001 000"
"279","girl_scout",1.54,-0.98,1.83," 01 100000000 000"
"280","glutton",-1.55,-0.34,-0.29," 11 100000000 000"
"281","god",3.03,3.59,-0.48," 11 000000100 000"
"282","gold_digger",-0.64,-0.32,1.83," 01 010000001 000"
"283","goody",-0.01,-0.46,-0.45," 11 100000000 000"
"284","goon",-1.38,-0.33,0.22," 10 100000000 000"
"285","gossip",-1.84,-0.04,0.71," 11 100000000 000"
"286","gourmet",0.9,0.18,-0.18," 11 100000000 000"
"287","graduate_student",0.35,0.47,0.39," 11 000010000 000"
"288","grandchild",1.85,-0.85,1.84," 11 000000010 001"
"289","granddaughter",1.25,-0.89,1.5," 01 000000010 001"
"290","grandfather",2.17,1.31,-1.78," 10 000000010 001"
"291","grandmother",2.25,0.13,-1.91," 01 000000010 001"
"292","grandparent",2.24,0.71,-1.77," 11 000000010 001"
"293","grandson",1.51,-0.51,2.28," 10 000000010 001"
"294","granny",2.13,-0.6,-2.21," 01 000000010 000"
"295","grind",-1.02,-0.05,-1.04," 11 000010000 000"
"296","grouch",-1.58,-0.22,-0.72," 11 100000000 000"
"297","grown_up",1.06,1.35,-0.75," 11 000000010 000"
"298","guard_(football)",0.26,2.22,1.73," 10 010010000 001"
"299","guest",1.15,-0.37,-0.26," 11 100000010 000"
"300","gun_moll",-0.95,0.12,1.15," 01 001000000 001"
"301","gunman",-2.16,1.4,1.58," 10 001000000 001"
"302","guy",0.81,0.75,0.77," 10 100000000 000"
"303","hag",-1.51,-0.86,-1.06," 01 100000000 000"
"304","half_brother",0.94,0.41,0.98," 10 000000010 000"
"305","half_sister",0.56,-0.16,0.75," 01 000000010 000"
"306","half_wit",-1.17,-2.02,-0.7," 11 100000000 000"
"307","halfback",0.71,1.6,2.29," 10 010010000 001"
"308","handicapped_person",-0.11,-0.96,-0.84," 11 001001000 000"
"309","handyman",1.29,0.04,-0.53," 10 110000000 000"
"310","hanger_on",-0.76,-1.32,0.24," 11 100000000 000"
"311","harlot",-1.51,-0.84,1.78," 01 010000001 001"
"312","has_been",-0.55,-1.33,-1.23," 11 010110000 000"
"313","he_man",-0.08,1.94,1.6," 10 100000000 000"
"314","headwaiter",0.65,0.75,-0.27," 10 010000000 000"
"315","heel",-1.38,-0.63,0.95," 11 100000000 000"
"316","henchman",-1.85,0.49,0.3," 10 001000000 001"
"317","hermit",-0.05,-1.01,-1.9," 11 100000000 000"
"318","hero",1.98,2.2,0.96," 10 100000000 000"
"319","heroine",1.47,0.61,1.27," 01 100000000 000"
"320","heterosexual",1.65,0.76,0.37," 11 000000001 000"
"321","hick",-0.86,-0.85,-0.13," 11 100000000 000"
"322","highwayman",-0.86,0.91,0.74," 10 001000000 001"
"323","hillbilly",-0.13,-0.34,-0.21," 11 100000000 000"
"324","hippie",-0.43,-0.98,1.49," 11 100000000 000"
"325","hipster",-0.71,-0.7,1.62," 11 100000000 000"
"326","hobo",-0.66,-1.7,-1.07," 11 100000000 000"
"327","homebody",0.22,-0.74,-1.16," 11 100000010 000"
"328","homo",-1.68,-1.18,0.89," 10 100000001 000"
"329","homosexual",-1.52,-0.79,0.64," 11 000000001 000"
"330","hood",-2,0.5,1.47," 10 001000000 000"
