"","term","E","P","A","instcodes"
"108","chicken",-2.6,-2,0.7," 11 100000000 000"
"109","chief_operations_officer",1.07,1.4,-1," 10 010000000 000"
"110","child",0,-2,2.8," 11 100000010 000"
"111","child_of_unremarried_parent",-0.2,-1,0," 11 000000010 000"
"112","childhood_friend",1.08,0.5,0.6," 11 100000000 000"
"113","chinese",0.28,0.8,0.2," 11 100100000 000"
"114","chum",2,1.6,0.2," 11 100000000 000"
"115","civil_engineer",0.59,0.3,0," 10 010000000 000"
"116","civil_servant",-0.8,1.5,-2," 11 001100000 000"
"117","classmate",0.72,0.5,1.2," 11 000010000 000"
"118","clergy",1.56,0.7,-2," 11 000000100 000"
"119","clergyman",1.89,1.6,-2," 11 000000100 000"
"120","clerical_worker",0.49,-1,0," 11 011010000 000"
"121","clerk",0.08,-1,0.6," 11 011000000 000"
"122","clever_person",0.52,1,0," 11 100000000 000"
"123","client",0.79,1.9,-1," 11 011000000 000"
"124","clod",-0.8,-1,1," 11 100000000 000"
"125","close_acquaintance",0.52,0.2,0," 11 100000000 000"
"126","close_relative",0.6,0.7,0," 11 000000010 000"
"127","clown",1.2,-0.41,1.89," 11 100000000 000"
"128","coach",1.77,2.43,0.01," 11 010010000 001"
"129","coal_miner",0.27,0,-1," 10 010000000 000"
"130","coed",-0.3,0,2.2," 01 000010000 000"
"131","coed_(community_college)",-0.4,-1,2.5," 01 000010000 000"
"132","coed_(jr_high)",-0.2,-1,2.4," 01 000010000 000"
"133","colleague",0.4,0.2,0.3," 11 011111000 000"
"134","college_man",0.32,0.2,0.8," 10 000010000 000"
"135","college_student",-0.1,0,1.5," 11 000010000 000"
"136","comedian",1.82,0.81,3.03," 11 110000000 000"
"137","commentator",1.6,1.6,-2," 11 010100000 000"
"138","commissioned_officer",0.36,1.3,0.4," 10 000100000 000"
"139","communist",-0.5,0,0.6," 11 000100000 000"
"140","communist_party_member",0,0.6,0.9," 10 000100000 000"
