"","term","E","P","A"
"1","chat",2.03,1.18,1.17
"2","crosspost",-0.58,0.11,0.65
"3","cybersex",-0.12,-0.11,0.37
"4","email",3.14,2.62,1.8
"5","flame",-1.57,-0.08,1.17
"6","flamebait",-1.63,-0.63,0.46
"7","ignore",-0.47,0.47,-0.34
"8","mailbomb",-2.74,0.27,0.86
"9","post",1.99,1.5,1.12
"10","shout",-1.66,-0.59,0.96
"11","spam",-3.03,-0.41,1.08
"12","surf_the_web",2.58,2.17,1.49
