"","term","E","P","A","instcodes"
"45","brave",1.75,1.69,1.03," 10 010000000 000"
"46","bright",1.41,1.84,0.86," 10 010000000 000"
"47","calm",1.33,0.77,-1.4," 10 100010000 000"
"48","candid",0.88,0.69,0.95," 10 010000000 000"
"49","captivated",0.29,0.07,0.48," 10 010100000 000"
"50","carefree",1.05,0.43,1.52," 10 010000000 000"
"51","careless",-1.25,-0.85,0.73," 10 010000000 000"
"52","catholic",0.44,0.65,-0.24," 10 001000000 000"
"53","cautious",0.92,0.18,-0.9," 10 010000000 000"
"54","charming",1.75,0.89,0.77," 10 010000000 000"
"55","cheerful",2.19,1.21,0.98," 10 110000000 000"
"56","childish",-0.66,-1.12,1.45," 10 010000000 000"
"57","clean_cut",1.08,0.75,-0.24," 10 000100000 000"
"58","clever",1.53,0.97,0.59," 10 010000000 000"
"59","cocky",-1.22,0.34,1.98," 10 010000000 000"
"60","cold",-1.25,-0.47,-0.47," 10 010000000 000"
"61","colorless",-0.52,-0.81,-0.76," 10 000100000 000"
"62","compassionate",2,0.98,-0.09," 10 110000000 000"
"63","competent",1.61,1.2,0.48," 10 010000000 000"
"64","composed",1.24,0.89,-0.56," 10 010000000 000"
"65","compulsive",-0.83,-0.51,0.98," 10 010000000 000"
"66","conceited",-1.74,-0.6,1.27," 10 010000000 000"
"67","confident",1.62,1.8,0.2," 10 010000000 000"
"68","confused",-0.53,-0.85,0.42," 10 010000000 000"
"69","conscientious",1.93,1.53,-0.17," 10 010000000 000"
"70","conservative",0.5,0.44,-0.77," 10 011000000 000"
"71","considerate",2.71,0.97,-0.13," 10 010000000 000"
"72","contemptuous",-1.44,0.82,0.43," 10 110000000 000"
"73","conventional",0.07,0.25,-0.79," 10 000100000 000"
"74","cooperative",1.86,0.56,-0.32," 10 010000000 000"
"75","cowardly",-1.32,-2.47,-0.3," 10 010000000 000"
"76","coy",-0.15,0.38,1.03," 10 010000000 000"
"77","crafty",-0.27,0.83,0.47," 10 010000000 000"
"78","crazy",-0.35,-0.34,1.02," 10 011000000 000"
"79","creative",1.76,1.2,0.84," 10 010000000 000"
"80","critical",-0.38,0.55,0.32," 10 010000000 000"
"81","crude",-1.61,-0.58,0.74," 10 010000000 000"
"82","cruel",-2.88,0.59,0.62," 10 010000000 000"
"83","curious",0.85,0.35,1.62," 10 010000000 000"
"84","cynical",-1.37,-0.4,0.4," 10 010000000 000"
"85","daring",0.28,0.97,2.12," 10 010000000 000"
"86","deceitful",-1.77,0.15,0.37," 10 010000000 000"
"87","defensive",-0.54,-0.08,1," 10 010000000 000"
"88","defiant",-0.55,0.97,1.39," 10 010000000 000"
"89","delicate",1.35,-1.61,-0.53," 10 000100000 000"
"90","delighted",1.7,0.34,0.92," 10 100000000 000"
"91","demanding",-0.89,0.83,0.95," 10 010000000 000"
"92","dependable",1.7,1.2,-0.12," 10 010000000 000"
"93","dependent",0.01,-0.66,-0.4," 10 010000000 000"
"94","depressed",-1.29,-0.83,-1.15," 10 100010000 000"
"95","desperate",-1.44,-0.96,0.55," 10 110000000 000"
"96","dignified",0.97,1.13,-1.03," 10 000100000 000"
"97","disagreeable",-1.24,0.3,0.23," 10 010000000 000"
"98","disappointed",-1.01,-0.38,0.05," 10 100000000 000"
"99","discreet",0.73,0.36,0.05," 10 010000000 000"
"100","disgusted",-0.92,-0.69,-0.06," 10 100010000 000"
"101","dishonest",-2.15,-1.1,0.65," 10 010100000 000"
"102","disobedient",-1.37,-0.15,1.34," 10 010000000 000"
"103","disreputable",-1.2,-0.86,0.3," 10 010000000 000"
"104","disrespectful",-1.78,-0.77,1.15," 10 010000000 000"
"105","dissatisfied",-0.51,-0.43,0.26," 10 100000000 000"
"106","disturbed",-1.01,-0.22,-0.2," 10 110000000 000"
"107","divorced",-0.49,-0.28,0.76," 10 001000000 000"
"108","dogmatic",-0.47,0.95,-0.07," 10 010000000 000"
"109","dominant",-0.31,1.62,0.71," 10 010000000 000"
"110","domineering",-1.04,1.54,0.86," 10 010000000 000"
"111","doubtful",-0.54,-0.44,-0.09," 10 000100000 000"
"112","drowsy",-0.11,-1,-1.29," 10 000100000 000"
"113","drunken",-1.35,-1.26,0.16," 10 001100000 000"
"114","dull",-0.87,-1.1,-1.64," 10 000100000 000"
"115","earnest",1.61,0.77,-0.05," 10 010000000 000"
"116","earthy",1.44,1,-0.37," 10 010000000 000"
"117","easygoing",1.39,0.44,-0.1," 10 010000000 000"
"118","eccentric",0.05,0.73,-0.3," 10 010000000 000"
"119","educated",1.81,1.85,0.62," 10 001000000 000"
"120","efficient",1.52,1.51,0.74," 10 010000000 000"
"121","egotistical",-1.59,0.25,1.26," 10 010000000 000"
"122","elated",1.9,1.14,1.28," 10 100000000 000"
"123","embarrassed",-0.95,-0.94,-0.39," 10 100010000 000"
"124","emotional",0.54,0.1,0.53," 10 110000000 000"
"125","employed",1.55,1.05,0.35," 10 001000000 000"
"126","energetic",1.06,1.25,2.44," 10 010000000 000"
"127","enthusiastic",1.54,1.19,1.9," 10 110000000 000"
"128","envious",-1.23,-1.08,0.62," 10 100000000 000"
"129","excited",1.13,0.73,2.36," 10 100010000 000"
"130","experienced",1.22,1.37,-0.42," 10 001000000 000"
"131","extravagant",-0.14,1.37,1.32," 10 000100000 000"
"132","extroverted",0.94,1.42,2.1," 10 010000000 000"
"133","faithful",1.96,1.06,-0.99," 10 010000000 000"
"134","fearful",-0.88,-1.19,-0.17," 10 100000000 000"
"135","female",1.27,0.59,0.93," 10 001000000 000"
"136","feminine",1.81,0.81,0.28," 10 010000000 000"
"137","fickle",-1.05,-0.84,0.5," 10 010000000 000"
"138","finicky",-0.87,-0.72,0.29," 10 010000000 000"
"139","flexible",1.53,0.74,0.99," 10 010000000 000"
"140","flustered",-0.5,-0.88,0.49," 10 100010000 000"
"141","foolish",-0.88,-0.97,0.79," 10 010000000 000"
"142","forgetful",-0.86,-1.27,-0.57," 10 010000000 000"
"143","forgiving",2.57,2.47,0.04," 10 010000000 000"
"144","friendly",2.48,1.83,0.88," 10 010000000 000"
"145","frivolous",-0.27,-0.61,1.07," 10 000100000 000"
"146","frustrated",-0.92,-0.65,0.1," 10 100000000 000"
"147","furious",-1.07,0.79,1.3," 10 100010000 000"
"148","generous",2,1.71,-0.42," 10 010000000 000"
"149","gentle",1.86,0.2,-0.47," 10 010000000 000"
"150","giddy",-0.07,-0.3,1.15," 10 010000000 000"
"151","gloomy",-1.5,-0.65,-0.75," 10 110000000 000"
"152","good",2.66,1.41,0.54," 10 001000000 000"
"153","gossipy",-1.61,0.12,1.07," 10 010100000 000"
"154","grateful",1.66,0.68,-0.38," 10 100000000 000"
"155","greedy",-1.82,0.4,0.62," 10 010000000 000"
"156","grouchy",-1.46,0.29,-0.24," 10 010000000 000"
"157","guilty",-0.93,-0.81,0.11," 10 101000000 000"
"158","gullible",-1.13,-1.88,0.19," 10 010000000 000"
"159","happy",2.14,1.15,0.22," 10 100010000 000"
"160","hassled",-0.67,-0.43,0.58," 10 000100000 000"
"161","haughty",-1.14,-0.42,0.34," 10 010000000 000"
"162","heart_broken",-1.2,-0.89,-0.66," 10 100000000 000"
"163","helpful",2.51,2.12,0.38," 10 010000000 000"
"164","helpless",-1.26,-2.08,-1," 10 000100000 000"
"165","homey",0.9,-0.1,-1.71," 10 000100000 000"
"166","homosexual",-0.95,-0.54,0.36," 10 001100000 000"
"167","honest",2.39,1.14,-0.4," 10 010000000 000"
"168","honorable",2.34,1.58,-0.56," 10 010000000 000"
"169","hopeful",1.43,0.46,0.87," 10 110000000 000"
"170","hopeless",-1.51,-1.19,-0.29," 10 100100000 000"
"171","horny",0.15,0.17,1.96," 10 010100000 000"
"172","horrified",-0.53,-1.08,-0.03," 10 100000000 000"
"173","hostile",-1.62,-0.11,0.17," 10 110000000 000"
"174","hotheaded",-1.46,0.67,2.11," 10 010000000 000"
"175","humble",0.9,-0.27,-0.43," 10 110000000 000"
"176","humiliated",-1.41,-0.71,-0.51," 10 100000000 000"
"177","hurt",-1.59,-0.96,-0.35," 10 100100000 000"
"178","idealistic",1.26,0.65,1.06," 10 010000000 000"
"179","ignorant",-1.2,-1.56,-0.27," 10 000100000 000"
"180","immature",-1.16,-1.13,1.73," 10 010000000 000"
"181","immoral",-1.37,-0.23,0.89," 10 000100000 000"
"182","impatient",-0.8,-0.55,1.47," 10 100010000 000"
"183","impolite",-2.11,-0.61,1.05," 10 010000000 000"
"184","impotent",-1.01,-1.37,-0.51," 10 000100000 000"
"185","impractical",-1.03,-0.46,0.7," 10 010000000 000"
"186","impressionable",0.42,-0.15,0.67," 10 010000000 000"
"187","impulsive",-0.18,0.49,1.7," 10 010000000 000"
"188","incompetent",-1.39,-1.29,-0.18," 10 000100000 000"
"189","inconsiderate",-2.37,-0.26,0.82," 10 010000000 000"
"190","incredulous",0.19,0.54,0.29," 10 000100000 000"
"191","indecisive",-0.75,-1.25,0.14," 10 010000000 000"
"192","independent",1.56,1.43,0.97," 10 010000000 000"
"193","indifferent",-0.56,-0.85,-0.29," 10 010000000 000"
"194","industrious",1.54,2.09,0.96," 10 010000000 000"
"195","inexperienced",-0.18,-1.16,1.38," 10 000100000 000"
"196","inhibited",-0.9,-0.75,-0.44," 10 010000000 000"
"197","innocent",1.26,-0.43,-0.35," 10 000100000 000"
"198","inquisitive",1,0.97,1.64," 10 010000000 000"
"199","insane",-1.74,-1.2,0.11," 10 001100000 000"
"200","insecure",-0.94,-1.71,-0.52," 10 010000000 000"
"201","insensitive",-2.07,0.48,1.22," 10 010000000 000"
"202","insincere",-2.1,-0.94,1.11," 10 010000000 000"
"203","intellectual",1.29,1.46,-0.27," 10 011000000 000"
"204","intelligent",1.81,1.28,0.22," 10 010000000 000"
"205","intimidated",-1.11,-1.26,-0.13," 10 100000000 000"
"206","intoxicated",-0.92,-0.71,1.5," 10 000100000 000"
"207","introspective",0.77,0.23,-0.4," 10 010000000 000"
"208","introverted",-0.41,-1.73,-1.32," 10 010000000 000"
"209","irritable",-1.26,-0.14,0.2," 10 010000000 000"
"210","jealous",-1.27,-0.5,0.73," 10 110000000 000"
"211","jewish",0.51,0.53,0.17," 10 001000000 000"
"212","jittery",-0.74,-0.78,0.46," 10 010000000 000"
"213","kind",2.27,0.79,-0.19," 10 010000000 000"
"214","knowledgeable",1.84,1.48,-0.17," 10 000100000 000"
"215","languid",-0.23,-0.43,-1.04," 10 000100000 000"
"216","lazy",-1.67,-1.34,-0.03," 10 010000000 000"
"217","let_down",-1.06,-1.71,-0.65," 10 000100000 000"
"218","light_hearted",1.66,0.43,1.29," 10 010000000 000"
"219","lively",1.24,0.78,2.44," 10 010000000 000"
"220","lonely",-1.69,-0.75,-0.83," 10 100000000 000"
"221","lost",-1.05,-1.66,0.4," 10 000100000 000"
"222","loved",2.66,1.64,0.14," 10 000100000 000"
"223","loyal",1.84,1.13,-0.48," 10 010000000 000"
"224","lucky",1.33,0.51,0.76," 10 000100000 000"
"225","lustful",-0.62,0.64,1.77," 10 100000000 000"
"226","male",1.21,1.45,0.75," 10 001000000 000"
"227","manipulative",-1.27,1.17,0.5," 10 010000000 000"
"228","married",1.6,0.71,0.54," 10 001000000 000"
"229","masculine",1.24,1.49,0.83," 10 010000000 000"
"230","mature",1.98,1.52,-0.25," 10 010100000 000"
"231","mean",-2,1.32,0.97," 10 010000000 000"
"232","mediocre",-0.23,-0.38,-0.39," 10 000100000 000"
"233","meek",0.49,-1.79,-1.14," 10 010000000 000"
"234","middle_aged",0.03,0.09,-0.85," 10 001000000 000"
"235","middle_class",0.9,0.49,-0.09," 10 001000000 000"
"236","mischievous",-0.84,0.07,1.99," 10 010000000 000"
"237","miserable",-1.3,-1,-1," 10 100000000 000"
"238","modern",1,1.1,1.72," 10 000100000 000"
"239","modest",0.92,-0.3,-0.02," 10 010000000 000"
"240","moody",-1.27,-0.38,0.67," 10 010000000 000"
"241","naive",-0.12,-1.06,-0.08," 10 010000000 000"
"242","narrow_minded",-1.74,-1.66,-0.87," 10 010000000 000"
"243","nasty",-1.75,-0.32,1.08," 10 010000000 000"
"244","neighborly",2.06,0.72,-0.22," 10 000100000 000"
"245","nervous",-0.93,-0.82,0.73," 10 100010000 000"
"246","nice",2.01,0.8,0.25," 10 010000000 000"
"247","noble",1.43,1.35,-0.77," 10 000100000 000"
"248","nonchalant",0.2,-0.31,0.13," 10 010000000 000"
"249","normal",0.63,0.15,0.24," 10 000100000 000"
"250","nosey",-1.52,-0.64,0.82," 10 010000000 000"
"251","obedient",0.78,-0.16,0," 10 010000000 000"
"252","obligated",-0.66,-1.19,-0.15," 10 001000000 000"
"253","obnoxious",-1.58,-0.13,1.63," 10 010000000 000"
"254","offensive",-0.74,0.7,1.07," 10 010000000 000"
"255","old",0.27,-0.02,-1.94," 10 001000000 000"
"256","old_fashioned",0.87,-0.14,-1.29," 10 000100000 000"
"257","open_minded",1.92,0.97,0.74," 10 010000000 000"
"258","opportunistic",0.81,1.23,1.36," 10 010000000 000"
"259","optimistic",2.2,1.19,1.01," 10 110000000 000"
"260","original",1.78,1.66,0.9," 10 000100000 000"
"261","ostentatious",-0.92,0.95,0.95," 10 010000000 000"
"262","outgoing",1.61,1.48,1.75," 10 010000000 000"
"263","outspoken",0.41,1.39,1.49," 10 010000000 000"
"264","overwhelmed",0.3,-0.8,0.77," 10 100000000 000"
"265","panicked",-0.76,-1.09,1.89," 10 100000000 000"
"266","passionate",1.52,1.19,1.26," 10 110000000 000"
"267","passive",-0.37,-1.22,-0.8," 10 010000000 000"
"268","patient",1.61,0.61,-1.16," 10 010000000 000"
"269","peaceful",1.82,0.37,-1.27," 10 110000000 000"
"270","pensive",0.63,0.41,-1.34," 10 010000000 000"
"271","perceptive",1.72,1.26,0.59," 10 010000000 000"
"272","permissive",0.08,0.44,1.39," 10 010000000 000"
"273","persecuted",-1.55,-1.02,-0.26," 10 001000000 000"
"274","persistent",0.41,1.51,1.03," 10 010000000 000"
"275","persuasive",0.55,1.72,0.4," 10 000100000 000"
"276","perverted",-2.01,-0.55,0.97," 10 011000000 000"
"277","pessimistic",-1.31,-1.02,-0.81," 10 110000000 000"
"278","petty",-1.38,-1.06,0.82," 10 010000000 000"
"279","pitiful",-1.18,-1.51,-1.16," 10 010000000 000"
"280","playful",1.55,0.53,2.36," 10 010000000 000"
"281","pleased",1.41,0.7,0.49," 10 100010000 000"
"282","poised",1.31,1.18,0.08," 10 010000000 000"
"283","polite",1.84,0.55,-0.9," 10 010000000 000"
"284","pompous",-1.19,0.57,0.73," 10 010000000 000"
"285","poor",-1.25,-1.7,-0.74," 10 001000000 000"
