"","term","E","P","A","instcodes"
"109","comfort",2.23,1.05,-0.04," 11 111111111 100"
"110","command",-0.705,1.705,0.085," 10 011111111 000"
"111","commend",1.53,1.21,0.07," 10 011111111 010"
"112","compliment",2.155,1.22,0.665," 10 111111111 000"
"113","con",-1.77,1.225,0.605," 01 011111111 000"
"114","condemn",-1.48,1.05,-0.23," 10 001100000 110"
"115","confide_in",1.88,0.705,-0.135," 10 000111111 000"
"116","confine",-1.71,1.415,-0.08," 10 001101010 001"
"117","confound",-0.7,0.395,-0.39," 01 111111111 000"
"118","confront",0.58,1.275,0.915," 10 111111111 100"
"119","confuse",-1.295,0.665,-0.19," 01 111111111 100"
"120","congratulate",2.1,0.91,0.635," 10 111111111 100"
"121","consider",1.085,0.44,0.125," 01 111111111 010"
"122","console",2.02,1.13,-0.05," 10 111111111 100"
"123","constrain",-0.905,1.51,-0.01," 10 001001011 101"
"124","consult",1.32,0.645,-0.105," 10 111111111 000"
"125","contemplate",0.465,0.265,-0.12," 01 100111000 100"
"126","contradict",-0.505,0.405,0.26," 10 111111111 110"
"127","control",-1.72,1.43,0.09," 01 011100010 100"
"128","convert",-0.075,1.04,-0.275," 01 000100100 010"
"129","convict",-0.545,1.955,-0.08," 10 001000000 010"
"130","convince",0.655,1.17,0.58," 01 111111111 100"
"131","corner",-1.56,1.03,0.755," 01 001000000 000"
"132","correct",0.21,0.485,0.03," 10 111111111 100"
"133","corrupt",-2.245,1.415,0.48," 01 011111111 000"
"134","counsel",2.005,1.19,-0.16," 10 011111111 000"
"135","court",1.425,0.95,1.23," 01 100000001 010"
"136","criticize",-1.265,0.555,-0.125," 10 111111111 100"
"137","cross_examine",0.17,1.465,0.37," 10 001000000 010"
"138","cuddle",2.085,0.895,0.34," 10 000000011 001"
"139","cue",0.73,0.7,0.045," 10 111111111 010"
"140","cure",2.995,2.45,0.52," 10 000001000 100"
"141","curse",-1.485,0.75,0.25," 10 111111111 100"
"142","cuss",-1.165,0.36,0.445," 10 111111111 100"
"143","damn",-1.76,1.07,-0.02," 10 100000100 000"
"144","dance_with",1.85,0.76,1.38," 10 100000111 011"
"145","dare",0.085,0.765,0.98," 10 100100001 100"
"146","dazzle",1.615,1.295,1.475," 01 111111111 000"
"147","debate_with",0.63,0.8,0.835," 10 111111110 000"
"148","deceive",-1.905,1.105,0.245," 01 111111111 000"
"149","defend",1.795,1.5,0.69," 10 111111111 110"
"150","defile",-1.695,0.575,-0.2," 10 000000001 111"
"151","deflate",-1.36,0.99,0.31," 01 111111111 000"
"152","defy",-1.04,0.84,0.405," 10 011111110 000"
"153","degrade",-2.39,0.825,0.005," 11 111111111 110"
"154","delay",-1.34,0.33,-0.475," 01 011111110 000"
"155","delight",1.905,1.05,0.595," 01 111111111 100"
"156","delude",-0.86,1.03,0.165," 01 111111111 000"
"157","demean",-2.43,0.865,0," 10 111111111 100"
"158","demoralize",-2.425,1.155,0.185," 01 111110010 000"
"159","denounce",-1.275,1.03,-0.335," 10 111111111 010"
"160","deprave",-1.47,0.755,-0.135," 01 000000001 000"
"161","deprecate",-1.845,0.115,-0.145," 10 111111111 100"
"162","deprive",-2.095,1.08,-0.155," 01 011111110 100"
"163","deride",-0.37,0.99,-0.395," 10 111111111 010"
"164","desert",-2.21,0.19,-0.09," 01 110100010 010"
"165","desire_someone_sexually",1.995,1.225,1.59," 11 000000001 011"
"166","desire",1.54,1.01,1.115," 01 000000001 000"
"167","despise",-1.76,0.805,0.01," 01 111111111 100"
"168","destroy",-2.46,1.73,0.47," 10 010111110 010"
"169","detain",-0.9,1.3,-0.235," 10 011111111 001"
"170","deter",-0.46,0.81,-0.1," 01 011111111 000"
"171","detest",-1.475,0.52,0.13," 01 111111111 000"
"172","direct",1.27,1.21,0.295," 10 011111111 000"
