"","term","E","P","A","instcodes"
"104","lecture",0.715,0.675,-1.13," 01 000010000 000"
"105","library",1.365,0.77,-2.375," 10 100010000 100"
"106","living_room",1.74,-0.37,-1.12," 10 000000010 100"
"107","locker_room",0.535,0.055,1.235," 10 100010000 000"
"108","lovers_lane",2.245,0.755,0.155," 10 000000001 001"
"109","luncheon",1.53,0.04,0.37," 01 110110000 000"
"110","luncheonette",1.15,-0.05,0.205," 10 010000000 000"
"111","lunchroom",1.47,0.25,1.385," 10 010010000 100"
"112","marriage_counselor's_office",-0.245,0.735,-0.995," 11 000000101 100"
"113","massage_parlor",1.575,0.005,-1.02," 10 010000001 001"
"114","maternity_ward",2.1,1.4,1.43," 10 000001010 000"
"115","mealtime",2.05,0.605,0.295," 01 100000010 100"
"116","meeting",0.39,1.005,0.345," 10 111111100 000"
"117","memorial_service",-0.395,1.315,-1.69," 01 100000100 000"
"118","men's_room",0.005,-0.175,0.18," 10 100000000 101"
"119","mental_hospital",-1.265,0.765,-0.215," 10 000001000 001"
"120","military_base",-0.615,2.07,1.865," 10 000100000 001"
"121","mob",-2.155,2.4,1.515," 01 100000000 001"
"122","mobile_home",0.13,-0.605,-0.655," 10 000000010 100"
"123","motel_room",0.55,-0.825,-0.24," 10 010000011 101"
"124","museum",1.6,0.805,-2.15," 10 100010000 100"
"125","new_year's_eve",2.63,2.16,3.12," 01 100000000 000"
"126","nightclub",1.695,1.33,3," 10 010000001 000"
"127","nursery_school",2.1,0.27,2.29," 10 000010000 001"
"128","nursing_home",0.27,-0.16,-2.42," 10 010001000 101"
"129","office",0.35,0.62,0.385," 10 011011100 100"
"130","operating_room",-0.07,1.8,-0.415," 10 000001000 001"
"131","orgy",0.685,0.78,2.335," 01 000000001 001"
"132","parade",1.92,1.175,2.425," 11 100100000 000"
"133","party",2.335,0.99,2.605," 01 100000001 000"
"134","peacetime",2.75,1.56,-1.565," 01 000100000 000"
"135","penitentiary",-1.77,1.93,0.665," 10 001000000 100"
"136","pizzeria",1.705,-0.21,1.35," 10 010000000 000"
"137","playground",2.36,0.28,2.305," 10 100000000 001"
"138","police_station",0.66,2.34,1.76," 10 001000000 000"
"139","pool_hall",0.71,0.215,2.045," 10 010000000 000"
"140","poorhouse",-2.265,-1.395,-1.065," 10 100000000 100"
"141","post_office",0.815,0.4,-0.42," 10 100000000 000"
"142","prayer_meeting",1.47,1.05,-1.795," 01 000000100 000"
"143","press_conference",0.435,1.8,1.895," 01 011100000 000"
"144","prison",-2.875,2.06,1.215," 10 001000000 100"
"145","psychiatrist's_office",-0.07,0.655,-1.435," 10 000001000 000"
"146","quiz",-0.955,0.34,-0.96," 01 000010000 000"
"147","reception",1.67,0.635,1.25," 01 010010100 000"
"148","refreshment_stand",1.81,-0.405,0.645," 10 010000000 000"
"149","resort",2.66,0.975,1.065," 10 010000000 000"
"150","restaurant",1.89,0.075,0.86," 10 010000000 000"
"151","retirement_home",0.695,-0.83,-2.84," 10 100000000 000"
"152","riot",-2.49,2.625,3.26," 01 101100000 001"
"153","saloon",0.755,-0.055,0.995," 10 010000000 000"
"154","sauna",2.255,-0.32,-2.005," 10 010000000 100"
"155","schoolroom",1.33,1.36,1.31," 10 000010000 000"
"156","seminar",0.455,0.27,-0.23," 01 000010000 000"
