"","term","E","P","A"
"156","born_again_christian",0.53,0.23,0.79
"157","boss",1.06,2.47,1.53
"158","bouncer",1.02,2.31,1.48
"159","boxer",0.63,2.38,2.69
"160","boy",1.26,0.2,1.99
"161","boy_scout",1.9,0.41,1.47
"162","boyfriend",1.44,0.82,0.82
"163","braggart",-2.05,-0.43,2.03
"164","brain",2.83,2.76,2.17
"165","brat",-2.75,-0.66,2.5
"166","breadwinner",2.62,2.4,1.78
"167","bricklayer",1.33,0.89,1.17
"168","bride",1.99,1,1.06
"169","bridegroom",1.63,0.78,0.62
"170","bridesmaid",1.71,0.06,0.89
"171","broad",0.08,-0.05,0.49
"172","broadcast_news_analyst",0.78,1.4,1.49
"173","brother",1.7,0.99,1.16
"174","brother_in_law",1.28,0.54,0.41
"175","brunette",0.94,0.34,0.31
"176","brute",-2.12,2.1,1.5
"177","buddy",2.82,1.4,0.9
"178","buffoon",-1.99,-1.56,0.43
"179","building_contractor",1.41,1.46,1.66
"180","bulldozer_operator",1.09,1.28,1.8
"181","bully",-3.36,0.87,2.63
"182","bum",-1.3,-2.52,-1.75
"183","bureaucrat",-1.12,1.15,0.1
"184","burglar",-3.29,0.7,0.62
"185","bus_driver",1.36,0.3,0.77
"186","busboy",1.12,-1.28,1.67
"187","businessman",0.93,1.48,1.51
"188","businesswoman",1.94,1.93,1.73
"189","busybody",-0.79,0.11,2.4
"190","butcher",1.03,0.91,1.36
"191","bystander",0.44,-1.1,-1.4
"192","cabinet_maker",1.63,0.56,1.16
"193","cabinet_member",0.71,2.28,0.72
"194","cad",-2.01,-0.69,0.86
"195","call_girl",-1.3,-0.77,1.63
"196","capitalist",0.46,1.55,1.63
"197","captive",-1.41,-2.73,-1.59
"198","carpenter",1.69,1.26,2.03
"199","cashier",1.45,-0.5,1.28
"200","casual_laborer",1.03,-0.7,0.85
"201","celebrity",0.4,1.9,1.94
"202","cement_worker",1.3,0.87,1.56
"203","censor",-1.54,1.42,0.25
"204","chain_smoker",-2.46,-1.91,-0.02
"205","chairman",1,2.35,1.4
"206","chairman_of_the_board",0.69,2.9,1.6
"207","chairperson",0.85,2.13,0.74
"208","chairwoman",1.53,2.31,1.26
"209","chambermaid",0.93,-0.98,0.53
"210","champion",2.54,2.53,2.11
"211","chap",1.12,0.27,0.27
"212","chaperone",1.75,1.31,0.25
"213","chaplain",1.59,0.92,-0.35
"214","chatterbox",-0.52,-0.07,2.95
"215","chauffeur",1.37,-0.28,-0.23
"216","cheat",-2.98,-0.74,0.31
"217","cheerleader",1.23,0.35,2.79
"218","chef",1.98,1.49,2.26
"219","chemical_engineer",1.89,1.49,0.12
"220","chemist",1.64,1.34,0.26
"221","chief_operations_officer",1.07,2.55,1.77
"222","child",2.21,-1.68,2.39
"223","child_molester",-3.88,-0.11,0.19
"224","chiropractor",1.62,1.08,0.41
"225","choreographer",1.55,1.34,2.35
"226","chronically_ill_person",-0.84,-2.4,-2.27
"227","chum",1.79,0.31,0.26
"228","church_deacon",1.43,1.04,0.05
"229","citizen",1.28,0.07,0.42
"230","city_councilor",0.94,1.44,0.84
"231","civil_engineer",1.79,1.29,0.56
"232","civil_servant",1.27,0.15,0.22
"233","classmate",0.9,0.09,0.2
"234","cleaning_woman",1.67,-0.5,1.32
"235","clergy",1.17,1.29,0.02
"236","clerical_worker",1.23,-0.45,0.25
"237","clerk",1.04,-0.44,0.57
"238","client",1.68,0.86,0.48
"239","clod",-1.13,-1.17,-0.74
"240","clown",0.68,-0.13,2.32
"241","co_worker",1.14,0.13,0.7
"242","coach",1.98,2.35,2.44
"243","coal_miner",1.4,0.28,1.59
"244","collaborator",1.3,1.14,1
"245","colleague",1.51,0.42,0.46
"246","college_student",1.23,-0.3,1.54
"247","comedian",2.1,1.14,2.51
"248","commentator",1.08,1.06,2
"249","commissioned_officer",1.66,2.13,1.29
"250","commissioner",0.85,1.99,0.97
"251","communist",-1.45,0.23,0.82
"252","companion",2.68,1.1,0.31
"253","competitor",0.68,1.3,1.69
"254","computer_programmer",1.74,1.3,0.24
"255","computer_security_specialist",1.9,1.41,-0.08
"256","computer_support_specialist",1.78,1.02,0.57
"257","con_artist",-3.11,0.87,1
"258","confidant",2.39,1.42,-0.68
"259","conformist",-1.07,-1.71,-1.36
"260","connoisseur",1.7,1.06,0.26
"261","conservative",-0.09,0.61,0.07
"262","conspiracy_theorist",-0.77,-0.84,1.28
"263","construction_contractor",1.03,1.51,1.65
"264","construction_foreman",1.52,2.08,2.2
"265","construction_laborer",1.68,1.1,2.37
"266","consultant",1.25,1.24,0.87
"267","consumer",1.37,0.54,0.83
"268","convict",-2.5,-1.19,0.98
"269","cook",1.73,1.02,1.82
"270","cop",1.11,2.53,1.95
"271","copycat",-1.79,-1.12,0.49
"272","coroner",1.3,0.64,-0.58
"273","corporate_person",0.11,1.73,1.34
"274","cosmetologist",1.39,0.17,1.11
"275","counselor",2.36,1.69,0.04
"276","cousin",1.74,0.28,0.43
"277","coward",-2.35,-2.82,-1.66
"278","craftsman",2.3,1.22,1.5
"279","crane_operator",1.5,1.46,1.47
"280","creditor",-0.65,1.69,0.96
"281","criminal",-3.06,0.11,1.18
"282","cripple",-0.46,-1.79,-1.77
"283","critic",-0.02,1.38,1.1
"284","crook",-3.17,-0.01,1.02
"285","crybaby",-2.14,-2.05,2.02
"286","culprit",-2.24,-0.13,0.87
"287","custodian",1.43,-0.66,0.37
"288","customer",1.7,1.22,0.9
"289","customer_support_representative",0.88,-0.49,0.85
"290","customer_systems_analyst",1.07,0.54,0.14
"291","customs_officer",0.82,1.36,0.96
"292","cutthroat",-2.46,1.45,1.8
"293","cynic",-0.78,-0.54,0.24
"294","dairy_farmer",1.99,0.56,0.83
"295","daredevil",0.18,1.7,2.78
"296","daughter",2.33,0.29,0.99
"297","daughter_in_law",1.43,0.12,0.38
"298","deadbeat",-2.75,-2.15,-2.22
"299","deadbeat_dad",-3.14,-2.04,-1.79
"300","decorator",1.65,0.86,0.99
"301","defendant",-0.02,-0.76,-0.1
"302","defense_attorney",1.2,1.99,1.86
"303","degenerate",-2.49,-1.47,-0.1
"304","delinquent",-2.47,-0.62,1.23
"305","demon",-3.35,2.28,2
"306","dental_assistant",1.95,0.33,0.55
"307","dental_hygienist",1.95,0.69,0.82
"308","dentist",1.97,1.67,1.05
"309","deputy",1.9,1.89,1.27
"310","detective",1.67,1.85,0.34
"311","devil",-3.27,1.39,1.26
"312","dietitian",1.99,0.88,0.4
"313","dimwit",-1.97,-2.45,-1.38
"314","diner",1.87,0.32,1.71
"315","diplomat",1.65,2.23,0.92
"316","disabled_person",0.35,-1.12,-1.11
"317","disciplinarian",0.63,2.25,1.31
"318","dishwasher",1.97,0.12,1.78
"319","disregard",-1.37,0.01,-0.59
"320","district_attorney",0.91,2.49,1.79
"321","divorcee_(male)",-1.19,0.07,0.76
"322","divorce_lawyer",-0.07,1.81,1.47
"323","divorcee_(female)",-0.97,0.03,-0.34
"324","do_nothing",-2.25,-2.53,-2.84
"325","doctor",2.59,2.56,1.29
"326","doll",1.26,-2.42,-2.66
"327","dolt",-1.72,-2.05,-1.1
"328","dope",-1.89,-2.02,-1.5
"329","drag_queen",0.25,0.53,1.77
"330","dropout",-2.05,-2.05,-1.33
"331","drug_addict",-2.55,-2.42,0.11
"332","drug_dealer",-2.87,1.23,1.22
"333","drunk",-2.18,-1.89,0.89
"334","drunkard",-2.33,-1.88,0.83
"335","dude",0.7,0.44,0.64
"336","dummy",-1.45,-2.24,-1.52
"337","dunce",-1.8,-2.16,-1.41
"338","economist",1.05,0.82,-0.14
"339","editor",1.49,1.48,0.9
"340","education_administrator",1.81,1.59,1.09
"341","educator",2.8,1.97,0.99
"342","electrical_engineer",2.26,1.67,0.58
"343","electrical_linesman",1.53,0.74,0.83
"344","electrician",1.56,0.91,0.99
"345","elementary_school_student",1.65,-1.24,2.35
"346","elementary_school_teacher",2.61,1.63,1.59
"347","elite_person",0.63,2.41,1.28
"348","employee",1.65,-0.38,1.25
"349","employer",1.22,2.07,0.85
"350","enemy",-2.76,0.98,0.99
"351","engineer",2.08,1.62,0.94
"352","entrepreneur",1.98,1.82,1.93
"353","environmentalist",2.21,0.88,0.87
"354","evangelical_christian",0.35,0.39,0.89
"355","evangelist",0.28,0.98,1.94
"356","evildoer",-3.6,1.55,1.37
"357","ex_boyfriend",-0.99,-0.58,-0.12
"358","ex_convict",-1.21,-0.98,0.26
"359","ex_girlfriend",-0.98,-0.4,0.32
"360","ex_husband",-0.99,-0.09,0.49
"361","ex_wife",-0.96,-0.06,0.78
"362","executioner",-1.86,2.23,0.9
"363","executive",0.74,2.56,1.76
"364","exorcist",0.71,1.41,1.84
"365","expert",2.44,2.39,1.12
"366","extrovert",1.07,1.27,2.46
"367","eyewitness",1.59,1.4,0.05
"368","failure",-2.23,-1.18,-0.59
"369","fan",1.64,0.56,2.01
"370","fanatic",-0.93,0.38,2.42
"371","farm_laborer",1.88,-0.15,1.63
"372","farmer",2.56,1.18,1.22
"373","fast_food_server",0.85,-1.15,1.73
"374","father",2.17,2.14,0.92
"375","father_in_law",0.96,0.83,0.26
"376","fellow",1.15,0.58,0.26
"377","felon",-2.73,-0.05,1.23
"378","female",1.92,0.82,0.65
"379","feminist",0.67,0.84,1.6
"380","fiance_(male)",2.41,1.46,0.8
"381","fiancee_(female)",2.31,1.41,0.85
"382","fiend",-1.47,0.8,1.31
"383","fighter",0.44,2.21,2.57
"384","file_clerk",1.12,-0.68,-0.41
"385","film_star",0.85,1.92,1.92
"386","fire_investigator",2.38,1.74,1.27
"387","firefighter",3.02,2.57,2.6
"388","firstborn",1.75,0.3,0.72
"389","fisherman",1.57,0.56,0.16
"390","flight_attendant",1.38,0.32,1.18
"391","flirt",0.38,0.7,1.38
"392","flunky",-1.68,-1.93,-0.35
"393","follower",-0.03,-1.57,-1.18
"394","fool",-2.26,-1.95,-0.01
"395","foreigner",0.6,-0.42,0.23
"396","foreman",1.39,1.75,1.46
"397","forest_ranger",2.28,1.19,1.25
"398","foster_child",1.63,-0.89,0.67
"399","foster_daughter",1.64,-0.48,0.54
"400","foster_father",2.27,1.85,1.03
"401","foster_mother",2.19,1.53,0.97
"402","foster_parent",2.46,1.66,1.1
"403","foster_son",1.19,-0.34,0.46
"404","freak",-0.46,-0.5,0.48
"405","free_thinker",2.34,1.55,0.65
"406","freeloader",-2.63,-1.7,-1.1
"407","friend",3.17,1.68,0.93
"408","fugitive",-2.54,-0.84,1.01
"409","fundamentalist",-0.66,0.37,1.1
"410","fundraiser",2.38,1.79,1.7
"411","funeral_director",1.16,0.74,-0.65
"412","gal",1.38,0.04,0.69
"413","gambler",-1.11,-0.56,1.46
"414","gamer",0.89,-0.07,0.94
"415","gangster",-2.74,1.44,1.75
"416","garbage_collector",1.61,0.26,1.56
"417","gas_station_attendant",0.92,-0.71,0.35
"418","gay",0.96,0.06,0.61
"419","geek",1.39,-0.57,-0.63
"420","genius",2.63,2.24,0.38
"421","gentleman",2.8,1.57,-0.13
"422","geologist",2.01,0.65,-0.08
"423","girl",2.03,0.57,0.85
"424","girl_scout",2.32,-0.32,1.3
"425","girlfriend",1.69,0.84,1.13
"426","glutton",-2.32,-0.75,-0.26
"427","gold_digger",-2.68,-0.21,1.43
"428","golfer",0.85,0.43,-0.14
"429","good_samaritan",3.37,1.93,0.94
"430","goon",-2.2,0.01,0.94
"431","gossip",-2.25,0.08,1.96
"432","governor",0.67,2.4,1.4
"433","graduate_student",2.19,1.01,0.88
"434","grandchild",2.67,-1.1,2.44
"435","granddaughter",2.33,0.21,1.56
"436","grandfather",2.38,1.22,-0.91
"437","grandma",2.34,-0.1,-1.24
"438","grandmother",2.46,0.71,-0.94
"439","grandparent",2.64,1.34,-0.94
"440","grandson",2.35,0.22,1.87
"441","granny",2.4,-0.01,-1.19
"442","grind",-0.34,0.37,0.71
"443","grouch",-2.07,-0.88,-0.27
"444","grown_up",1.18,1.62,0.64
"445","guest",1.21,-0.4,-0.2
"446","gunman",-2.13,1.76,1.65
"447","guy",0.84,1.07,0.73
"448","hacker",-1.72,1.73,0.29
"449","hairdresser",1.5,0.16,1.44
"450","hairstylist",1.51,0.31,1.34
"451","half_brother",1.26,0.32,0.4
"452","half_sister",1.18,0.13,0.36
"453","half_wit",-1.46,-2.24,-1.37
"454","handicapped_person",0.61,-1.1,-1.06
"455","handyman",2.06,0.92,1.54
"456","has_been",-1.43,-2.22,-1.36
"457","heel",-0.24,-0.05,0.18
