"","term","E","P","A"
"154","passionate",2.15,2.15,0.67
"155","peaceful",2.09,1.36,-1.35
"156","perceptive",1.96,1.46,-0.18
"157","persistent",2.18,2.32,-0.61
"158","petrified",-0.95,-0.92,-0.18
"159","petty",-2,-1.82,0.03
"160","playful",1.78,0.92,0.18
"161","polite",2.59,1.87,-2.21
"162","pompous",-2.05,-1.26,1.2
"163","poor",-0.33,-0.61,-0.59
"164","popular",2.18,1.11,-0.79
"165","prejudiced",-0.88,-0.19,0.39
"166","proud",1.71,1.61,0.59
"167","quarrelsome",-1.95,-0.48,2.06
"168","raunchy",-1.33,-0.64,0.88
"169","rebellious",-1.56,-0.4,1.24
"170","reckless",-1.37,-1.23,2.01
"171","regretful",-0.6,-0.27,-0.2
"172","relaxed",2.48,0.95,-2.21
"173","remorseful",-0.47,-0.08,0.63
"174","repentant",-0.67,0.34,0.67
"175","resentful",-1.54,-1.06,0.24
"176","responsible",2.27,2.01,-0.65
"177","rich",1.98,1.58,0.78
"178","rude",-2.78,-1.42,1.71
"179","ruthless",-1.6,-0.25,1.36
"180","sad",-2.04,-0.58,0.28
"181","sadistic",-2.37,-1.38,0.83
"182","saintly",-0.03,-0.19,-0.08
"183","sarcastic",-1.73,-1.3,1.55
"184","satisfied",2.73,1.89,-0.99
"185","self_denying",-1.94,-1.65,0.11
"186","self_pitying",-0.65,-1.27,-1.16
"187","self_righteous",-0.79,-0.87,0.47
"188","self_satisfied",2.4,1.61,-0.46
"189","selfish",-2.44,-1.6,1.41
"190","sensitive",0.77,-0.19,-1.24
"191","sentimental",1.34,-0.17,-1.42
"192","serene",2.52,1.63,-1.94
"193","shrewd",1.08,1.17,-0.16
"194","shy",0.14,-1.13,-1.59
"195","sly",-2.3,-1.28,0.74
"196","smug",-0.42,-0.45,1
"197","soft_spoken",0.39,-0.47,-1.53
"198","sorry",0.7,0.04,-1.03
"199","spiteful",-2.11,-1.46,0.86
"200","stingy",-2,-1.78,0.08
"201","strict",0.73,1.21,0.3
"202","stubborn",-0.76,0.74,1.12
"203","stupid",-1.77,-1.17,-0.16
