"","term","E","P","A","instcodes"
"104","lecture",0.84,0.79,-1.38," 01 000010000 000"
"105","library",1.13,0.73,-2.85," 10 100010000 100"
"106","living_room",1.75,-0.61,-0.96," 10 000000010 100"
"107","locker_room",0.5,0.07,1.7," 10 100010000 000"
"108","lovers_lane",2.3,0.78,-0.2," 10 000000001 001"
"109","luncheon",1.78,-0.05,0.52," 01 110110000 000"
"110","luncheonette",1.14,-0.15,0.32," 10 010000000 000"
"111","lunchroom",1.34,0.05,1.58," 10 010010000 100"
"112","marriage_counselor's_office",-0.35,0.75,-1.21," 11 000000101 100"
"113","massage_parlor",1.6,-0.08,-1.51," 10 010000001 001"
"114","maternity_ward",2.47,1.74,1.76," 10 000001010 000"
"115","mealtime",1.99,0.61,0.54," 01 100000010 100"
"116","meeting",0.19,1.45,0.58," 10 111111100 000"
"117","memorial_service",-0.69,1.37,-2.09," 01 100000100 000"
"118","men's_room",-0.26,-0.16,0.6," 10 100000000 101"
"119","mental_hospital",-1.5,0.54,-0.3," 10 000001000 001"
"120","military_base",-0.22,2.27,2.05," 10 000100000 001"
"121","mob",-2.4,2.35,1.42," 01 100000000 001"
"122","mobile_home",-0.02,-0.93,-1.2," 10 000000010 100"
"123","motel_room",0.72,-0.83,-0.23," 10 010000011 101"
"124","museum",1.44,0.82,-2.24," 10 100010000 100"
"125","new_year's_eve",2.96,2.17,3.21," 01 100000000 000"
"126","nightclub",2.27,1.37,3.21," 10 010000001 000"
"127","nursery_school",2.33,0.53,2.7," 10 000010000 001"
"128","nursing_home",-0.05,-0.35,-2.71," 10 010001000 101"
"129","office",0.49,0.86,0.11," 10 011011100 100"
"130","operating_room",-0.29,2.12,-0.97," 10 000001000 001"
"131","orgy",0.4,0.77,2.4," 01 000000001 001"
"132","parade",2.15,1.25,2.61," 11 100100000 000"
"133","party",2.78,0.83,2.81," 01 100000001 000"
"134","peacetime",2.9,1.45,-1.75," 01 000100000 000"
"135","penitentiary",-1.85,2.05,0.67," 10 001000000 100"
"136","pizzeria",1.92,-0.33,1.58," 10 010000000 000"
"137","playground",2.61,0.17,2.75," 10 100000000 001"
"138","police_station",0.69,2.82,1.5," 10 001000000 000"
"139","pool_hall",0.9,0.19,2.4," 10 010000000 000"
"140","poorhouse",-2.24,-1.28,-0.92," 10 100000000 100"
"141","post_office",0.91,0.51,-0.71," 10 100000000 000"
"142","prayer_meeting",1.28,1.19,-2.1," 01 000000100 000"
"143","press_conference",0.92,2.22,2.39," 01 011100000 000"
"144","prison",-2.98,2.2,1.78," 10 001000000 100"
"145","psychiatrist's_office",0.08,0.89,-1.87," 10 000001000 000"
"146","quiz",-1.45,0.44,-1.52," 01 000010000 000"
"147","reception",1.94,0.87,1.44," 01 010010100 000"
"148","refreshment_stand",1.68,-0.6,0.12," 10 010000000 000"
"149","resort",2.97,0.78,1.35," 10 010000000 000"
"150","restaurant",2.07,0.01,1.44," 10 010000000 000"
