"","term","E","P","A","instcodes"
"104","bus_driver",0.45,0.24,-0.15," 11 010000000 000"
"105","busboy",0.78,0.21,0.15," 10 010000000 000"
"106","busybody",-0.76,-0.43,1.38," 11 100000000 000"
"107","butcher",-0.76,1.63,0.43," 11 010000000 000"
"108","bystander",-1.01,-1.07,-0.86," 11 100000000 000"
"109","cadre",0.44,1.37,0," 11 000100000 000"
"110","call_girl",-0.94,-1.76,0.69," 01 000000001 001"
"111","capitalist",-1.06,1.54,-0.07," 11 010000000 000"
"112","captive",-0.53,-1.94,-1.77," 11 001100001 001"
"113","carpenter",1,0.37,0.36," 11 010000000 000"
"114","cashier",0.05,-0.27,-0.29," 11 010000000 000"
"115","catholic",-0.16,-0.28,-0.49," 11 000000100 000"
"116","celebrity",0.78,1.5,1.16," 11 110000000 000"
"117","ceo",1.23,2.52,0.67," 11 010000000 000"
"118","chairman_of_the_board",0.35,1.69,0.29," 10 010000000 000"
"119","champion",2.23,2.13,1.97," 11 100010000 001"
"120","chancellor",1.64,2.42,1.23," 11 000110000 000"
"121","chaperone",2.69,0.18,2.05," 11 100000010 000"
"122","chatterbox",-1.96,-0.9,1.05," 11 100000000 000"
"123","chauffeur",0.33,-0.01,-0.08," 11 010100000 000"
"124","cheat",-2.75,-0.86,1.69," 11 110000000 000"
"125","chef",0.87,0.73,0.3," 11 010000000 000"
"126","chemist",0.91,0.86,-0.63," 11 010010000 000"
"127","child",2.06,-1.3,2.52," 11 100000010 000"
"128","child_molester",0.35,-0.01,2.57," 11 001000011 001"
"129","christian",0.65,-0.6,-1.3," 11 000000100 010"
"130","civil_servant",0.29,0.09,-0.7," 11 001100000 000"
"131","classmate",1.33,0.16,1.3," 11 000010000 000"
"132","clergy",1.1,-0.01,-1.21," 11 000000100 000"
"133","clerk",0.32,0.16,0.53," 11 011000000 000"
"134","client",0.79,0.23,0.07," 11 011000000 000"
"135","clown",0.9,-1.14,1.83," 11 100000000 000"
"136","co_worker",1.22,0.89,1.03," 11 010000000 000"
"137","coach",0.87,1.62,0.87," 11 010010000 001"
"138","coal_miner",1.05,0.9,0.44," 10 010000000 000"
"139","coed",1.1,-0.17,1.75," 01 000010000 000"
"140","colleague",0.93,0.44,0.21," 11 011111000 000"
"141","college_student",1.73,0.65,2.26," 11 000010000 000"
"142","comedian",1.95,0.62,2.01," 11 110000000 000"
"143","commentator",0.72,0.47,1.55," 11 010100000 000"
"144","companion",2.76,0.56,1.94," 11 100000000 000"
"145","computer_programmer",0.84,0.3,0.04," 11 010010000 000"
"146","computer_programmer",0.91,0.3,0.22," 11 010010000 000"
"147","computer_whiz",1.27,1.28,0.45," 11 110010000 000"
"148","comrade",0.95,0.38,0.48," 11 100100000 000"
"149","confidant",2.56,1.29,1.6," 11 100000000 000"
"150","conformist",-1.66,-1.8,-1.13," 11 100000000 000"
"151","confucian",0.7,0.17,-0.43," 11 000000100 000"
"152","connoisseur",1.22,0.9,-0.19," 11 100000000 000"
"153","construction_foreman",0.36,1.24,0.78," 11 010000000 000"
"154","construction_laborer",0.73,0.68,0.47," 11 010000000 000"
"155","consul_general",0.35,1.52,-0.1," 10 000100000 000"
"156","consumer",0.73,-0.02,0.64," 11 010000000 000"
"157","convict",-1.94,-1.2,-1.9," 11 001000000 001"
"158","cook",0.86,0.42,0.5," 11 110000000 000"
"159","cop",0.94,1.81,0.35," 11 001000000 001"
"160","copycat",-1.36,-1.67,-1.51," 11 100000000 000"
"161","coroner",-0.39,0.1,-1.7," 11 001001000 000"
"162","counselor",1.02,0.77,0.38," 11 111111100 000"
"163","cousin_(maternal)",1.67,-0.04,1.63," 11 000000010 000"
"164","cousin_(paternal)",1.59,0.23,1.44," 11 000000010 000"
"165","cpa",0.77,0.76,0.62," 11 010000000 000"
"166","craftsman",0.92,0.63,0.5," 11 010000000 000"
"167","creditor",-0.24,0.7,0.2," 11 010000000 000"
"168","criminal",-2.27,0.73,-0.56," 11 001000000 000"
"169","cripple",-0.29,-1.33,-1.07," 11 100001000 000"
"170","critic",-0.26,0.52,1.08," 11 101111100 000"
"171","crybaby",-0.13,-1.54,-0.5," 11 100000000 000"
"172","customer",0.57,-0.04,0.24," 11 010000000 000"
"173","customs_officer",0.74,1.53,0.05," 11 011000000 000"
"174","cynic",0.2,-0.16,-0.65," 11 100110000 000"
"175","date",2.95,0.13,2.1," 11 100000001 000"
"176","daughter",2.66,-1.04,2.04," 01 000000010 000"
"177","daughter_in_law",1.35,-0.46,1.39," 01 000000010 000"
"178","deadbeat",-2.51,-0.9,-0.52," 11 010000000 000"
"179","deaf_person",-0.28,-1.19,-1.59," 11 000001000 000"
"180","debtor",-0.66,-0.35,-0.69," 11 010000000 000"
"181","decoy",-2.48,-0.01,1.2," 11 001100000 000"
"182","defendant",-0.94,-0.62,-0.53," 11 001000000 000"
"183","delinquent",-2.31,-0.64,-0.21," 11 001000000 000"
"184","dental_hygienist",-0.09,0.57,-0.55," 01 000001000 001"
"185","dentist",0.82,0.34,-0.26," 11 000001000 001"
"186","designer",1.37,1.17,0.54," 11 010000000 000"
"187","detective",1.54,1.6,0.33," 11 001000000 001"
"188","devil",-2.23,2.19,-0.09," 11 100000100 000"
"189","dietitian",1.1,0.51,0.25," 11 010001000 000"
"190","dignitary",0.35,1.88,0.53," 11 000110100 000"
"191","dimwit",-0.48,-1.37,-0.82," 11 100000000 000"
"192","diplomat",1.14,1.94,1.77," 11 000100000 000"
"193","disabled_person",0.16,-1.23,-1.27," 11 000001000 000"
"194","disciplinarian",0.64,0.9,-0.15," 11 000010110 001"
"195","discoverer",1.85,1.71,1.57," 11 100010000 000"
"196","disease_carrier",-1.82,-0.8,-1.01," 11 100001000 000"
"197","divorcee_(gender_neutral)",-0.72,-0.57,-1," 01 000000010 000"
"198","doctor_(ph.d.)",1.52,1.07,-0.17," 11 000010000 000"
"199","dropout",-1.03,-0.72,-0.62," 11 000010000 000"
"200","drudge",0.68,-0.62,-1.26," 11 110010000 000"
"201","drug_addict",-2.74,-1.91,-2.14," 11 001001000 000"
"202","drunkard",-1.59,-0.62,-0.11," 11 100000000 000"
"203","dullard",-1.11,-1.66,-1.67," 11 000010000 000"
"204","dwarf",-0.06,-1.81,-0.48," 11 100001000 000"
"205","educator",1.9,1.34,1.73," 11 000010000 000"
"206","electrical_engineer",1.2,0.52,0.04," 11 010000000 000"
"207","electrician",0.93,0.38,0.46," 11 010000000 000"
"208","elementary_school_student",1.56,-1.1,2.58," 11 000010000 000"
"209","elementary_school_teacher",2.09,1.04,1.71," 11 000010000 000"
"210","emigrant",0.51,-0.32,0.71," 11 000100000 000"
"211","employee",0.94,-0.66,0.86," 11 010000000 000"
"212","employer",-0.08,0.99,-0.25," 11 010000000 000"
"213","enemy",-2.67,0.5,-0.18," 11 100100000 001"
"214","engineer",1.42,1,0.67," 11 010000000 000"
"215","entrepreneur",1.06,1.98,1.93," 11 010000000 000"
"216","environmentalist",1.81,0.05,0.63," 11 110100000 000"
"217","executioner",-1.39,0.89,-1.44," 11 001100000 001"
"218","executive",0.47,1.03,-0.03," 11 010000000 000"
"219","executive_vice_president",0.57,1.13,0.87," 11 010000000 000"
"220","expectant_mother",1.51,-0.81,-0.32," 01 000001010 000"
"221","expert",1.81,1.6,0.06," 11 111111100 000"
"222","extrovert",1.58,1.08,2.79," 11 100000000 000"
"223","eyewitness",1.03,0.94,0," 11 001000000 000"
"224","fanatic",-0.34,0.91,2.39," 11 100100000 000"
"225","farm_laborer",1.53,1.35,1.27," 11 010000000 000"
"226","farmer",1.83,0.74,0.35," 11 010000000 000"
"227","father",2.5,2.63,0.54," 10 000000010 001"
"228","father_in_law",1.33,1.27,-0.1," 10 000000010 000"
"229","father_in_law_(maternal)",1.08,1.22,-0.35," 10 000000010 000"
"230","father_in_law_(paternal)",0.98,0.67,-0.95," 10 000000010 000"
"231","female",1.51,-0.76,1.07," 01 100000001 000"
"232","feminist",0.7,0.2,1.5," 11 000100000 000"
"233","firefighter",2.1,2.25,1.79," 10 101000000 001"
"234","firstborn_(female)",1.87,0.72,0.99," 01 000000010 000"
"235","firstborn_(male)",1.8,1.91,0.5," 10 000000010 000"
"236","fisherman",1.31,1.04,0.76," 11 110000000 000"
"237","flatterer",-2.71,-1.53,0.36," 11 100000000 000"
"238","flight_attendant",1.69,0.37,1.71," 11 010000000 000"
"239","follower",0.27,-0.66,0.8," 11 100100100 000"
"240","foreign_minister",1.56,2.17,1.48," 11 000100000 000"
"241","foreigner",0.78,0.87,1.53," 11 000100000 000"
"242","fortune_teller",-1.24,-1.04,-0.19," 11 010000100 000"
"243","gambler",-2.47,-1.1,-1.07," 11 110000000 000"
"244","gangster",-2.81,0.58,-0.25," 10 011000000 000"
"245","garbage_collector",0.09,-1.23,-1.16," 11 010000000 000"
"246","gate_keeper",-0.49,0.14,-0.76," 11 000100000 000"
"247","gay",-1.83,-1.28,-1.02," 11 000000001 000"
"248","general",1.92,2.61,0.5," 11 000100000 000"
"249","general_manager",0.79,1.8,0.69," 11 010000000 000"
"250","genius",1.62,1.21,1.11," 11 101111000 000"
"251","gentleman",0.83,0.79,-0.7," 10 100000000 000"
"252","girl",2.4,-1.12,2.38," 01 100000001 000"
"253","girlfriend",3.16,0,1.78," 01 000000001 001"
"254","god",0.56,1.12,-0.83," 11 000000100 000"
"255","golfer",0.88,0.49,0.82," 11 100000000 000"
"256","gourmet",1.26,0.3,2.01," 11 100000000 000"
"257","graduate_student",1.35,1.06,0.7," 11 000010000 000"
"258","granddaughter_(maternal)",2.19,-1.44,2.5," 01 000000010 000"
"259","granddaughter_(paternal)",2.53,-1.05,2.34," 01 000000010 000"
"260","grandfather_(maternal)",1.66,1.17,-0.77," 10 000000010 000"
"261","grandfather_(paternal)",2.18,1.46,-0.58," 10 000000010 000"
"262","grandmother_(maternal)",2.14,-0.25,-0.81," 01 000000010 000"
"263","grandmother_(paternal)",2.16,0.08,-0.39," 01 000000010 000"
"264","grandson_(maternal)",2.44,-1.15,2.49," 10 000000010 000"
"265","grandson_(paternal)",2.22,-1.1,2.61," 10 000000010 000"
"266","greenhorn",-1.03,-1.31,-0.78," 11 100000000 000"
"267","grind",-0.45,-1.21,-1.26," 11 000010000 000"
"268","guarantor",0.93,1.22,-0.12," 11 011000000 000"
"269","guest",1.17,0.47,0.82," 11 100000010 000"
"270","gunman",-3.39,0.99,-0.85," 10 001000000 001"
"271","gynecologist",1.36,0.71,0.24," 11 000001001 101"
"272","hag",-2.54,-0.99,-1.99," 01 100000000 000"
"273","hero",2.84,2.92,1.86," 10 100000000 000"
"274","heroine",2.39,2.02,2.47," 01 100000000 000"
"275","heterosexual",1.52,0.74,1.43," 11 000000001 000"
"276","hick",0.43,-0.22,0," 11 100000000 000"
"277","high_school_principal",0.51,0.8,-0.22," 11 000010000 000"
"278","high_school_student",1.78,0.66,2.01," 11 000010000 000"
"279","high_school_teacher",1.49,0.89,0.9," 11 000010000 000"
"280","hijacker",-3.14,1,-0.54," 11 011100000 001"
"281","homeless_person",-0.03,-1.67,-1.56," 11 100000000 000"
"282","hostage",0.22,-2.65,-1.92," 11 001100000 001"
"283","hourly_wage_earner",0.71,-0.17,0.17," 11 010000000 000"
"284","housebreaker",-3.16,0.87,-0.17," 11 001000000 000"
"285","housewife",1.14,0.54,0.55," 01 000000010 000"
"286","humanitarian",2.37,0.64,1.34," 11 100000000 000"
"287","hunger_striker",0.25,-0.83,-0.14," 11 000100000 001"
"288","husband",2.1,2.47,1.6," 10 000000011 001"
"289","hypochondriac",-1.15,-1.9,-2.64," 11 000001000 000"
"290","idiot",-1.56,-2.26,-1.9," 11 100000000 000"
"291","ignoramus",-1.33,-1.92,-0.49," 11 100010000 000"
"292","illiterate",-1.15,-1.71,-0.64," 11 100010000 000"
"293","immigration_officer",-0.84,1.14,-1.25," 11 001000000 000"
"294","in_law",1.72,1.07,1.08," 11 000000010 000"
"295","infant",2.63,-2.54,1.86," 11 000001010 001"
"296","information_researcher",-0.23,1.43,0.54," 11 010010000 000"
"297","ingrate",-3.25,-1.14,-1.16," 11 100000000 000"
"298","insurance_agent",-0.04,0.18,0.62," 11 010000000 000"
"299","intellectual",1.8,0.76,0.74," 11 100010000 000"
"300","internist",0.84,1,-0.65," 11 000001000 000"
"301","interpreter",0.93,0.07,0.74," 11 100100000 000"
"302","interrogator",0.76,-0.35,0.74," 11 001000000 000"
"303","interviewee",0.84,0.27,0.58," 11 110000000 000"
"304","introvert",-0.39,-0.53,-1.83," 11 100000000 000"
"305","invader",-3.73,0.69,-0.47," 11 000100000 001"
"306","jailer",-0.52,0.59,-1.07," 11 001000000 001"
"307","janitor",-0.45,-0.37,-1.33," 11 010000000 000"
"308","japanese",-1.95,-1.11,-0.88," 11 000100000 000"
"309","jeweler",-0.32,0.47,-0.02," 11 010000000 000"
"310","job_seeker",1.1,-1.02,0.52," 11 010000000 000"
"311","journalist",0.56,0.96,2.19," 11 010100000 000"
"312","judge",0.4,1.89,-0.93," 11 001000000 000"
"313","junior_high_school_student",1.39,-0.66,1.9," 11 000010000 000"
