"","term","E","P","A","instcodes"
"104","bus_driver",0.465,0.37,-0.07," 11 010000000 000"
"105","busboy",0.835,0.365,0.36," 10 010000000 000"
"106","busybody",-1.17,-0.08,1.455," 11 100000000 000"
"107","butcher",-0.72,1.55,0.235," 11 010000000 000"
"108","bystander",-0.78,-0.885,-0.88," 11 100000000 000"
"109","cadre",0.65,1.595,0.18," 11 000100000 000"
"110","call_girl",-1.365,-1.87,0.695," 01 000000001 001"
"111","capitalist",-0.56,1.515,0.18," 11 010000000 000"
"112","captive",-0.58,-1.76,-1.855," 11 001100001 001"
"113","carpenter",0.87,0.535,0.58," 11 010000000 000"
"114","cashier",0.265,0.025,-0.25," 11 010000000 000"
"115","catholic",0.07,-0.27,-0.67," 11 000000100 000"
"116","celebrity",0.995,1.5,1.15," 11 110000000 000"
"117","ceo",1.225,2.5,0.7," 11 010000000 000"
"118","chairman_of_the_board",0.73,1.965,0.24," 10 010000000 000"
"119","champion",2.35,2.31,2.255," 11 100010000 001"
"120","chancellor",1.94,2.645,1.005," 11 000110000 000"
"121","chaperone",2.28,0.305,2.135," 11 100000010 000"
"122","chatterbox",-2.275,-0.645,1.135," 11 100000000 000"
"123","chauffeur",0.525,0.265,-0.025," 11 010100000 000"
"124","cheat",-2.845,-0.625,1.215," 11 110000000 000"
"125","chef",1.19,1.03,0.87," 11 010000000 000"
"126","chemist",0.91,1.105,-0.355," 11 010010000 000"
"127","child",2.115,-1.095,2.59," 11 100000010 000"
"128","child_molester",0.305,0.22,2.655," 11 001000011 001"
"129","christian",0.76,-0.23,-0.735," 11 000000100 010"
"130","civil_servant",0.47,0.495,-0.375," 11 001100000 000"
"131","classmate",1.37,0.3,1.245," 11 000010000 000"
"132","clergy",1.185,0.265,-1.05," 11 000000100 000"
"133","clerk",0.585,0.22,0.645," 11 011000000 000"
"134","client",0.77,0.415,0.215," 11 011000000 000"
"135","clown",1.03,-0.885,1.975," 11 100000000 000"
"136","co_worker",1.35,1.05,1.28," 11 010000000 000"
"137","coach",1.19,1.82,1.02," 11 010010000 001"
"138","coal_miner",0.98,1.05,0.27," 10 010000000 000"
"139","coed",1.315,0.13,2.03," 01 000010000 000"
"140","colleague",0.84,0.55,0.48," 11 011111000 000"
"141","college_student",1.94,0.82,2.375," 11 000010000 000"
"142","comedian",2.065,0.625,2.175," 11 110000000 000"
"143","commentator",0.56,0.685,1.31," 11 010100000 000"
"144","companion",2.53,1.2,1.775," 11 100000000 000"
"145","computer_programmer",1.08,0.865,0.29," 11 010010000 000"
"146","computer_programmer",1.065,0.73,0.405," 11 010010000 000"
"147","computer_whiz",1.555,1.695,0.46," 11 110010000 000"
"148","comrade",1.095,0.69,0.695," 11 100100000 000"
"149","confidant",2.555,1.595,2.055," 11 100000000 000"
"150","conformist",-1.2,-1.45,-0.78," 11 100000000 000"
"151","confucian",0.655,0.125,-0.95," 11 000000100 000"
"152","connoisseur",1.275,0.915,-0.08," 11 100000000 000"
"153","construction_foreman",0.46,1.335,0.845," 11 010000000 000"
"154","construction_laborer",0.675,0.795,0.81," 11 010000000 000"
"155","consul_general",0.765,1.81,0.385," 10 000100000 000"
"156","consumer",0.885,0.21,0.94," 11 010000000 000"
"157","convict",-1.955,-0.82,-1.735," 11 001000000 001"
"158","cook",1.07,0.605,0.795," 11 110000000 000"
"159","cop",0.94,1.84,0.6," 11 001000000 001"
"160","copycat",-1.315,-1.87,-1.625," 11 100000000 000"
"161","coroner",-0.195,0.545,-1.63," 11 001001000 000"
"162","counselor",1.15,0.99,0.31," 11 111111100 000"
"163","cousin_(maternal)",1.715,0.13,1.78," 11 000000010 000"
"164","cousin_(paternal)",1.55,0.405,1.545," 11 000000010 000"
"165","cpa",0.935,0.97,0.47," 11 010000000 000"
"166","craftsman",0.775,0.715,0.41," 11 010000000 000"
"167","creditor",0.025,0.885,0.115," 11 010000000 000"
"168","criminal",-2.37,0.73,-0.5," 11 001000000 000"
"169","cripple",-0.145,-1.36,-1.03," 11 100001000 000"
"170","critic",-0.095,0.745,0.935," 11 101111100 000"
"171","crybaby",-0.4,-1.315,-0.585," 11 100000000 000"
"172","customer",0.57,0.18,0.5," 11 010000000 000"
"173","customs_officer",0.715,1.585,-0.045," 11 011000000 000"
"174","cynic",0.135,-0.22,-0.44," 11 100110000 000"
"175","date",2.395,0.665,1.83," 11 100000001 000"
"176","daughter",2.47,-0.585,2.055," 01 000000010 000"
"177","daughter_in_law",0.93,-0.215,1.24," 01 000000010 000"
"178","deadbeat",-2.675,-0.535,-0.29," 11 010000000 000"
"179","deaf_person",0,-1.175,-1.65," 11 000001000 000"
"180","debtor",-0.52,-0.295,-0.555," 11 010000000 000"
"181","decoy",-2.8,0.22,1.05," 11 001100000 000"
"182","defendant",-0.64,-0.61,-0.625," 11 001000000 000"
"183","delinquent",-2.445,-0.445,-0.185," 11 001000000 000"
"184","dental_hygienist",0.31,0.95,-0.36," 01 000001000 001"
"185","dentist",0.84,0.735,-0.07," 11 000001000 001"
"186","designer",1.535,1.44,1.105," 11 010000000 000"
"187","detective",1.37,1.825,0.95," 11 001000000 001"
"188","devil",-2.38,2.1,-0.2," 11 100000100 000"
"189","dietitian",1.305,0.72,0.605," 11 010001000 000"
"190","dignitary",0.59,2.02,0.72," 11 000110100 000"
"191","dimwit",-0.46,-1.4,-0.92," 11 100000000 000"
"192","diplomat",1.645,2.235,1.965," 11 000100000 000"
"193","disabled_person",0.39,-1.42,-1.365," 11 000001000 000"
"194","disciplinarian",0.91,0.95,-0.19," 11 000010110 001"
"195","discoverer",1.63,1.575,1.62," 11 100010000 000"
"196","disease_carrier",-1.86,-0.53,-1.245," 11 100001000 000"
"197","divorcee_(gender_neutral)",-0.675,-0.355,-0.625," 01 000000010 000"
"198","doctor_(ph.d.)",1.685,1.3,-0.25," 11 000010000 000"
"199","dropout",-0.885,-0.855,-0.58," 11 000010000 000"
"200","drudge",0.64,-0.32,-0.905," 11 110010000 000"
"201","drug_addict",-2.815,-1.985,-2.18," 11 001001000 000"
"202","drunkard",-1.97,-0.41,-0.39," 11 100000000 000"
"203","dullard",-1.195,-1.51,-1.415," 11 000010000 000"
"204","dwarf",-0.4,-1.58,-0.915," 11 100001000 000"
"205","educator",1.525,1.25,0.885," 11 000010000 000"
"206","electrical_engineer",1.23,0.99,0.265," 11 010000000 000"
"207","electrician",1.145,0.56,0.54," 11 010000000 000"
"208","elementary_school_student",1.62,-1.105,2.56," 11 000010000 000"
"209","elementary_school_teacher",1.645,0.825,1.36," 11 000010000 000"
"210","emigrant",0.53,-0.305,0.49," 11 000100000 000"
"211","employee",0.815,-0.51,0.87," 11 010000000 000"
"212","employer",-0.185,1.155,-0.175," 11 010000000 000"
"213","enemy",-2.685,0.545,-0.185," 11 100100000 001"
"214","engineer",1.52,1.175,0.695," 11 010000000 000"
"215","entrepreneur",1.005,1.865,1.63," 11 010000000 000"
"216","environmentalist",2.15,0.555,0.9," 11 110100000 000"
"217","executioner",-1.245,0.55,-1.345," 11 001100000 001"
"218","executive",0.64,1.26,-0.165," 11 010000000 000"
"219","executive_vice_president",0.43,0.93,0.52," 11 010000000 000"
"220","expectant_mother",1.74,-0.345,0.12," 01 000001010 000"
"221","expert",1.645,1.55,-0.01," 11 111111100 000"
"222","extrovert",1.715,1.42,2.83," 11 100000000 000"
"223","eyewitness",0.95,0.935,-0.01," 11 001000000 000"
"224","fanatic",-0.31,0.91,2.5," 11 100100000 000"
"225","farm_laborer",1.355,0.905,1.08," 11 010000000 000"
"226","farmer",1.4,0.48,0.465," 11 010000000 000"
"227","father",2.48,2.51,0.665," 10 000000010 001"
"228","father_in_law",1.315,1.07,0.15," 10 000000010 000"
"229","father_in_law_(maternal)",1.13,1.205,-0.17," 10 000000010 000"
"230","father_in_law_(paternal)",1.11,0.83,-0.83," 10 000000010 000"
"231","female",1.775,-0.17,1.5," 01 100000001 000"
"232","feminist",0.785,0.655,1.59," 11 000100000 000"
"233","firefighter",1.915,1.995,1.705," 10 101000000 001"
"234","firstborn_(female)",1.715,0.845,0.8," 01 000000010 000"
