"","term","E","P","A"
"1","chatroom",0.48,0.23,1.4
"2","cyberspace",2.24,2.48,2.14
"3","information_superhighway",2.23,2.42,2.1
"4","internet",2.92,3.1,2.58
"5","irc",1.27,1.13,1.54
"6","mud",1.08,0.8,1.01
"7","newsgroup",1.15,0.99,1
"8","real_world",1.59,2.05,2.1
"9","world_wide_web",2.87,2.94,2.32
