"","term","E","P","A"
"153","giggle_at",-1.09,-0.75,0.44
"154","giggle_with",0.4,0,0.66
"155","give_instructions_to",1.04,1.16,-0.11
"156","give_medical_treatment_to",1.75,1.47,-1.29
"157","give_raise_to",1.64,0.97,-0.28
"158","glance_at",0.26,-0.16,0.45
"159","glare_at",-1.3,-0.47,1.06
"160","glorify",0.56,0.45,-0.35
"161","gossip_with",-1.22,-1,0.82
"162","grade",0.33,0.78,-0.45
"163","greet",2.44,1.46,-0.91
"164","grin_at",1.86,1.49,-1.21
"165","groom",1.67,0.5,-0.45
"166","guide",2.13,1.37,-1.2
"167","gyp",-2.21,-1.31,1.4
"168","halt",-0.07,0.53,0.12
"169","hand_something_to",1.1,0.69,-0.63
"170","handcuff",-1.5,-0.12,0.79
"171","harm",-2.52,-0.55,1.48
"172","have_sex_with",-0.56,-0.32,1.12
"173","heal",2.54,1.78,-0.71
"174","heckle",-1.65,-0.43,1.11
"175","hire",0.77,0.45,-0.55
"176","hold",0.52,0.33,0.23
"177","horse_around_with",-0.47,-0.34,1.01
"178","hug",1.8,0.85,-0.45
"179","hurry",-0.49,0.05,1.23
"180","hurt",-2.68,-1.44,1.76
"181","ignore",-1.66,-0.99,0.03
"182","imitate",-0.55,-0.83,0.43
"183","incarcerate",-2.08,-0.12,1.46
"184","incriminate",-1.63,-1.16,0.98
"185","indoctrinate",0.4,0.53,-0.08
"186","inform",0.84,0.24,-0.13
"187","inject_with_medicine",0.5,0.78,-0.11
"188","injure",-2.42,-1.26,1.2
"189","inspect",-0.33,-0.34,0.08
"190","insult",-2.91,-1.85,2
"191","interrogate",0.63,0.98,-0.14
"192","interrupt",-2.09,-1.09,1.62
"193","interview",1.99,1.2,-0.7
"194","jail",-1.77,-0.02,1.5
"195","jeer",-2.59,-1.04,1.6
"196","joggle",1.37,0.58,-0.96
"197","join_up_with",1.38,0.72,-0.89
"198","joke_with",1.2,0.77,0.43
"199","josh",1.75,1.03,-0.35
"200","kick",-2.3,-0.47,1.55
"201","kill",-2.25,-0.51,2.23
"202","kiss",1.25,1.05,-0.63
"203","knife",-2.47,-0.65,1.81
"204","knock_out",-2.34,0.01,2.08
"205","laud",0.31,-0.26,0.02
"206","laugh_at",-1.61,-0.76,1.02
"207","laugh_with",1.78,0.97,-0.15
"208","lay_off_from_a_job",-1.22,-0.27,0.92
"209","lead",1.12,0.76,-0.53
"210","leave",-1.04,-0.65,0.61
"211","lecture",1.4,0.94,-0.37
"212","leer_at",-1.09,-0.92,0.57
"213","lend_money_to",1.4,1.13,-0.54
"214","lie_to",-2.27,-1.89,1.24
"215","listen_to",1.89,0.93,-0.99
"216","look_at",0.52,0.55,-0.36
"217","look_away_from",-0.61,-0.52,0.22
"218","lunch_with",2.1,1.48,-0.83
"219","lust_for",-0.24,-0.45,0.46
"220","make_business_proposal_to",1.86,1.49,-0.66
"221","make_fun_of",-2.13,-1.97,1.41
"222","make_love_to",-0.18,0.28,0.94
"223","make_up_with",2.56,1.54,-1.4
"224","malign",-2.45,-2.25,0.87
"225","marry",1.85,1.22,-0.91
"226","massage",1.14,0.99,-1.07
"227","medicate",1.99,0.82,-0.92
"228","mimic",-0.8,-0.97,0.58
"229","molest",-2.16,-0.81,1.19
"230","monitor",-1.4,-0.92,0.37
"231","mother",2.77,1.83,-1.22
"232","mouth_off_to",-0.62,-0.14,1.08
"233","mug",-2.3,-0.64,1.21
"234","mumble_to",-0.87,-0.63,-0.3
"235","murder",-3.28,-1.25,1.41
"236","nag",-2.07,-1.35,1.4
"237","neglect",-2.16,-2.01,0.7
"238","negotiate_with",1.03,1.16,-0.36
"239","nestle",1.98,1.07,-1.05
"240","nudge",-0.84,-0.42,0.35
"241","obey",1.17,-0.02,-1.23
"242","observe",0.73,0.06,-0.05
"243","obstruct",-2.24,-0.69,1.63
"244","oppose",0.01,0.62,0.94
"245","order",-0.79,0.19,1.16
"246","overcharge",-1.59,-0.45,0.72
"247","overpower",0.59,0.97,0.43
"248","overwork",-1.54,-0.87,0.78
"249","pamper",0.94,0.24,-0.47
"250","pay_for",0.84,0.64,-0.43
"251","pay_for_something",0.89,0.68,-0.03
"252","peek_at",-1.67,-1.17,-0.36
"253","peep_at",-1.96,-1.51,0.52
"254","pester",-2.28,-1.61,1.73
"255","photograph",1.55,1.24,-0.56
"256","pinch",-1.19,-0.23,0.75
"257","place_order_with",0.85,0.99,0.14
"258","play_with",1.77,0.97,0
"259","point_at",-0.54,-0.72,0.55
"260","praise",0.2,0.13,-0.49
"261","promise_something",0.15,0.31,0.34
"262","prompt",0.64,0.38,0.12
"263","propose_marriage_to",2.4,2.01,-0.02
"264","prosecute",0.14,0.35,0.09
"265","protect",2.42,1.92,-0.32
"266","pull_away_from",-0.49,-0.42,-0.17
"267","punch",-1.19,0.38,1.8
"268","pursue",-0.97,-0.35,0.87
"269","push",-0.62,0.45,0.9
"270","put_to_bed",1.2,1.25,-0.57
"271","query",1.19,0.57,-0.89
"272","quiz",1.07,1.23,-0.72
"273","raise_the_pay_of",1.77,1.54,-0.58
"274","rant_at",-1.54,-1.26,1.18
"275","rape",-2.85,-1.75,1.73
"276","ravish",-2.1,-1.85,1.47
"277","reason_with",1.33,1.19,-0.74
"278","reassure",2.29,1.5,-1.72
"279","rebuff",-1.35,-0.34,0.64
"280","reform",1.7,1.37,-1.03
"281","rehabilitate",1.88,1.71,-0.4
"282","remind",1.36,0.84,-0.49
"283","reply_to",1.12,1.08,-0.15
"284","reprimand",-1.62,0.02,1.29
"285","request_something_from",0.58,0.7,-0.64
"286","rescue",2.16,2.19,-0.54
"287","restrain",-0.7,0.16,0.26
"288","retaliate_against",-0.91,-0.67,0.91
"289","reward",2.21,1.7,-0.77
"290","rib",-1.65,-0.82,1.3
"291","ridicule",-2.62,-1.57,1.39
"292","rob",-2.26,-0.31,1.44
"293","rouse",0.72,0.28,0.35
"294","salute",2.03,1.01,-1.19
"295","save",1.93,1.73,0.78
"296","say_farewell_to",-0.27,0.34,-0.3
"297","scowl_at",-2.4,-0.81,1.27
"298","scratch",-1.85,-0.61,1.45
"299","scream_at",-2.07,-1.08,1.52
"300","search",-1.6,-0.36,0.71
"301","seduce",-0.65,0.29,0.26
"302","seize",-0.4,0.33,0.91
"303","sell_something_to",0.81,0.45,0.38
"304","sentence",-1.1,-0.33,1.09
"305","serenade",1.62,0.73,-0.86
"306","serve",2.05,1.62,-0.48
"307","sexually_arouse",-1.18,-1.15,0.79
"308","sexually_proposition",-1.39,-1.2,1.16
"309","shake_hands_with",1.72,1.25,-0.88
"310","share_something_with",0.98,0.7,-0.33
"311","shoot",-2.34,-0.32,1.49
"312","shout_at",-1.74,-0.55,1.43
"313","show_something_to",1.46,0.56,-0.66
"314","silence",-0.57,0.07,1.01
"315","sing_to",1.8,0.63,-0.81
"316","sit_next_to",1.07,0.53,-1.21
"317","slap",-1.86,-0.58,2.36
"318","slug",-1.97,0.31,2.23
"319","smile_at",2.76,1.9,-0.93
"320","smirk_at",1.51,0.68,-0.63
"321","snarl_at",-1.04,0.03,1.24
"322","snuggle",0.42,0.2,-1.42
"323","sock",-2.4,-0.67,2.12
"324","soothe",1.5,1.13,-1.23
"325","sound_out",1.64,0.95,-1.02
"326","spank",-1.39,-0.85,1.47
"327","squeeze",-1.12,-0.45,1.09
"328","stab",-2.58,-1.44,1.72
"329","stammer_at",-1.83,-1.56,0.09
"330","stare_at",-1.2,-0.45,0.42
"331","stare_down",-0.58,-0.61,0.17
"332","steal_from",-2.33,-1.48,1.16
"333","stop",-0.36,0.38,0.12
"334","strangle",-2.65,-0.53,1.19
"335","strip",-1.57,-0.65,1.19
"336","stroke",1.17,0.25,-0.88
"337","subdue",-2.11,-1.24,1.26
"338","submit_to",-1.24,-1.72,-0.51
"339","suck_up_to",-2.27,-1.36,0.05
"340","sue",0.4,0.9,0.34
"341","suggest_something_to",1.78,1.18,-0.41
"342","surprise",1.36,0.96,0.27
"343","sympathize_with",1.93,1.39,-1.23
"344","tackle",-0.39,0.59,1.54
"345","talk_shop_with",1.46,0.72,-0.61
"346","talk_to",1.65,0.98,-0.69
"347","thank",2.37,1.55,-0.8
"348","threaten",-2.08,-0.53,1.63
"349","tickle",0.65,0.28,0.96
"350","toady_to",-1.45,-1.02,0.38
"351","torment",-2.33,-0.87,1.78
"352","torture",-2.55,-1.05,2.16
"353","touch",-0.76,-0.44,0.26
"354","train",1.57,1.67,-0.32
"355","transact_business_with",1.22,0.87,-0.61
"356","treat",2.03,1.06,-0.74
"357","tug",-0.96,0.28,1.19
"358","turn_to",1.71,0.37,-1.08
"359","underpay",-1.82,-1.36,1.05
"360","undress",-2.02,-0.93,1.31
"361","warn",1.51,1.12,-0.18
"362","wash",1.9,1.19,-0.51
"363","watch",0.3,-0.06,-0.32
"364","welcome",2.42,1.49,-0.7
"365","whip",-2.08,-0.38,1.88
"366","whisper_to",-0.38,-0.89,-0.72
"367","wink_at",0.29,0.3,-0.02
"368","work",-1.09,-0.41,0.43
"369","wrestle_with",-1.68,0.02,1.61
"370","yield_to",-0.77,-0.61,0.28
