"","term","E","P","A","instcodes"
"106","confine",-0.72,0.48,-0.57," 10 001101010 001"
"107","confront",0.44,1.44,1.06," 10 111111111 100"
"108","congratulate",2.48,1.73,0.9," 10 111111111 100"
"109","console",2.14,1.54,0.32," 10 111111111 100"
"110","conspire_with",-0.59,0.61,0," 11 010100011 010"
"111","consult_with",1.64,1.15,0.25," 10 111111111 000"
"112","contemplate",0.89,0.89,-0.64," 01 100111000 100"
"113","contradict",0.39,0.54,0.85," 10 111111111 110"
"114","converse_with",1.76,1.34,0.8," 10 111111111 100"
"115","convict",0.05,1.36,0.34," 10 001000000 010"
"116","correct",0.7,1.02,0.28," 10 111111111 100"
"117","counsel",2,1.57,-0.12," 10 011111111 000"
"118","criticize",-0.84,0.54,-0.09," 10 111111111 100"
"119","cross_examine",-0.11,1.25,0.43," 10 001000000 010"
"120","cuddle",2.63,1.73,-0.21," 10 000000011 001"
"121","cue",0.43,0.61,0.5," 10 111111111 010"
"122","curry_favor_from",-0.23,-0.48,-0.35," 11 111111111 000"
"123","curse",-1.46,0.21,0.84," 10 111111111 100"
"124","cuss",-1.92,-0.14,1.28," 10 111111111 100"
"125","cut_the_pay_of",-1.77,0.48,-0.28," 10 010000000 000"
"126","damn",-1.87,0.48,0.82," 10 100000100 000"
"127","dance_with",2.19,1.54,1.76," 10 100000001 011"
"128","dare",-0.53,0.58,0.81," 10 100100001 100"
"129","debate_with",0.72,0.83,1.73," 10 111111110 000"
"130","debrief",0.93,1.11,0.28," 10 111101010 000"
"131","defeat",1.64,2.14,1.41," 10 000100000 010"
"132","defend",1.83,2.3,1.21," 10 111111111 110"
"133","defer_to",-0.69,0.12,-0.9," 10 111111111 000"
"134","defy",-0.75,1.12,0.64," 10 011111110 000"
"135","degrade",-2.35,-0.28,-0.23," 11 111111111 110"
"136","demean",-1.83,-0.33,-0.06," 10 111111111 100"
"137","demote",-1.31,0.07,-0.77," 10 010000000 000"
"138","denigrate",-1.73,-0.13,-0.08," 10 111111111 100"
"139","denounce",-1.49,-0.17,0.42," 10 111111111 010"
"140","deny_something_to",-1.25,0.57,0.1," 10 001100111 100"
"141","deprecate",-1.85,-0.52,-0.56," 10 111111111 100"
"142","deride",-1.2,0.63,0.39," 10 111111111 010"
"143","desire_sexually",1.38,1.36,1.22," 11 000000001 011"
"144","dicker_with",-0.42,-0.31,0.25," 10 111111111 000"
"145","dine_with",2.57,1.29,0.75," 10 110100111 100"
"146","direct",0.44,0.69,0.66," 10 011111111 000"
"147","disagree_with",0.06,0.75,0.63," 10 111111111 000"
"148","discipline",0.66,1.76,0.83," 10 011111111 100"
"149","discourage",-1.69,-0.44,-0.56," 10 111111111 100"
"150","discuss_something_with",1.53,1.19,0.18," 10 111111111 000"
"151","disobey",-1.41,0.14,-0.14," 10 011111111 000"
"152","disparage",-1.29,-0.71,-0.17," 10 111111111 010"
"153","disrobe",0.54,1.16,0.05," 10 000001011 001"
"154","dissuade",0.22,0.77,-0.18," 01 111111111 000"
"155","distract",-1.16,-0.05,0.86," 10 111111111 010"
"156","divorce",-2.53,-0.32,-0.67," 10 000000001 010"
"157","dote_on",0.05,0.17,0.85," 10 000000010 000"
"158","draw_near_to",1.49,1.06,0.05," 10 110000111 000"
"159","dress_down",0.35,-0.05,-0.18," 10 111111111 000"
"160","dress",0.95,0.07,-0.33," 10 000001010 101"
"161","drink_to",2.15,1.48,1.78," 10 110000001 010"
"162","drink_with",1.6,0.95,1.48," 10 110100001 100"
"163","drone_on_at",-1.12,-1.09,-0.66," 10 111111111 000"
"164","eat_with",1.82,1.16,0.36," 10 100000011 000"
"165","educate",2.67,2.42,1.71," 10 011111111 100"
"166","elbow",-1.05,0.26,0.93," 10 101000011 001"
"167","embrace",2.8,1.56,0.36," 10 100000011 001"
"168","employ",1.48,1.73,0.71," 10 010000000 000"
"169","encourage",2.3,1.39,0.89," 10 111111111 100"
"170","entertain",2.29,1.85,1.8," 01 110110011 100"
"171","entreat",0.21,0.48,0.48," 10 100100011 000"
"172","escape",1.37,0.63,1.35," 10 101100001 000"
"173","exalt",0.83,1.29,1.18," 10 110110101 100"
"174","examine",0.97,1.35,0.19," 10 100001011 100"
"175","excuse",0.99,0.94,-0.11," 10 111111111 000"
"176","execute",-1.46,1.17,-0.4," 10 001000000 001"
"177","exonerate",0.76,1.54,0.26," 10 101100111 010"
"178","explain_something_to",2.01,1.73,0.55," 10 111111111 000"
"179","exploit",-2.36,0.05,-0.05," 01 110100011 000"
"180","extol",0.19,0.11,0.5," 10 111111111 010"
"181","eye",0.33,0.66,0.03," 10 100001011 000"
"182","face",1.09,1.19,0.51," 10 111010011 000"
"183","feed_something_to",1.01,0.98,0.01," 10 100001010 101"
"184","fib_to",-1.56,-0.71,-0.42," 01 111111111 000"
"185","fight",-1.6,0.55,1.99," 10 101100011 001"
"186","financially_back",2.2,2.04,0.09," 10 010100000 010"
"187","fine",0.18,1.07,0.27," 10 001000010 000"
"188","fingerprint",-0.53,0.13,-0.39," 10 001000000 001"
"189","fire_from_a_job",-1.05,1.52,0.37," 10 010000000 000"
"190","flatter",2.1,1.45,0.82," 10 111111111 000"
"191","flee",-0.61,0.28,0.28," 10 101100011 000"
"192","flirt_with",2.23,1.82,1.2," 10 000000001 000"
"193","flunk",-1.56,1.35,-0.18," 10 000010000 000"
"194","follow",0.38,-0.22,-0.7," 10 101000011 000"
"195","fondle",-0.18,0.37,0.05," 10 000000011 101"
"196","forget",-1.29,-0.32,-0.94," 01 100011011 010"
"197","forgive",2.56,2.03,0.4," 01 100000111 100"
"198","fornicate_with",1.72,1.79,1.65," 10 000000001 001"
"199","frisk",0.07,0.54,0.05," 10 001000000 001"
"200","frown_at",-1.03,-0.6,-0.82," 10 111111111 000"
"201","fuss_over",-1.36,-0.66,0.97," 10 110001111 100"
"202","gape_at",-0.66,-0.05,0.06," 10 100000011 000"
"203","gawk_at",-0.24,-0.14,0.22," 10 111111111 000"
"204","gaze_at",1.02,0.12,-0.95," 10 100000011 000"
"205","giggle_at",-0.02,0.58,0.73," 10 100000011 000"
"206","giggle_with",2.03,1.64,1.46," 10 100000011 000"
"207","give_a_raise_to",2.47,2.05,0.72," 10 010000000 000"
"208","give_instructions_to",1.22,1.01,0.41," 10 111111111 000"
"209","give_medical_treatment_to",2.81,2.85,1.45," 10 000001000 000"
"210","glance_at",1.32,0.86,0.16," 10 111111111 010"
"211","glare_at",-0.9,0.55,-0.25," 10 111111111 000"
"212","glorify",1.38,1.62,0.88," 10 000100100 010"
"213","glower_at",-0.53,0.09,0.39," 10 111111111 000"
"214","gossip_with",-0.59,-0.12,0.73," 10 111111111 000"
"215","grab",-1.26,0.25,0.67," 10 101001011 001"
"216","grade",-0.43,0.46,-0.39," 10 000010000 000"
"217","grapple_with",-0.87,0.72,1.65," 10 101001001 001"
"218","grasp",-0.07,0.91,1.34," 10 101001011 001"
"219","greet",2.18,1.56,1.16," 10 111111110 000"
"220","grin_at",2.15,1.3,0.95," 10 110000011 000"
"221","groom",0.75,0.74,-0.58," 10 000001011 101"
"222","grouse_at",-1.04,-0.67,-0.47," 10 111111111 000"
"223","guide",1.89,1.63,0.49," 10 111111111 000"
"224","gyp",-1.57,-0.37,-0.28," 01 010000000 000"
"225","haggle_with",-0.02,0.68,1.34," 10 111111111 000"
"226","hail",0.35,0.25,0.58," 10 100100010 000"
"227","halt",-0.74,0.38,0.99," 10 001000001 110"
"228","hand_something_to",0.91,0.8,0.18," 10 111111111 000"
"229","handcuff",-0.78,1.42,1.28," 10 001000000 001"
"230","harangue",-0.77,-0.26,-0.46," 10 111111111 000"
"231","harass",-1.75,-0.17,0.01," 10 101100011 000"
"232","harm",-1.73,-0.04,0.35," 10 101101011 100"
"233","hassle",-2.22,-0.22,0.93," 10 101100011 000"
"234","have_sex_with",2.58,1.95,2.2," 10 000000001 101"
"235","heal",2.94,2.76,1.18," 10 000001110 100"
"236","heckle",-0.95,0.2,0.85," 10 000100110 000"
"237","help",2.9,2.65,1.58," 10 111111111 100"
"238","hire",1.69,1.93,1.14," 10 010000000 000"
"239","hit",-2.37,1.3,0.88," 10 101000011 101"
"240","hold",2.14,1.17,-0.04," 10 000000011 001"
"241","holler_at",-0.29,0.67,1.16," 10 111111111 000"
"242","hoot_at",-0.24,0.83,1.35," 10 100100110 010"
"243","horse_around_with",1.06,0.94,1.53," 10 100010011 001"
"244","hound",-1.7,-0.19,0.55," 10 111111111 000"
"245","hug",2.42,1.79,0.2," 10 100000011 001"
"246","hurry",-0.58,0.4,1.61," 10 110011011 100"
"247","hurt",-1.34,0.32,1.11," 10 101001011 101"
"248","hush",-0.84,0.52,-0.07," 10 111111111 010"
"249","ignore",-1.58,-0.75,-1.44," 11 100100011 010"
"250","imitate",-0.59,-0.2,0.84," 10 110000011 000"
"251","implore",0.62,0.15,0.08," 10 100100111 000"
"252","imprison",-0.68,1.23,0.37," 10 001000000 010"
"253","incarcerate",-0.89,0.66,-0.58," 10 001000000 010"
"254","incriminate",-1,0.05,0.54," 10 001000000 010"
"255","indoctrinate",0.35,0.83,-0.12," 10 000100111 000"
"256","inform",1.96,1.73,1.1," 10 111111111 100"
"257","inject_with_medicine",1,0.83,-0.46," 10 000001000 101"
"258","injure",-1.68,0.53,0.58," 10 101001011 101"
"259","inspect",0.1,0.88,-0.15," 10 001111011 100"
"260","instruct",1.85,1.65,0.3," 10 011111111 000"
"261","insult",-1.88,-0.46,0.56," 10 111111111 000"
"262","interrogate",-0.33,1.21,0.48," 10 001000000 000"
"263","interrupt",-1.13,-0.36,0.99," 10 111111111 100"
"264","interview",1.08,0.84,0.36," 10 011011000 000"
"265","jail",0.39,0.93,0.48," 10 001000000 001"
"266","jeer_at",-1.11,0.3,0.77," 10 100100001 000"
"267","jest_with",0.87,0.5,1.03," 10 111111111 000"
"268","joggle",-0.03,0.21,0.03," 10 100001011 001"
"269","join_up_with",1.6,1.45,0.87," 10 010100001 010"
"270","joke_with",2,1.56,1.81," 10 111111111 000"
"271","josh",-0.03,0.14,0.65," 10 111111111 000"
"272","jostle",-0.36,-0.05,0.62," 10 101000011 000"
"273","kick",-1.58,0.68,1.2," 10 001000000 001"
"274","kid",0.16,0.2,0.82," 10 100100011 000"
"275","kill",-3.37,-0.23,0.87," 10 001100000 101"
"276","kiss",2.68,2.11,1.26," 10 000000011 001"
"277","knife",-3.05,0.92,1.14," 10 101000000 001"
"278","knock_out",-1.51,0.6,1.84," 10 101000000 001"
"279","kowtow_to",0.15,-0.34,-0.04," 01 111111111 000"
"280","laud",-0.1,0.02,0.59," 10 111111111 110"
"281","laugh_at",-0.45,0.87,1.34," 10 111111111 100"
"282","laugh_with",2.48,1.82,2.05," 10 111111111 000"
"283","lay_off_from_a_job",-1.56,0.22,-0.11," 10 010000000 000"
"284","lead",1.85,2.19,1.61," 10 100100011 000"
"285","leave",-1.67,0.12,-0.55," 10 111111111 010"
"286","lecture",-0.28,0.31,0.35," 10 111111111 000"
"287","leer_at",-1.17,-0.03,-0.46," 10 000000001 000"
"288","lend_money_to",0.65,0.94,-0.03," 10 110000010 000"
"289","lie_to",-2.3,-0.18,-0.64," 01 111100011 000"
"290","listen_to",2.18,1.57,0.11," 10 111111111 000"
"291","look_at",1.35,1.05,0.19," 10 111111111 100"
"292","look_away_from",-0.33,-0.43,-0.38," 10 111111111 000"
"293","lunch_with",1.43,1,0.3," 10 111111111 110"
"294","lust_for",1.04,0.24,1.05," 01 000000001 000"
"295","make_business_proposal_to",2.16,2.06,1.4," 10 010000000 000"
"296","make_eyes_at",1.06,1.02,-0.05," 10 000000001 000"
"297","make_fun_of",-2.65,-0.92,0.14," 10 100000011 000"
"298","make_love_to",3,2.83,1.84," 10 000000001 001"
"299","make_out_with",2.65,2.15,0.92," 10 000000001 001"
"300","make_up_with",2.23,1.25,0.19," 10 111111111 000"
"301","malign",-1.49,0.84,0.53," 10 111111111 010"
"302","march_with",1.34,1.47,1.27," 10 000100000 000"
"303","marry",1.75,1.51,1.17," 10 000000001 010"
"304","massage",2.54,1.66,-0.44," 10 110001011 101"
"305","medicate",1.78,1.82,-0.02," 10 000001000 100"
"306","mimic",-0.51,0.27,0.64," 10 110010010 010"
"307","mind",0.86,0.17,-0.16," 10 101001110 000"
"308","mock",-1.57,-0.38,0.85," 10 100100011 000"
"309","molest",-2.57,-0.25,-0.43," 10 000000001 001"
"310","monitor",-0.77,0.25,-0.92," 10 011111110 110"
"311","mother",2.24,2.08,0.65," 10 000001010 001"
"312","mouth_off_to",-1.31,-0.13,1.16," 10 111111111 000"
"313","mug",-3,-0.01,0.83," 10 101000000 001"
"314","mumble_to",-0.56,-1.33,-1.26," 10 111111111 000"
"315","murder",-3.58,-0.01,0.4," 10 101000000 011"
"316","murmur_to",-0.52,-1,-1.36," 10 100001011 100"
"317","nag",-1.37,-0.39,0.34," 10 100000011 000"
"318","needle",-0.74,-0.37,-0.16," 10 111111111 000"
"319","neglect",-2.68,-0.35,-1.4," 01 111111111 110"
"320","negotiate_with",1.23,1.26,0.69," 10 011100000 000"
"321","nestle",1.27,0.73,-0.54," 10 000000011 001"
"322","nudge",0.14,-0.15,-0.07," 10 111111111 001"
"323","nuzzle",0.52,0.64,-0.17," 10 000000011 001"
"324","obey",0.58,-0.52,-0.95," 10 111111111 000"
"325","observe",0.75,0.39,-0.3," 10 111111111 100"
"326","obstruct",-1.1,0.45,0.31," 10 111111111 011"
"327","ogle",0.23,-0.24,-0.75," 10 000000001 000"
"328","oppose",0.05,0.83,0.87," 10 111111111 010"
"329","order",-0.34,1,0.93," 10 111111111 000"
"330","overcharge",-1.4,-0.39,-0.44," 10 010000000 000"
"331","overpower",-0.32,1.52,0.97," 10 001101011 001"
"332","overwhelm",-0.25,1.13,0.79," 10 101101011 001"
"333","overwork",-1.29,0.58,0.71," 01 010110010 100"
"334","pamper",1.13,1.15,0.35," 10 110001011 100"
"335","parody",-0.18,-0.02,1.19," 10 111111111 010"
"336","pay_for_something",1.03,0.78,-0.13," 10 010000000 000"
"337","pay_for",0.85,0.45,0.44," 10 110000010 100"
"338","peek_at",-0.98,-0.35,-0.95," 10 100000011 000"
"339","peep_at",-1.04,-0.53,-0.9," 10 100000011 000"
"340","penalize",-0.32,1.06,0.63," 10 010110010 000"
"341","pester",-1.62,-0.13,1.41," 10 110000011 010"
"342","pet",1.01,0.05,0.02," 10 000000011 001"
"343","photograph",1.26,1.11,-0.11," 10 100000010 000"
"344","pinch",-1.14,-0.26,1.07," 10 100001011 101"
"345","place_order_with",1.42,0.85,0.94," 10 010000000 000"
"346","play_with",1.96,1.06,1.31," 10 100000011 100"
"347","plead_with",-0.58,-0.98,0.15," 10 111111111 000"
"348","point_at",-0.79,0.19,-0.02," 10 111111111 000"
"349","poke_fun_at",-1.32,-0.2,0.71," 10 111111111 010"
"350","poke",-0.39,-0.12,0.21," 10 100001011 001"
"351","pooh_pooh",-1.2,-0.68,-0.33," 10 111111111 000"
"352","praise",2.07,2.03,1.07," 10 111111111 000"
"353","pray_with",1.83,1.71,-1.26," 10 000100100 000"
"354","prod",-0.55,0.6,0.44," 10 101001011 101"
"355","promise_something_to",1.17,1.27,0.47," 10 111111111 000"
"356","prompt",0.15,0.32,0.06," 10 111111111 010"
"357","propose_marriage_to",3.05,2.49,0.99," 10 000000001 000"
"358","prosecute",-0.29,0.94,1.2," 10 001000000 010"
"359","protect",2.54,2.31,0.59," 10 101101010 010"
"360","pull_away_from",-0.65,0,-0.27," 10 100001011 001"
"361","punch",-2.12,0.35,1.26," 10 101000000 001"
"362","punish",0.19,0.79,0.76," 10 111111111 100"
"363","pursue",0.51,0.95,1.1," 10 001101001 000"
"364","push",-1.25,0.64,0.68," 10 101000010 001"
"365","put_to_bed",1.55,1.17,-1.35," 10 000001010 001"
"366","quarrel_with",-0.92,-0.31,0.62," 10 111111111 000"
"367","query",0.65,0.53,0.99," 10 111111111 000"
"368","question",0.37,0.77,0.5," 10 111111111 000"
"369","quibble_with",-0.94,-0.32,0.66," 10 111111111 000"
"370","quiet",0.13,0.62,-0.59," 10 111111111 000"
"371","quiz",-0.04,1,0.64," 10 111111111 000"
"372","raise_the_pay_of",2.06,1.82,1.15," 10 010000000 000"
"373","rant_at",-0.89,0.08,1.46," 10 111111111 000"
"374","rape",-3.1,-0.59,1.07," 10 100000001 001"
"375","ravish",-0.35,0.15,0.31," 10 000000001 001"
"376","reason_with",2.15,1.83,0.7," 10 111111111 100"
"377","reassure",1.98,1.28,0.3," 10 111111111 100"
"378","rebuff",-0.4,0.47,0.31," 10 100100101 010"
"379","rebuke",0.14,1,0.52," 10 111111111 000"
"380","reform",0.67,1.18,-0.01," 01 101000110 100"
"381","rehabilitate",2.29,2.01,0.13," 01 001001000 000"
"382","remind",1.63,1.45,0.01," 10 111111111 100"
"383","renounce",-0.86,0.16,0.16," 10 100100110 010"
"384","reply_to",1.53,1.37,0.68," 10 111111111 000"
"385","reprimand",-0.55,0.61,0.74," 10 111111111 000"
"386","reproach",0,1.14,0.38," 10 111111111 100"
"387","request_something_from",0.43,-0.21,0.03," 10 111111111 000"
"388","rescue",2.57,2.42,1.91," 10 101101010 010"
"389","restrain",0.06,0.82,1.1," 10 001001011 101"
"390","retaliate_against",-1.29,0.77,1.12," 10 000100000 010"
"391","reward",2.72,1.92,0.84," 10 000110110 100"
"392","rib",-0.33,0.41,0.76," 10 110110011 000"
