"frown_at",-2.18,-1.06,1.02
"gape_at",-1.45,-1.68,-0.18
"gawk_at",-1.4,-1,-0.32
"gaze_at",-1.01,-0.55,0.1
"giggle_at",-1.09,-0.75,0.44
"giggle_with",0.4,0,0.66
"give_instructions_to",1.04,1.16,-0.11
"give_medical_treatment_to",1.75,1.47,-1.29
"give_raise_to",1.64,0.97,-0.28
"glance_at",0.26,-0.16,0.45
"glare_at",-1.3,-0.47,1.06
"glorify",0.56,0.45,-0.35
"gossip_with",-1.22,-1,0.82
"grade",0.33,0.78,-0.45
"greet",2.44,1.46,-0.91
"grin_at",1.86,1.49,-1.21
"groom",1.67,0.5,-0.45
"guide",2.13,1.37,-1.2
"gyp",-2.21,-1.31,1.4
"halt",-0.07,0.53,0.12
"hand_something_to",1.1,0.69,-0.63
"handcuff",-1.5,-0.12,0.79
"harm",-2.52,-0.55,1.48
"have_sex_with",-0.56,-0.32,1.12
"heal",2.54,1.78,-0.71
"heckle",-1.65,-0.43,1.11
"hire",0.77,0.45,-0.55
"hold",0.52,0.33,0.23
"horse_around_with",-0.47,-0.34,1.01
"hug",1.8,0.85,-0.45
"hurry",-0.49,0.05,1.23
"hurt",-2.68,-1.44,1.76
"ignore",-1.66,-0.99,0.03
"imitate",-0.55,-0.83,0.43
"incarcerate",-2.08,-0.12,1.46
"incriminate",-1.63,-1.16,0.98
"indoctrinate",0.4,0.53,-0.08
"inform",0.84,0.24,-0.13
"inject_with_medicine",0.5,0.78,-0.11
"injure",-2.42,-1.26,1.2
"inspect",-0.33,-0.34,0.08
"insult",-2.91,-1.85,2
"interrogate",0.63,0.98,-0.14
"interrupt",-2.09,-1.09,1.62
"interview",1.99,1.2,-0.7
"jail",-1.77,-0.02,1.5
"jeer",-2.59,-1.04,1.6
"joggle",1.37,0.58,-0.96
"join_up_with",1.38,0.72,-0.89
"joke_with",1.2,0.77,0.43
"josh",1.75,1.03,-0.35
"kick",-2.3,-0.47,1.55
"kill",-2.25,-0.51,2.23
"kiss",1.25,1.05,-0.63
"knife",-2.47,-0.65,1.81
"knock_out",-2.34,0.01,2.08
"laud",0.31,-0.26,0.02
"laugh_at",-1.61,-0.76,1.02
"laugh_with",1.78,0.97,-0.15
"lay_off_from_a_job",-1.22,-0.27,0.92
"lead",1.12,0.76,-0.53
"leave",-1.04,-0.65,0.61
"lecture",1.4,0.94,-0.37
"leer_at",-1.09,-0.92,0.57
"lend_money_to",1.4,1.13,-0.54
"lie_to",-2.27,-1.89,1.24
"listen_to",1.89,0.93,-0.99
"look_at",0.52,0.55,-0.36
"look_away_from",-0.61,-0.52,0.22
"lunch_with",2.1,1.48,-0.83
"lust_for",-0.24,-0.45,0.46
"make_business_proposal_to",1.86,1.49,-0.66
"make_fun_of",-2.13,-1.97,1.41
"make_love_to",-0.18,0.28,0.94
"make_up_with",2.56,1.54,-1.4
"malign",-2.45,-2.25,0.87
"marry",1.85,1.22,-0.91
"massage",1.14,0.99,-1.07
"medicate",1.99,0.82,-0.92
"mimic",-0.8,-0.97,0.58
"molest",-2.16,-0.81,1.19
"monitor",-1.4,-0.92,0.37
"mother",2.77,1.83,-1.22
"mouth_off_to",-0.62,-0.14,1.08
"mug",-2.3,-0.64,1.21
"mumble_to",-0.87,-0.63,-0.3
"murder",-3.28,-1.25,1.41
"nag",-2.07,-1.35,1.4
"neglect",-2.16,-2.01,0.7
"negotiate_with",1.03,1.16,-0.36
"nestle",1.98,1.07,-1.05
"nudge",-0.84,-0.42,0.35
