"disgusted",-0.92,-0.69,-0.06," 10 100010000 000"
"dishonest",-2.15,-1.1,0.65," 10 010100000 000"
"disobedient",-1.37,-0.15,1.34," 10 010000000 000"
"disreputable",-1.2,-0.86,0.3," 10 010000000 000"
"disrespectful",-1.78,-0.77,1.15," 10 010000000 000"
"dissatisfied",-0.51,-0.43,0.26," 10 100000000 000"
"disturbed",-1.01,-0.22,-0.2," 10 110000000 000"
"divorced",-0.49,-0.28,0.76," 10 001000000 000"
"dogmatic",-0.47,0.95,-0.07," 10 010000000 000"
"dominant",-0.31,1.62,0.71," 10 010000000 000"
"domineering",-1.04,1.54,0.86," 10 010000000 000"
"doubtful",-0.54,-0.44,-0.09," 10 000100000 000"
"drowsy",-0.11,-1,-1.29," 10 000100000 000"
"drunken",-1.35,-1.26,0.16," 10 001100000 000"
"dull",-0.87,-1.1,-1.64," 10 000100000 000"
"earnest",1.61,0.77,-0.05," 10 010000000 000"
"earthy",1.44,1,-0.37," 10 010000000 000"
"easygoing",1.39,0.44,-0.1," 10 010000000 000"
"eccentric",0.05,0.73,-0.3," 10 010000000 000"
"educated",1.81,1.85,0.62," 10 001000000 000"
"efficient",1.52,1.51,0.74," 10 010000000 000"
"egotistical",-1.59,0.25,1.26," 10 010000000 000"
"elated",1.9,1.14,1.28," 10 100000000 000"
"embarrassed",-0.95,-0.94,-0.39," 10 100010000 000"
"emotional",0.54,0.1,0.53," 10 110000000 000"
"employed",1.55,1.05,0.35," 10 001000000 000"
"energetic",1.06,1.25,2.44," 10 010000000 000"
"enthusiastic",1.54,1.19,1.9," 10 110000000 000"
"envious",-1.23,-1.08,0.62," 10 100000000 000"
"excited",1.13,0.73,2.36," 10 100010000 000"
"experienced",1.22,1.37,-0.42," 10 001000000 000"
"extravagant",-0.14,1.37,1.32," 10 000100000 000"
"extroverted",0.94,1.42,2.1," 10 010000000 000"
"faithful",1.96,1.06,-0.99," 10 010000000 000"
"fearful",-0.88,-1.19,-0.17," 10 100000000 000"
"female",1.27,0.59,0.93," 10 001000000 000"
"feminine",1.81,0.81,0.28," 10 010000000 000"
"fickle",-1.05,-0.84,0.5," 10 010000000 000"
"finicky",-0.87,-0.72,0.29," 10 010000000 000"
"flexible",1.53,0.74,0.99," 10 010000000 000"
"flustered",-0.5,-0.88,0.49," 10 100010000 000"
"foolish",-0.88,-0.97,0.79," 10 010000000 000"
"forgetful",-0.86,-1.27,-0.57," 10 010000000 000"
"forgiving",2.57,2.47,0.04," 10 010000000 000"
"friendly",2.48,1.83,0.88," 10 010000000 000"
"frivolous",-0.27,-0.61,1.07," 10 000100000 000"
"frustrated",-0.92,-0.65,0.1," 10 100000000 000"
"furious",-1.07,0.79,1.3," 10 100010000 000"
"generous",2,1.71,-0.42," 10 010000000 000"
"gentle",1.86,0.2,-0.47," 10 010000000 000"
"giddy",-0.07,-0.3,1.15," 10 010000000 000"
"gloomy",-1.5,-0.65,-0.75," 10 110000000 000"
"good",2.66,1.41,0.54," 10 001000000 000"
"gossipy",-1.61,0.12,1.07," 10 010100000 000"
"grateful",1.66,0.68,-0.38," 10 100000000 000"
"greedy",-1.82,0.4,0.62," 10 010000000 000"
"grouchy",-1.46,0.29,-0.24," 10 010000000 000"
"guilty",-0.93,-0.81,0.11," 10 101000000 000"
"gullible",-1.13,-1.88,0.19," 10 010000000 000"
"happy",2.14,1.15,0.22," 10 100010000 000"
"hassled",-0.67,-0.43,0.58," 10 000100000 000"
"haughty",-1.14,-0.42,0.34," 10 010000000 000"
"heart_broken",-1.2,-0.89,-0.66," 10 100000000 000"
"helpful",2.51,2.12,0.38," 10 010000000 000"
"helpless",-1.26,-2.08,-1," 10 000100000 000"
"homey",0.9,-0.1,-1.71," 10 000100000 000"
"homosexual",-0.95,-0.54,0.36," 10 001100000 000"
"honest",2.39,1.14,-0.4," 10 010000000 000"
"honorable",2.34,1.58,-0.56," 10 010000000 000"
"hopeful",1.43,0.46,0.87," 10 110000000 000"
"hopeless",-1.51,-1.19,-0.29," 10 100100000 000"
"horny",0.15,0.17,1.96," 10 010100000 000"
"horrified",-0.53,-1.08,-0.03," 10 100000000 000"
"hostile",-1.62,-0.11,0.17," 10 110000000 000"
"hotheaded",-1.46,0.67,2.11," 10 010000000 000"
"humble",0.9,-0.27,-0.43," 10 110000000 000"
"humiliated",-1.41,-0.71,-0.51," 10 100000000 000"
"hurt",-1.59,-0.96,-0.35," 10 100100000 000"
"idealistic",1.26,0.65,1.06," 10 010000000 000"
"ignorant",-1.2,-1.56,-0.27," 10 000100000 000"
"immature",-1.16,-1.13,1.73," 10 010000000 000"
"immoral",-1.37,-0.23,0.89," 10 000100000 000"
"impatient",-0.8,-0.55,1.47," 10 100010000 000"
"impolite",-2.11,-0.61,1.05," 10 010000000 000"
"impotent",-1.01,-1.37,-0.51," 10 000100000 000"
"impractical",-1.03,-0.46,0.7," 10 010000000 000"
"impressionable",0.42,-0.15,0.67," 10 010000000 000"
"impulsive",-0.18,0.49,1.7," 10 010000000 000"
"incompetent",-1.39,-1.29,-0.18," 10 000100000 000"
"inconsiderate",-2.37,-0.26,0.82," 10 010000000 000"
"incredulous",0.19,0.54,0.29," 10 000100000 000"
