"braggart",-1.55,-1.06,1.52," 11 100000000 000"
"brain",1.72,1.9,0.67," 11 000010000 000"
"brat",-2.01,0.61,2.58," 11 100000010 000"
"broad",-0.18,0.27,1.23," 01 100000000 000"
"brother",2.39,1.48,1.04," 10 000000010 000"
"my_brother",1.68,1.47,1.92," 10 000000010 000"
"brother_in_law",1.18,0.42,0.46," 10 000000010 000"
"brute",-1.8,1.1,1.72," 10 100000000 001"
"buddy",2.51,1.38,0.78," 11 100000000 000"
"buffoon",-0.71,0.06,0.48," 11 100000000 000"
"bulldozer_operator",0.24,0.87,0.55," 11 010000000 000"
"bully",-1.97,1.86,2.33," 11 100000000 001"
"bum",-1.06,-1.14,-1.13," 11 100000000 000"
"bumpkin",0.11,-1.16,0.21," 11 100000000 000"
"burglar",-1.93,0.69,0.84," 11 011000000 000"
"bus_driver",0.74,0.25,0.27," 11 010000000 000"
"busboy",0.93,-0.22,1.19," 10 010000000 000"
"busybody",-1.46,-0.01,1.06," 11 100000000 000"
"butcher",0.28,0.82,0.32," 11 010000000 000"
"butterfingers",0.08,-0.58,0.6," 11 100000000 000"
"bystander",0,-0.69,-0.38," 11 100000000 000"
"cad",-1.41,-0.3,1.1," 10 100000000 000"
"call_girl",-1.29,-0.56,2.06," 01 000000001 001"
"captive",-0.52,-0.71,-0.42," 11 001100001 001"
"card",0.7,0.27,1.59," 11 100000000 000"
"carpenter",0.89,0.56,0.27," 11 010000000 000"
"cashier",0.44,-0.58,-0.02," 11 010000000 000"
"celebrity",1.12,1.83,0.76," 11 110000000 000"
"center",0.69,1.87,2.08," 10 010010000 001"
"chambermaid",1.12,-0.95,0.15," 01 010000000 000"
"champion",1.13,2.58,1.87," 11 100010000 001"
"chap",1.48,0.07,0.5," 10 100000000 000"
"chaperone",0.31,0.86,-1.1," 11 100000010 000"
"chatterbox",-0.78,-0.34,2.13," 11 100000000 000"
"cheerleader",0.7,0.26,2.42," 11 010010000 000"
"chef",1.04,0.53,-0.44," 11 010000000 000"
"chemist",0.58,1.11,-0.6," 11 010010000 000"
"chick",0.88,-0.38,2.34," 01 100000000 000"
"child",1.94,-1.1,2.52," 11 100000010 000"
"chiropractor",0.36,0.29,-0.02," 11 000001000 001"
"christian",1.87,0.97,-0.01," 11 000000100 010"
"chum",2.14,1.02,0.83," 11 100000000 000"
"church_deacon",1.8,1.03,-1.19," 11 000000100 000"
"civil_servant",1.03,0.76,-0.25," 11 001100000 000"
"classmate",1.19,0.16,0.59," 11 000010000 000"
"clergy",2.14,1.72,-0.85," 11 000000100 000"
"clerk",0.81,0.02,-0.05," 11 011000000 000"
"client",0.7,0.27,0.03," 11 011000000 000"
"clod",-1.3,-0.52,0.13," 11 100000000 000"
"clown",2.16,0.18,1.1," 11 100000000 000"
"clown",1.98,0.09,0.92," 11 100000000 000"
"co_worker",1.16,0.25,0.68," 11 010000000 000"
"coach",1.37,1.96,0.95," 11 010010000 001"
"coed",1.35,0.48,1.67," 01 000010000 000"
"colleague",1.31,0.74,0.35," 11 000011000 000"
"comedian",1.61,1.04,1.82," 11 100000000 000"
"companion",2.16,1.13,0.13," 11 100000000 000"
"computer_programmer",0.71,0.9,0.83," 11 010010000 000"
"concubine",-0.67,-0.95,0.47," 01 010000001 001"
"confidant",2.16,1.04,0.46," 11 100000000 000"
"conformist",-0.26,-0.75,-0.39," 11 100000000 000"
"connoisseur",0.98,0.28,0.13," 11 100000000 000"
"construction_foreman",0.33,1.14,0.15," 11 010000000 000"
"construction_laborer",-0.02,0.97,1.44," 11 010000000 000"
"consumer",0.47,0.42,0.19," 11 010000000 000"
"convict",-1.7,-0.03,0.63," 11 001000000 001"
"cook",1.01,0.32,-0.37," 11 010000000 000"
"cop",0.98,1.39,0.71," 11 001000000 001"
"copper",0.23,2.02,0.42," 11 001000000 001"
"copycat",-1.7,-1.47,0.43," 11 100000000 000"
"coroner",0.08,0.34,-0.45," 11 001001000 000"
"counselor",1.42,1.29,-0.14," 11 111111100 000"
"courtesan",-0.09,-0.06,0.55," 01 010000001 001"
"cousin",1.25,-0.14,1.25," 11 000000010 000"
"coward",-1.3,-1.97,-1.14," 11 100000000 000"
"crab",-0.63,-0.63,-0.84," 11 100000000 000"
"crackpot",-1.16,-0.28,0.99," 11 100000000 000"
"crank",-1.57,-0.41,0.2," 11 100000000 000"
"criminal",-1.65,-0.01,1.28," 11 001000000 000"
"cripple",0.32,-1.04,-1.13," 11 100001000 000"
"crippled_person",0.59,-0.78,-0.9," 11 100001000 000"
"critic",-0.13,1.08,0.31," 11 100110000 000"
"crone",-0.87,-0.54,-1.92," 01 100000000 000"
"crook",-2.23,0.84,0.81," 11 011000000 000"
"crybaby",-1.26,-1.3,1.97," 11 100000000 000"
"culprit",-1.72,0.05,0.71," 11 001000000 010"
"customer",0.69,0.2,0.18," 11 010000000 000"
"cutthroat",-2.38,1.31,0.89," 10 011100000 000"
"cynic",-1.2,-0.53,-0.03," 11 100110000 000"
